player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2955,Ronny Rodelin,2791,71,10,5.376938797,26,1125,708,2,38,3.243662123,45,26,147,19,44,18,125,24,155,38,39,26,54,36,10,379
2959,Julien Féret,3270,33,4,3.7181587675,12,1774,1248,8,71,5.395429432,63,31,292,18,55,12,113,28,270,70,52,46,79,47,12,612
2963,Rémy Vercoutre,3420,0,0,0.0,0,1042,617,0,0,0.0,1,1,100,0,5,4,0,0,180,0,0,0,1,0,0,3
2970,Christian Kouakou Yao,128,5,1,0.331387878,3,36,24,0,0,0.0,2,1,8,6,2,0,4,2,6,3,1,1,1,2,0,30
2979,Jonathan Delaplace,1559,18,0,1.190912765,5,611,432,1,16,1.4266264565,16,6,82,28,24,11,73,32,88,15,15,23,35,41,11,486
2991,Hervé Bazile,1080,33,0,1.4950359354,11,409,241,3,19,1.5327365575,38,19,88,14,15,8,50,11,46,32,11,22,21,28,7,224
2992,Vincent Bessat,2754,40,1,2.0408958022,11,1220,833,1,32,2.348846336,58,38,233,23,24,12,120,32,158,39,52,36,61,64,14,540
3038,Andy Delort,3141,143,12,14.2148594475,62,1025,585,2,39,4.1425733147,89,41,218,89,80,36,239,17,174,123,12,15,48,29,10,524
3797,Ismaël Tiémoko Diomandé,406,1,0,0.018372303,0,187,147,0,2,0.0365116855,3,3,28,13,2,1,26,12,34,3,13,8,12,19,5,118
4255,Jean-Victor Makengo,435,2,0,0.034257272,0,135,107,0,3,0.139072944,7,4,35,8,6,0,21,7,31,8,2,6,15,11,4,165
4386,Damien Da Silva,2498,18,2,2.336170505,4,969,802,0,3,0.862219845,10,7,186,23,21,17,121,39,142,7,223,47,60,69,16,283
4474,Emmanuel Imorou,1253,2,1,0.770355478,1,645,446,1,10,1.1280821445,9,4,68,12,21,11,39,12,63,7,42,27,57,24,6,210
4539,Michaël Jordan Nkololo,541,10,0,0.694283007,3,220,163,0,8,0.795438423,19,9,58,15,17,2,30,7,50,27,4,11,14,9,2,152
5656,Syam Ben Youssef,1511,6,3,1.897235769,3,508,373,1,4,0.272199406,5,3,64,24,10,8,80,30,68,7,122,29,34,51,9,192
7237,Chaker Alhadhur,786,1,0,0.043410834,0,397,327,0,4,0.11676427049999999,6,4,29,16,8,4,62,18,44,5,12,28,29,39,8,165
7303,Lenny Nangis,173,0,0,0.0,0,44,23,2,2,0.104549384,7,3,16,8,0,0,12,1,9,3,1,5,5,6,0,50
7344,Jordan Adéoti,1721,8,0,0.671281624,3,611,471,0,3,0.107186656,22,11,134,29,23,12,82,37,128,19,52,28,53,59,9,446
7444,Alaeddine Yahia,2270,16,1,1.68735212,5,727,541,0,4,0.125832863,3,1,120,34,38,25,99,17,93,12,178,16,48,36,6,235
7726,Jeff Louis,705,20,1,1.7412328237999999,5,185,144,0,6,0.940128493,22,14,67,20,22,5,24,5,41,15,7,3,15,9,5,181
13592,Alexandre Raineau,320,0,0,0.0,0,184,140,0,1,0.090869844,4,1,13,8,5,4,23,13,16,4,27,5,8,18,4,63
22111,Dennis Appiah,3420,10,1,0.695371921,4,1551,1056,1,30,3.1170316737,67,30,238,39,13,5,194,75,187,41,114,58,107,140,25,825
40698,Nicolas Seube,2174,15,0,0.6529438409999999,1,815,646,1,11,0.3182147383,10,6,81,51,31,12,134,62,123,6,54,28,73,98,25,730
40701,Jordan Leborgne,665,8,0,0.399836431,5,241,179,1,8,0.31036387,14,7,41,7,16,7,26,8,53,12,8,10,19,16,4,177
106683,Saïdi Ntibazonkiza,600,21,1,1.68573405,7,162,105,0,10,0.562269009,27,12,62,12,19,2,28,10,46,22,2,5,22,18,5,148
