player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2955,Ronny Rodelin,90,2,0,0.119666396,1,56,34,0,0,0.0,2,2,8,0,2,1,1,0,9,2,0,1,4,1,0,10
2959,Julien Féret,70,1,0,0.13087088,0,38,31,0,0,0.0,1,0,3,1,0,0,3,2,1,3,1,1,2,2,1,19
2963,Rémy Vercoutre,90,0,0,0.0,0,26,21,0,0,0.0,0,0,8,0,1,0,0,0,6,0,0,0,0,0,0,0
2979,Jonathan Delaplace,90,2,0,0.060693279,0,59,39,0,3,0.156976389,3,2,15,0,7,4,6,2,10,2,0,1,1,3,1,38
2991,Hervé Bazile,90,4,0,0.10054100999999999,2,51,28,0,3,0.175815991,7,4,15,1,0,0,6,3,5,3,0,1,4,5,3,25
3038,Andy Delort,90,6,0,0.322760049,1,28,21,0,0,0.0,1,0,0,1,1,1,2,0,7,2,0,0,2,0,0,10
3797,Ismaël Tiémoko Diomandé,58,1,0,0.018372303,0,45,36,0,1,0.030180862,0,0,8,2,0,0,4,1,7,1,0,1,0,2,1,17
4386,Damien Da Silva,90,0,0,0.0,0,55,50,0,0,0.0,0,0,11,1,1,0,3,1,6,0,4,2,3,2,0,11
4474,Emmanuel Imorou,77,0,0,0.0,0,52,42,0,0,0.0,0,0,2,0,1,0,3,0,6,1,2,0,4,2,0,20
4539,Michaël Jordan Nkololo,20,0,0,0.0,0,8,8,0,0,0.0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,5
7344,Jordan Adéoti,13,0,0,0.0,0,15,13,0,0,0.0,0,0,3,1,0,0,1,1,1,0,0,0,0,1,0,5
7444,Alaeddine Yahia,90,1,0,0.029034575,0,52,41,0,0,0.0,0,0,15,0,1,0,8,2,3,0,1,0,1,6,1,15
22111,Dennis Appiah,90,1,1,0.23376036,1,73,50,0,2,0.08494086199999999,4,2,14,3,0,0,12,4,11,5,2,0,2,8,0,23
40698,Nicolas Seube,32,0,0,0.0,0,19,17,0,1,0.011335243,0,0,1,2,1,1,4,1,2,0,0,0,3,3,1,21
