player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2953,Abdou Kader Mangane,2466,15,1,1.444312296,1,1006,759,1,8,0.593438202,10,7,185,38,21,10,112,45,138,11,178,40,41,67,20,339
3207,Pablo Jean Antoine Martínez,2195,9,0,0.30230529,1,1090,833,1,7,0.45380807170000004,14,11,117,28,29,13,89,28,104,12,109,45,60,58,11,347
4352,Issiaga Sylla,2761,23,0,0.844549594,3,1619,1151,4,29,2.4977697352,60,33,285,63,23,6,169,71,224,65,89,81,85,124,36,643
5726,Khalid Boutaïb,1837,51,5,5.473105353,15,679,476,1,27,1.8708334412999998,24,12,71,49,31,10,201,29,84,44,19,14,40,47,17,570
7389,Amos Youga,1179,13,0,0.4645171858,1,560,397,1,10,0.5921923907,15,11,99,41,16,5,50,16,95,22,20,13,28,27,7,315
7428,Alexandre Coeff,1907,8,0,0.18409109270000001,2,1147,851,1,18,1.4010241496,12,8,139,26,14,9,92,41,102,12,63,48,46,66,14,387
7430,Kévin Mayi,957,30,3,2.682153048,11,277,186,1,6,0.7255815800000001,31,9,87,14,10,2,39,14,54,30,6,7,17,19,7,170
7515,Jules Goda,220,0,0,0.0,0,92,63,0,0,0.0,0,0,8,0,1,0,0,0,22,0,0,0,0,0,0,2
7603,Jérémie Bréchet,1846,1,0,0.012659233,0,845,707,0,1,0.03203004,2,2,145,10,14,11,50,16,75,5,91,28,31,31,5,177
7721,John Tshibumbu,1064,32,3,3.7877870700000003,8,308,204,0,6,0.495397478,9,4,38,25,26,9,80,8,49,22,2,6,19,14,3,231
7808,Roderic Filippi,1958,15,2,1.105726266,4,785,629,0,4,0.140220061,3,3,89,31,28,24,110,33,93,2,144,52,40,57,12,261
10616,Mohamed Larbi,2199,42,8,4.1007459197,18,1123,854,3,45,3.464290224,58,32,181,23,17,5,87,29,164,40,13,12,35,42,14,608
31911,Damjan Đoković,2299,41,2,2.5288108425,9,1263,880,4,49,3.44812598,7,4,118,64,19,7,85,30,128,19,52,20,46,46,14,545
40536,Issiar Dia,357,6,0,0.390406554,0,124,83,0,4,0.161729127,15,9,39,2,8,1,19,3,18,12,0,0,0,4,1,32
45415,Paul Guerin,140,0,0,0.0,0,48,22,0,0,0.0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0
90746,Alassane Touré,950,7,1,0.28780649599999997,2,504,378,0,7,1.1693282983,23,16,60,26,22,7,49,23,63,10,18,17,21,39,14,230
310534,Louis Poggi,709,10,0,0.881059503,3,153,89,1,3,0.20002578499999998,6,3,26,5,6,3,34,5,28,7,12,7,20,14,0,128
401505,Jacques Zoua Daogari,2262,48,4,4.6231518754000005,18,764,596,3,34,2.0625269665,45,21,143,32,44,10,149,2,103,64,10,3,23,4,1,326
401506,Grégory Pujol,1139,28,5,2.528691884,12,328,234,0,10,0.578871624,14,7,54,32,9,3,81,4,54,23,13,4,26,12,2,234
401507,Jérôme Le Moigne,2375,13,0,0.5634967185,2,1216,985,1,10,0.6128794207,13,8,129,53,23,14,92,30,135,14,72,42,53,50,12,458
401508,Clément Maury,2970,0,0,0.0,0,1271,789,1,2,0.043600975,2,1,156,0,4,2,0,0,246,0,1,0,1,0,0,14
401509,David Ducourtioux,2565,30,0,0.9261467746000001,5,1530,1128,2,29,1.7777584882,30,14,169,62,42,17,115,50,189,23,43,29,42,83,19,606
403155,Mohamed Amine Chermiti,278,6,0,0.6785292060000001,2,84,60,0,1,0.009158781,0,0,9,5,5,2,20,4,10,1,0,0,5,7,0,70
