player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2936,Christophe Kerbrat,2588,4,0,0.201584199,0,1107,882,0,4,0.523737166,3,2,167,26,21,15,115,47,113,3,177,56,52,77,17,343
2967,Mamadou Samassa,90,0,0,0.0,0,31,17,0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
3121,Moustapha Elhadji Diallo,1911,16,1,1.760569933,9,750,578,2,7,0.498421166,15,11,62,53,35,14,125,34,115,24,67,29,70,58,15,432
3122,Yannis Salibur,2366,78,7,3.2388991216,22,728,461,5,27,2.251769989,103,60,251,37,76,14,81,27,143,69,3,14,26,42,15,347
3124,Jérémy Sorbon,3030,8,2,0.8946623915,2,1248,1069,0,1,0.25367686,6,4,182,22,43,13,97,42,149,6,155,49,66,67,19,342
3213,Jimmy Briand,2937,65,7,7.949827537,23,1061,758,8,45,5.7469739379,71,21,189,42,79,30,177,17,159,117,19,8,50,23,9,548
3235,Ludovic Blas,639,11,1,0.906711201,4,224,149,2,7,1.8069721417,28,14,60,17,10,2,36,13,46,21,4,12,21,20,5,194
3301,Nicolas Benezet,1293,23,4,2.219660751,7,545,348,4,39,3.547224548,53,32,157,19,43,13,63,25,84,35,8,18,18,32,8,299
3322,Jonas Lössl,3330,0,0,0.0,0,1115,648,0,0,0.0,1,1,106,0,6,3,0,0,209,0,0,1,1,0,0,2
3348,Younousse Sankharé,2965,30,6,2.687653439,12,1368,1056,2,14,2.284322126,68,42,251,54,53,17,135,64,228,44,43,47,75,94,30,753
3363,Marcus Coco,1728,22,1,1.7121910322999998,7,451,275,1,16,1.422092152,87,39,163,71,54,17,140,31,109,85,10,22,46,46,17,545
3364,Jonathan Martins-Pereira,1382,5,0,0.609021296,3,802,590,3,8,1.492687485,9,5,86,22,8,1,67,27,83,11,43,33,38,48,7,256
4434,Thibault Giresse,1713,23,4,2.680103031,6,764,517,4,41,4.245048856,22,11,96,17,23,5,68,28,109,24,17,7,31,41,13,334
4799,Sloan Privat,1253,35,7,7.360999041,15,307,190,1,11,1.35056621,9,7,22,30,32,16,98,4,29,24,6,2,9,4,3,191
7308,Laurent Dos Santos,602,1,0,0.0068257097,1,266,173,0,2,0.20802758999999998,7,5,30,8,3,3,31,10,21,3,29,10,14,21,5,136
7406,Julien Bègue,46,2,0,0.481059667,1,17,8,0,0,0.0,4,3,9,1,2,0,1,0,6,1,0,0,1,0,0,9
7483,Mana Dembélé,433,14,0,1.293457216,3,103,60,0,3,0.1487087434,4,1,18,15,6,2,38,5,9,9,2,0,9,7,2,98
10977,Jérémy Livolant,8,0,0,0.0,0,3,3,0,1,0.1814791,1,0,2,0,0,0,1,1,1,1,0,0,0,1,0,3
20027,Mevlüt Erdinç,869,18,4,2.876995114,7,170,126,0,4,0.447005234,11,3,27,8,11,5,42,0,16,20,5,4,11,1,0,77
20199,Lars Christian Jacobsen,2751,3,0,0.11938527,1,1187,881,2,14,1.070907983,15,5,120,19,17,8,73,20,75,6,78,20,52,42,6,340
23784,Nill De Pauw,366,10,0,0.605272121,3,150,94,0,3,0.326412574,5,3,24,8,3,1,17,6,24,7,7,5,10,8,3,108
30182,Dorian Lévêque,1204,8,1,0.509224658,3,613,432,0,0,0.0,17,10,76,19,20,12,56,28,69,10,35,13,31,42,13,181
40527,Brou Benjamin Angoua,1242,4,1,0.46279824999999997,2,480,372,0,1,0.32517892,1,1,40,22,5,5,45,16,45,1,79,18,21,24,7,148
91209,Franck Hery,270,0,0,0.0,0,119,97,0,0,0.0,0,0,28,1,6,3,5,1,19,0,12,6,7,3,1,43
401512,Lionel Mathis,1466,11,0,0.509839987,2,777,629,1,7,0.310574241,2,2,82,35,31,8,72,29,69,5,40,15,25,46,12,356
401513,Reynald Lemaître,450,1,0,0.13868155,0,221,134,0,0,0.0,3,1,18,5,3,1,21,9,14,3,17,5,15,17,2,89
401524,Maxime Baca,180,0,0,0.0,0,74,52,0,2,0.08406280999999999,0,0,10,1,4,0,6,4,6,0,12,6,7,5,3,26
401525,Julien Cardy,510,5,0,0.7726060177,1,248,178,0,2,0.3031336,1,0,21,13,8,1,28,9,31,4,13,10,10,20,2,131
