player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2955,Ronny Rodelin,66,5,0,0.11423515729999999,2,41,35,0,0,0.0,0,0,3,2,0,0,2,1,5,2,0,1,2,1,1,10
3211,Florent Balmont,1922,30,0,0.7536119601,3,1344,1128,1,16,1.03150071,30,15,245,42,59,6,51,24,134,30,11,18,27,38,11,402
3218,Marcos Paulo Mesquita Lopes,520,20,2,0.8842942300000001,8,238,176,1,13,0.661683236,23,16,75,9,16,2,37,11,22,25,1,4,11,18,8,145
3357,Baptiste Guillaume,544,10,0,0.6609258840000001,3,128,76,0,2,0.27669159200000004,11,2,19,8,10,2,42,4,20,7,12,7,6,5,1,91
3425,Morgan Amalfitano,963,14,2,1.770681077,9,461,345,0,20,1.453287024,32,19,83,13,10,4,33,8,66,21,3,18,27,13,4,117
3446,Djibril Sidibé,3276,41,4,2.8667099606,14,2084,1665,3,37,3.654610835,89,44,288,48,61,26,203,77,183,59,70,84,96,138,32,647
3625,Sofiane Boufal,2365,53,11,5.1446104085,24,1094,791,4,69,6.631635569,223,136,359,68,73,5,107,44,160,121,8,7,49,64,29,454
3673,Yassine Benzia,1329,37,5,3.5133622636,15,430,307,0,15,0.8009911329999999,43,31,74,41,32,8,85,19,67,38,9,9,26,22,5,343
3677,Bakary Adama Soumaoro,2323,13,1,1.250317569,4,980,843,0,1,0.021510871,7,5,100,30,19,9,65,26,121,6,131,32,62,34,9,194
3761,Mike Maignan,289,0,0,0.0,0,92,69,0,0,0.0,2,2,12,0,0,0,0,0,20,0,0,0,0,0,0,0
4446,Soualiho Meïté,51,1,0,0.17611398,0,25,17,0,0,0.0,2,0,4,2,2,0,5,2,4,1,1,0,4,2,1,19
5476,Benjamin Pavard,633,4,0,0.263033598,1,294,227,0,4,0.304471813,5,2,40,14,5,2,27,10,33,3,19,21,12,16,5,95
6716,Sébastien Corchia,2630,22,2,0.8299007905,8,1242,876,2,24,1.483461291,41,20,179,36,61,20,124,32,116,35,78,38,88,75,11,407
7303,Lenny Nangis,329,10,0,0.3646531333,3,113,75,0,2,0.204866,12,5,35,9,4,1,18,8,20,8,3,3,8,10,3,84
7358,Alexis Araujo,4,0,0,0.0,0,3,2,0,1,0.046551097,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
7366,Youssouf Koné,6,0,0,0.0,0,3,2,0,0,0.0,0,0,1,0,0,0,2,1,0,0,0,0,1,2,1,6
7441,Marvin Martin,423,5,0,0.236590821,1,231,183,1,7,0.2090594636,11,9,40,6,11,3,30,8,38,7,3,5,9,13,4,79
7443,Nolan Mbemba,65,0,0,0.0,0,33,30,0,1,0.02913471,1,1,7,2,2,0,1,1,3,3,0,2,0,1,0,19
9102,Serhou Guirassy,303,5,0,0.550721856,3,106,69,0,2,0.17358692,1,1,16,9,9,4,18,0,5,5,8,0,5,0,0,48
10330,Gadji Celi Carmen Junior Tallo,1110,36,0,2.5871023097,8,321,255,3,10,1.156124987,35,23,82,39,21,5,93,4,61,44,10,2,16,6,4,198
11332,Ibrahim Amadou,1668,13,1,1.0679665736,3,852,703,0,5,0.199233975,12,6,142,29,14,2,104,28,90,16,67,30,42,57,8,359
15996,Éderzito António Macedo Lopes,1071,31,6,4.0126708440000005,19,327,240,4,8,1.695286265,20,12,33,26,38,17,100,2,23,23,13,4,19,4,1,164
23203,Stopilla Sunzu,920,10,1,0.567244948,2,412,336,0,2,0.052282711,1,0,27,22,6,3,62,23,29,2,70,15,14,33,7,132
23835,Yaw Yeboah,102,0,0,0.0,0,41,27,0,2,0.163844019,4,2,4,2,1,0,4,0,5,2,0,1,2,0,0,25
29057,Renato Civelli,2819,17,0,1.887179013,1,1269,915,0,5,0.248763388,7,7,163,30,26,23,102,34,142,8,149,36,60,47,12,230
40484,Vincent Enyeama,3150,0,0,0.0,0,1094,679,0,1,0.07646739,0,0,79,1,4,3,0,0,178,1,2,0,3,0,0,9
40485,Ryan Isaac Mendes da Graça,89,1,0,0.022938458,0,42,33,0,0,0.0,6,1,8,3,2,0,15,3,6,1,0,1,2,8,2,21
40486,Éric Bauthéac,2162,54,2,4.207198258,12,996,673,1,28,2.2426239453,56,23,161,40,31,11,105,34,128,45,24,21,40,57,21,445
40522,Rio Antonio Zoba Mavuba,2807,11,0,0.4643498595,4,1445,1207,0,12,0.4767133115,24,12,179,26,65,19,107,49,187,30,25,32,48,65,21,610
40523,Marko Baša,1330,15,0,1.2158988370000001,3,633,563,0,1,0.07072182,5,2,78,15,25,12,23,9,62,3,67,15,26,12,4,93
40524,Franck Béria,60,0,0,0.0,0,42,34,0,1,0.14603117,1,1,2,2,0,0,2,0,2,1,0,1,3,1,0,10
40697,Mounir Obbadi,2302,31,1,2.261298926,6,1708,1453,4,52,3.0586101385,37,27,248,51,29,12,99,38,179,35,23,34,54,74,14,719
