player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3008,Benjamin Lecomte,3330,0,0,0.0,0,1244,740,0,3,0.095084802,0,0,121,1,9,6,0,0,191,0,1,0,0,0,0,7
3102,Yann Jouffre,1777,38,2,2.218960112,8,1329,1071,5,37,3.1576245125,42,25,251,18,33,5,45,23,114,37,10,15,24,35,11,371
3140,François Bellugou,2351,3,0,0.13391987900000002,0,1361,1173,1,9,0.596190135,27,21,169,42,18,9,88,34,139,22,55,43,62,57,15,509
3552,Benjamin Jeannot,1780,64,7,6.622165589,23,674,499,1,17,1.2938287953,31,17,94,41,33,13,138,13,66,68,16,8,15,23,5,434
3769,Wesley Lautoa,1010,5,0,0.306520097,1,518,427,0,1,0.04904573,5,4,90,10,13,6,43,14,69,7,70,21,24,19,4,120
4839,Issam Ben Khémis,20,0,0,0.0,0,10,6,0,1,0.05089351,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,8
5209,Raphaël Adelino José Guerreiro,2509,42,3,2.5451314012,13,1597,1309,2,20,2.191700989,76,51,240,16,28,8,68,34,151,41,45,61,53,48,13,410
6335,Lamine Gassama,2719,0,0,0.0,0,1583,1242,1,16,1.407404275,44,26,207,36,75,20,91,49,191,35,80,53,47,67,22,356
7190,Denis Bouanga,193,7,1,0.41480488499999996,1,45,28,0,3,0.18700651000000001,5,2,7,3,3,0,6,3,10,4,1,3,6,3,2,66
7199,Vincent Le Goff,1784,7,0,0.3429588316,3,1241,1019,0,9,0.395767896,17,13,148,21,15,6,70,13,104,17,48,29,62,34,5,274
7211,Zargo Touré,2555,11,4,0.701994941,6,1084,945,0,2,0.12486654600000001,9,7,138,21,14,11,83,20,113,1,177,34,59,30,9,322
7336,Jimmy Cabot,746,11,1,0.721886746,4,378,271,2,12,2.1172681549999997,45,19,94,7,10,1,34,8,61,20,0,7,19,17,5,186
7338,Romain Philippoteaux,1422,14,0,0.467990139,4,607,427,3,14,1.4752982295,70,37,192,29,15,0,36,11,86,33,9,17,25,24,5,360
7346,Lindsay Rose,900,5,0,0.31840345,4,400,313,0,1,0.044695232,5,3,40,12,6,4,40,11,36,2,68,13,24,17,3,104
7365,Rémi Mulumba,155,4,0,0.25609170400000003,2,96,79,0,0,0.0,0,0,12,12,6,1,4,1,18,5,3,3,6,2,0,83
7392,Pape Abdou Paye,685,2,0,0.045223396,1,370,286,0,3,0.143090596,5,1,46,9,16,7,27,13,19,4,29,9,22,21,4,109
7432,Valentin Lavigne,155,2,0,0.11412492799999999,1,59,35,0,0,0.0,9,3,20,5,5,2,5,1,7,8,0,2,4,1,1,46
7567,Maxime Barthelmé,1261,20,0,1.400950347,7,659,470,4,28,3.532586068,59,25,211,23,29,5,57,20,90,53,10,13,25,30,13,266
7615,Abdul Majeed Waris,1699,55,11,10.1675502006,25,379,294,3,17,1.4477691400000001,47,23,121,19,42,8,62,10,59,70,2,3,9,13,6,237
7766,Walid Mesloub,2119,22,1,0.944120124,8,1657,1323,4,64,5.399025287,45,26,290,35,37,6,66,23,142,37,19,12,32,36,11,603
10522,Mehdi Mostefa Sbaa,90,0,0,0.0,0,39,35,0,0,0.0,1,1,1,1,1,0,3,2,5,0,3,2,2,3,0,25
13286,Lamine Koné,1575,11,0,0.828313179,3,647,534,0,2,0.043407559,10,6,130,14,15,10,35,11,80,2,98,22,19,17,6,160
19395,Marvin Gakpa,44,1,0,0.01204063,1,38,31,0,1,0.03365595,3,3,15,0,2,0,3,3,3,1,0,1,2,3,1,18
22587,Didier Ndong Ibrahim,3055,33,2,1.6210633846,7,1757,1536,0,10,0.576009758,60,34,309,80,43,11,191,66,201,53,54,51,66,105,19,839
24646,Rafidine Abdullah,579,6,1,0.21526188400000001,2,424,360,0,5,0.150328304,15,9,42,26,5,1,36,16,38,9,13,14,16,25,3,199
30315,Moryké Fofana,120,0,0,0.0,0,61,52,0,1,0.036519967,11,5,22,2,4,0,4,2,6,4,0,1,0,4,1,22
31039,Yroundu Musavu-King,187,0,0,0.0,0,72,56,0,0,0.0,3,3,9,2,2,0,5,1,8,1,12,9,6,3,1,26
33178,Benjamin Moukandjo Bilé,2228,57,13,10.8100852735,26,696,498,2,22,1.699493981,67,35,155,32,35,13,148,12,81,68,14,9,24,17,7,369
40531,Erwin Koffi,90,0,0,0.0,0,61,48,0,1,0.22996742,0,0,3,0,0,0,5,2,5,1,2,3,0,2,1,17
45688,Hamadou Karamoko,270,0,0,0.0,0,86,73,0,0,0.0,0,0,10,2,0,0,9,6,11,0,10,4,4,7,3,26
106664,Sibiri Alain Traoré,34,1,0,0.0273575,0,29,19,0,2,0.089136328,0,0,3,0,3,1,1,0,5,0,0,1,2,0,0,8
401467,Florent Chaigneau,178,0,0,0.0,0,61,30,0,0,0.0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0
