player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3008,Benjamin Lecomte,90,0,0,0.0,0,36,24,0,0,0.0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0
3140,François Bellugou,90,2,0,0.12707506400000002,0,33,29,0,0,0.0,1,0,3,0,0,0,7,1,5,1,2,3,6,5,0,31
3552,Benjamin Jeannot,79,1,0,0.044363175,1,40,29,0,1,0.17304358,1,1,8,1,1,0,1,0,2,4,0,1,0,0,0,15
5209,Raphaël Adelino José Guerreiro,90,1,0,0.20363308,0,49,44,0,2,0.167908734,2,2,10,0,0,0,4,3,5,0,0,1,2,3,1,11
7199,Vincent Le Goff,11,0,0,0.0,0,2,2,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
7211,Zargo Touré,90,0,0,0.0,0,27,22,0,0,0.0,0,0,3,0,0,0,1,0,10,0,7,2,0,0,0,9
7336,Jimmy Cabot,71,2,0,0.047087461,0,39,27,1,1,0.5570763,2,1,9,1,0,0,4,1,7,3,0,1,2,2,0,21
7338,Romain Philippoteaux,25,1,0,0.06496713,1,7,4,0,0,0.0,2,1,2,1,0,0,1,1,2,1,0,0,0,1,1,10
7346,Lindsay Rose,90,0,0,0.0,0,21,17,0,0,0.0,0,0,3,0,0,0,2,1,1,0,7,1,0,2,1,15
7365,Rémi Mulumba,19,2,0,0.19623433,0,11,9,0,0,0.0,0,0,1,1,2,1,2,1,2,1,0,0,1,1,0,18
7392,Pape Abdou Paye,90,0,0,0.0,0,61,50,0,0,0.0,0,0,6,1,1,0,4,2,5,0,2,1,2,3,0,19
7567,Maxime Barthelmé,65,3,0,0.404618215,2,34,29,0,1,0.20363308,5,2,16,2,1,1,3,3,5,3,0,0,2,3,3,18
7615,Abdul Majeed Waris,90,4,1,0.94256831,1,24,18,0,3,0.179449695,0,0,4,0,1,1,1,1,5,3,0,0,0,1,0,21
7766,Walid Mesloub,90,3,0,0.179471834,2,69,56,0,5,0.38026966799999995,2,1,10,2,1,0,0,0,4,1,2,0,3,0,0,22
