player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2947,Anthony Lopes,3330,0,0,0.0,0,1065,775,0,0,0.0,1,1,61,0,8,3,0,0,166,0,4,0,2,0,0,4
2948,Nabil Fekir,466,20,4,1.894099298,8,209,174,0,11,0.520067587,25,14,59,10,6,1,21,6,15,17,1,3,5,8,2,77
2983,Jérémy Morel,2511,9,0,0.4487129095,2,1665,1335,1,25,2.2423747228,25,11,208,20,23,12,80,32,123,27,90,26,55,49,10,310
3103,Milan Biševac,456,0,0,0.0,0,300,278,0,0,0.0,2,2,24,5,2,2,14,3,20,1,22,6,8,8,0,41
3117,Lucas Tousart,60,0,0,0.0,0,42,39,0,0,0.0,1,0,8,2,0,0,5,1,6,1,4,1,2,4,0,21
3118,Jordan Ferri,2445,32,2,2.154472962,14,1855,1605,5,44,4.8558797804,55,32,276,57,52,9,96,35,178,67,16,8,24,62,14,602
3156,Rafael Pereira da Silva,1450,12,1,1.410665847,6,1048,848,2,10,1.03891489,33,17,154,25,23,10,87,41,83,21,36,21,40,60,15,285
3162,Gnaly Maxwell Cornet,1576,30,8,5.2209591195,14,543,386,1,24,2.453075666,44,17,155,27,25,7,84,17,58,38,7,9,23,29,11,283
3236,Sergi Darder Moll,1480,31,2,2.725682056,8,982,804,1,22,2.7267104830999997,29,15,128,22,13,6,58,24,66,15,3,10,17,41,5,341
3361,Clément Grenier,1017,14,2,0.8272063275000001,4,786,592,3,19,1.124472916,31,13,75,27,25,9,32,15,59,16,9,10,18,24,8,210
3372,Rachid Ghezzal,1592,55,8,4.8927179524,23,1006,717,7,45,6.136019497,84,48,222,28,39,4,64,20,109,61,6,18,35,30,12,332
3451,Alexandre Lacazette,2956,95,21,19.916084928,46,1047,805,2,38,3.590405472,89,44,140,53,72,16,126,28,103,71,3,6,50,33,14,540
4410,Christophe Jallet,1790,20,1,1.5275672359999999,5,1572,1332,5,22,2.463992499,27,17,159,21,11,6,105,46,87,18,57,21,34,83,19,340
4450,Bakary Koné,432,3,0,0.168132428,1,238,213,0,0,0.0,0,0,27,3,5,5,16,4,19,2,18,8,8,5,1,37
4463,Mapou Yanga-Mbiwa,2351,7,2,1.112002533,4,1719,1538,0,1,0.00819708,15,8,232,33,36,18,89,27,120,7,98,45,34,45,14,237
4803,Mathieu Gorgelin,90,0,0,0.0,0,31,16,0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
4895,Henri Bedimo Nsamè,1225,6,0,0.0654899506,3,872,719,0,6,0.766073029,25,14,82,12,21,10,29,16,72,17,14,11,17,25,8,130
5480,Corentin Tolisso,2581,62,5,4.6832472141,12,1974,1691,5,35,3.2607338528999996,26,13,272,44,41,13,140,43,209,31,49,34,50,73,14,632
5492,Samuel Yves Umtiti,2656,16,1,1.764894615,1,1946,1709,0,2,0.021799216000000003,12,9,324,25,32,13,78,26,192,9,153,35,53,43,10,263
6600,Claudio Beauvue,1280,64,5,6.1024952339,24,341,238,2,14,1.194957898,16,8,52,18,24,9,76,3,42,26,7,3,15,11,1,197
6982,Maxime Gonalons,2889,23,0,1.2729163510000001,5,1929,1738,0,9,0.8762154750000001,31,24,233,56,64,20,172,63,210,22,68,57,71,106,24,677
7225,Aldo Kalulu Kyatengwa,196,5,2,1.308230298,2,65,51,0,1,0.075330704,10,3,9,1,2,1,8,0,11,6,1,2,4,1,0,27
7322,Romain Del Castillo,36,1,0,0.09458613,0,15,11,0,0,0.0,2,2,4,1,0,0,2,1,3,0,0,0,0,1,0,12
7346,Lindsay Rose,90,1,0,0.09780419,0,62,55,0,0,0.0,0,0,8,2,1,1,4,1,6,0,3,1,1,2,0,7
7355,Olivier Michel Kemen,106,0,0,0.0,0,77,65,0,1,0.12864417,0,0,14,3,3,0,1,0,1,3,1,4,0,0,0,14
7510,Zakarie Labidi,26,2,0,0.20913061700000002,1,9,6,0,0,0.0,0,0,5,0,0,0,2,1,0,4,0,0,0,1,0,8
7525,Gaëtan Perrin,32,2,1,0.58807222,1,8,6,0,1,0.060833085,2,1,1,2,1,0,3,0,2,1,0,0,0,0,0,11
7616,Arnold Mvuemba,289,4,0,0.14471905499999999,1,284,263,0,3,0.12637257400000002,2,1,37,7,2,0,10,8,24,10,1,1,4,8,1,52
18868,Mathieu Valbuena,1811,41,1,2.5385898014,14,1319,1049,5,70,6.4946151143,56,38,237,31,58,13,79,15,104,70,2,4,26,25,12,348
40407,Steed Malbranque,403,5,0,0.397076624,1,279,229,1,7,1.375432447,3,1,32,2,7,0,14,8,29,7,0,2,9,12,3,103
