player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2947,Anthony Lopes,90,0,0,0.0,0,20,14,0,0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2983,Jérémy Morel,90,2,0,0.07221937930000001,0,75,59,0,1,0.105357334,1,1,16,2,1,0,4,0,4,1,0,1,0,1,0,8
3118,Jordan Ferri,88,2,0,0.028812431,0,74,61,0,0,0.0,3,3,9,3,2,0,4,3,6,1,0,0,1,4,0,25
3162,Gnaly Maxwell Cornet,2,1,1,0.2824762,1,1,1,0,0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
3236,Sergi Darder Moll,79,4,1,1.00513775,1,57,49,0,0,0.0,0,0,3,1,1,1,2,1,5,0,0,0,2,1,0,13
3372,Rachid Ghezzal,7,0,0,0.0,0,12,10,0,0,0.0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,3
3451,Alexandre Lacazette,90,2,0,0.351713496,1,33,18,0,3,0.241819219,1,0,5,2,3,2,4,3,2,4,1,0,1,3,3,17
4410,Christophe Jallet,90,1,0,0.022943359,0,95,83,0,0,0.0,1,1,8,1,2,2,4,1,3,0,7,1,4,2,0,12
5480,Corentin Tolisso,90,1,0,0.0060642036,0,78,71,0,3,0.0191769016,0,0,5,2,1,0,6,1,6,1,2,2,1,4,0,19
5492,Samuel Yves Umtiti,90,0,0,0.0,0,56,49,0,0,0.0,0,0,4,1,0,0,5,3,10,0,5,1,2,4,1,7
6600,Claudio Beauvue,90,4,0,0.1853173389,3,26,18,2,5,0.687743187,2,1,2,0,0,0,3,0,3,1,0,0,2,0,0,4
6982,Maxime Gonalons,90,0,0,0.0,0,66,59,0,0,0.0,0,0,10,1,1,0,3,2,7,0,2,3,3,3,0,18
18868,Mathieu Valbuena,83,3,1,0.229796041,3,62,50,1,3,0.5102168636000001,3,2,12,1,3,0,5,1,5,4,0,1,0,2,1,19
40407,Steed Malbranque,11,0,0,0.0,0,10,9,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
