player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3075,Javier Manquillo Gaitán,2669,7,0,0.597755493,3,1823,1482,1,16,1.3132577123,35,19,158,31,30,8,131,47,109,21,88,47,52,86,26,430
3141,André-Frank Zambo Anguissa,292,4,0,0.19322853099999998,2,176,139,0,2,0.130614597,5,5,31,9,5,3,25,7,38,4,12,5,10,12,4,124
3181,Lassana Diarra,2084,10,1,0.3136409075,1,1406,1214,1,19,0.6147738,69,52,216,55,37,8,131,70,240,36,33,24,39,89,33,535
3254,Florian Thauvin,967,17,2,1.797939043,7,458,297,0,20,1.477941783,55,22,137,12,12,1,29,6,48,36,5,5,19,16,0,194
3261,Benjamin Mendy,1965,8,1,0.115999128,4,1357,1066,1,29,2.5835403343,63,37,235,28,22,6,89,24,162,39,53,34,39,50,10,331
3420,Rémy Cabella,2557,49,5,4.51916661,24,1595,1351,2,43,4.3204003495,100,51,369,44,82,13,127,40,164,76,5,15,67,66,16,690
3457,Michy Batshuayi Tunga,2939,123,17,18.7061202483,55,677,508,6,23,2.7144555959999996,58,34,116,66,47,15,145,6,102,95,11,4,40,14,1,503
3543,Steve Mandanda,3240,0,0,0.0,0,1383,971,0,0,0.0,0,0,94,3,5,3,0,0,188,0,0,0,1,0,0,6
3639,Georges-Kévin Nkoudou Mbida,2073,48,5,3.7698007455,20,764,541,1,24,3.083435691,101,48,304,30,66,11,81,28,153,104,5,9,49,42,12,518
3951,Mario Lemina,334,6,0,0.378870854,1,209,177,0,3,0.480044984,15,9,58,8,4,0,16,6,21,5,5,3,4,9,3,68
4345,Lucas Ariel Ocampos,772,22,1,2.123792151,5,270,189,0,6,0.5259262100000001,38,15,64,11,17,2,37,10,49,22,4,6,23,19,7,182
4351,Bouna Sarr,999,16,2,1.355565105,6,527,386,0,15,1.272614374,66,26,158,24,23,4,54,14,52,33,5,7,22,22,4,220
4432,Yohann Pelé,180,0,0,0.0,0,70,60,0,0,0.0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0
7472,Nicolas Alexis Julio N'Koulou Ndoubena,2970,12,0,0.9184606829999999,1,1646,1460,0,1,0.02583393,17,10,206,34,31,10,128,37,192,5,182,59,56,62,16,278
7857,Brice Dja Djédjé,1477,10,0,0.42309059930000004,4,1151,934,0,7,0.570033047,29,16,135,23,32,7,41,13,98,24,35,24,24,21,8,161
8572,Karim Rekik,2034,5,1,0.478671449,1,1343,1222,1,7,1.066345045,4,3,166,21,29,14,77,22,107,2,95,26,45,36,7,232
8981,Antoine Rabillard,86,3,1,0.9523782159999999,2,20,13,0,0,0.0,4,2,3,5,1,0,9,1,8,3,0,0,2,1,0,19
9554,Steven Fletcher,752,19,2,2.735807509,7,262,189,2,13,1.0245935624,14,8,33,16,16,9,56,3,22,8,8,3,15,8,1,152
10036,Jacques-Alaixys Romao,1301,9,1,0.47856353799999996,3,833,707,1,7,0.474339127,9,5,89,36,24,9,75,21,81,10,32,30,29,54,7,355
13634,Stéphane Sparagna,234,3,0,0.29665990600000003,0,183,157,0,0,0.0,2,2,19,6,1,1,20,9,16,0,17,1,2,16,3,46
15296,Romain Alessandrini,1297,58,5,4.1722078441,19,559,380,4,17,2.231617962,73,25,123,15,28,7,45,12,81,25,4,11,25,19,6,254
18874,Mauricio Aníbal Isla Isla,1801,8,2,0.9121094419999999,4,1246,1052,1,19,2.0041500534,10,9,119,18,21,4,94,40,109,17,25,31,37,59,21,381
19813,Rolando Jorge Pires da Fonseca,1631,7,1,0.638590141,2,925,808,0,2,0.102037564,5,2,101,17,15,8,58,18,74,2,89,37,31,29,7,151
23933,Abdelaziz Barrada,1492,26,1,3.6303918044000003,7,1051,784,6,62,6.012596548,30,20,170,26,28,6,65,25,80,24,15,16,25,38,11,283
25199,Lucas Silva Borges,1038,12,0,0.491567809,1,757,634,0,9,0.728699391,21,13,80,22,7,2,45,18,72,21,14,6,25,28,6,318
38413,Vassiriki Abou Diaby,134,0,0,0.0,0,93,80,0,1,0.02387503,7,7,20,3,1,1,4,0,12,4,1,2,1,2,0,23
401476,Paolo De Ceglie,304,3,0,0.191318832,1,155,120,0,4,0.376860767,4,2,12,8,6,2,14,5,16,4,5,6,6,8,2,48
