player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2950,Jonas Martin,3136,31,4,3.3908888252,12,2153,1861,3,26,2.213615302,62,43,338,44,49,8,120,37,229,71,41,52,81,59,14,670
2975,Mathieu Deplagne,1799,6,0,0.25314153100000003,2,995,810,0,7,0.344948485,15,6,86,28,17,8,75,22,100,24,63,29,49,43,4,255
2980,Kévin Bérigaud,1033,22,3,2.6689681927,9,353,261,1,8,0.606186185,19,7,59,10,16,6,57,13,40,20,1,7,16,16,9,202
3011,Daniel Congré,3150,10,2,1.057994465,2,1440,1231,0,3,0.67497834,15,10,159,33,32,22,122,46,129,4,150,64,54,81,17,375
3020,Rodrigue Casimir Ninga,1982,43,7,5.364308670700001,24,578,426,4,16,1.8595698065,82,37,189,59,19,3,100,12,104,87,7,18,35,24,9,490
3191,Ramy Bensebaini,1346,11,2,0.4491511919,4,778,587,0,0,0.0,21,10,98,38,18,7,76,24,94,9,63,32,36,50,12,241
3257,Steve Michel Mounié,38,0,0,0.0,0,15,14,0,1,0.03340752,1,0,2,0,2,0,3,0,1,0,2,0,2,0,0,7
3421,Bryan Dabo,2853,35,5,3.178361475,11,1707,1348,1,20,1.789074895,119,57,326,64,122,33,109,47,209,53,43,40,62,66,17,621
3546,Morgan Sanson,558,8,3,0.7958836029999999,5,283,201,0,4,0.22421353,16,6,59,9,17,3,26,8,36,17,5,8,17,15,4,194
3674,Vitorino Hilton da Silva,3226,23,1,1.829587121,6,1597,1183,1,8,0.7781267426,16,9,293,31,31,21,133,35,209,8,193,61,75,66,14,376
3676,Jérôme Roussillon,2656,16,3,1.5015426566,6,1381,1071,2,22,2.576970615,50,26,164,23,33,10,84,34,143,42,53,30,71,54,22,416
3679,Souleymane Camara,1989,47,7,6.7865699863,24,595,417,6,20,3.0499278274000003,29,11,116,27,44,13,101,12,76,35,18,11,17,25,6,343
3682,Paul Lasne,517,3,0,0.21151258100000003,0,272,230,0,1,0.01606751,7,4,56,11,12,2,20,5,22,9,2,9,13,10,4,117
3767,Ellyes Joris Skhiri,815,5,2,0.404754442,2,385,328,0,4,0.2591536563,8,4,41,17,3,1,30,10,35,5,25,18,29,17,1,201
4599,Quentin Cornette,150,4,0,0.25728965000000004,1,40,27,0,1,0.029570108,11,3,18,6,5,0,6,2,10,6,0,4,4,2,2,40
4669,William Jean Rémy,2396,15,0,0.7009861861000001,3,1274,1003,1,9,0.8826511316,39,23,159,38,52,19,105,44,205,22,76,34,59,72,22,523
6661,Ryad Boudebouz,3244,54,2,3.1392134859,10,2255,1628,11,118,10.8232478947,130,70,355,30,52,7,118,36,182,117,11,19,59,53,18,729
7485,Djamel Bakar,203,6,0,0.481842567,3,66,48,0,3,0.258276615,4,2,11,4,0,0,9,0,8,10,1,0,4,0,0,48
7509,Geoffrey Jourdren,630,0,0,0.0,0,229,124,0,0,0.0,0,0,33,1,1,0,0,0,43,0,0,0,2,0,0,2
7590,Joris Marveaux,439,4,1,0.52557438,2,273,223,0,0,0.0,4,3,30,7,5,3,25,12,25,1,10,2,11,15,2,91
9860,Florian Sotoca,2,1,0,0.056669258,1,3,3,0,0,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
28968,Sébastien Wüthrich,2,1,0,0.030821398,1,3,3,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
30255,Mustapha Yatabaré,1408,33,4,6.099410384,15,469,340,1,7,0.4681828516,21,7,88,40,29,10,102,9,64,42,6,5,26,17,3,356
34565,Anthony Mounier,270,2,0,0.19230872300000001,2,120,81,0,1,0.09084444,14,6,30,1,6,1,7,2,19,12,1,7,5,5,1,45
34762,Anthony Ribelin,57,0,0,0.0,0,23,16,0,1,0.008689452,1,0,2,1,0,0,2,0,3,2,0,0,2,0,0,13
34976,Jean Carlos Francisco Deza Sánchez,194,4,0,0.1647529136,1,76,55,0,1,0.0063378196,8,5,28,3,5,0,4,0,11,5,0,1,7,0,0,38
40530,Jamel Saihi,597,7,0,0.255064039,2,411,339,0,8,0.2201052239,12,7,34,15,4,2,34,12,48,5,9,16,12,20,7,213
40645,Laurent Pionnier,2250,0,0,0.0,0,682,397,0,2,0.34734952300000005,1,1,63,1,4,3,1,0,127,0,1,0,1,1,0,3
40700,Mamadou N''Diaye,142,2,0,0.050851088,0,85,69,1,2,0.604548317,3,2,15,2,0,0,5,3,8,3,7,2,4,4,1,19
42428,Jonathan Ligali,540,0,0,0.0,0,165,100,0,0,0.0,0,0,19,1,0,0,1,1,28,0,0,0,2,1,0,3
