player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2950,Jonas Martin,90,0,0,0.0,0,49,34,0,1,0.010318823,0,0,8,1,0,0,2,0,4,0,1,0,5,1,0,19
3011,Daniel Congré,90,0,0,0.0,0,45,33,0,0,0.0,1,1,3,2,2,1,0,0,5,0,3,4,1,0,0,8
3020,Rodrigue Casimir Ninga,90,2,0,0.08271903300000001,0,26,17,1,1,0.1593729,1,1,9,3,1,1,6,0,7,5,0,0,0,0,0,20
3421,Bryan Dabo,90,2,1,0.21576616,2,39,26,0,0,0.0,3,1,12,1,3,0,6,3,3,1,3,0,1,3,0,18
3674,Vitorino Hilton da Silva,90,1,0,0.0439949,0,33,19,0,0,0.0,1,1,9,0,0,0,2,1,5,0,3,1,3,1,1,4
3676,Jérôme Roussillon,90,0,0,0.0,0,56,44,0,0,0.0,0,0,6,0,2,1,3,2,5,0,5,3,2,2,1,13
3679,Souleymane Camara,88,1,0,0.0060308063,1,30,23,0,1,0.0063365344,2,1,8,1,2,0,5,0,2,0,0,0,0,1,0,9
3767,Ellyes Joris Skhiri,90,1,1,0.06173018,1,27,23,0,1,0.0060308063,1,0,0,4,1,0,0,0,3,0,1,1,2,0,0,31
4669,William Jean Rémy,90,1,0,0.0063365344,0,42,37,0,1,0.008903908,2,2,2,2,3,2,3,0,6,0,2,1,3,1,0,7
6661,Ryad Boudebouz,90,3,0,0.124449326,1,69,53,0,2,0.11639511000000001,5,4,10,3,0,0,5,1,6,0,1,1,1,1,0,22
7509,Geoffrey Jourdren,90,0,0,0.0,0,31,17,0,0,0.0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
30255,Mustapha Yatabaré,2,0,0,0.0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2
