player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2943,Lucas Deaux,1184,4,0,0.2847983594,1,621,509,0,5,0.582973058,10,5,79,26,13,8,58,25,55,4,32,12,35,34,10,296
3004,Oswaldo Augusto Vizcarrondo Araújo,2616,12,0,0.8872733500000001,5,1076,816,0,1,0.059640124,3,2,79,37,12,8,100,24,74,4,182,26,43,45,9,250
3114,Emiliano Sala,1956,60,6,5.2658532245,21,605,397,3,30,3.424258503,43,19,76,59,43,17,174,21,87,64,24,10,42,26,10,507
3138,Abdoulaye Touré,204,2,0,0.034566569,0,93,76,0,1,0.010884186,8,6,13,5,2,1,9,4,14,1,6,3,3,6,2,56
3144,Léo Dubois,1982,11,0,0.332840107,2,1166,860,0,20,1.039946985,31,15,178,24,12,3,104,46,130,20,55,35,44,68,21,375
3151,Jules Iloki,1016,18,1,2.920135756,2,421,290,1,18,1.599022895,30,17,105,24,7,2,33,10,54,24,5,8,22,16,5,226
3174,Lévy Koffi Djidji,1794,6,0,0.347109637,0,755,642,0,0,0.0,7,5,101,20,7,5,90,27,96,5,107,31,40,49,11,257
3319,Yacine Bammou,1524,43,4,2.9683548117,12,696,511,1,15,1.488628499,28,14,91,48,19,10,111,12,80,37,18,13,29,22,5,423
3365,Valentin Rongier,740,7,1,0.21547039699999998,2,472,393,1,7,0.23147697900000003,16,12,62,14,11,2,58,22,65,16,12,13,16,40,10,225
3375,Adrien Thomasson,2515,39,2,2.4568809076,11,1522,1136,5,49,3.7037295820000002,51,34,298,50,47,5,120,38,230,63,23,23,79,72,18,836
3404,Youssouf Sabaly,2500,13,2,0.457146342,4,1775,1384,1,27,1.615709043,70,47,310,54,42,13,135,47,179,49,85,43,59,79,22,449
4249,Wilfried Moimbé,1322,8,0,0.165651044,3,652,454,1,10,0.9210640564,17,5,77,22,28,4,46,10,76,10,46,34,26,30,2,191
4377,Maxime Dupé,630,0,0,0.0,0,232,146,0,0,0.0,0,0,25,0,3,2,0,0,43,0,0,0,0,0,0,1
4380,Guillaume Gillet,1710,22,1,1.2877077935,5,1026,870,0,9,0.632404863,23,16,117,32,26,11,104,44,111,20,38,45,31,64,17,382
4411,Anthony Walongwa,90,0,0,0.0,0,68,60,0,0,0.0,1,1,6,1,1,0,8,0,7,0,1,1,2,1,0,7
4776,Enock Kwateng,30,0,0,0.0,0,8,7,0,0,0.0,0,0,1,0,1,0,3,0,2,0,2,1,1,2,0,5
6284,Kolbeinn Sigþórsson,1703,34,3,4.0056632884,10,564,403,0,11,0.777315895,30,20,57,41,32,12,148,14,57,30,37,5,28,19,6,324
7350,Birama Touré,1815,14,0,0.3290749005,3,979,776,2,12,0.8898768503,13,9,127,29,26,9,82,29,161,21,36,36,59,44,14,412
10461,Alexis Alégué Elandi,96,3,1,0.580320793,2,22,16,0,1,0.047312874,2,1,6,2,1,0,2,1,4,2,1,0,2,1,0,24
10746,Ermir Lenjani,1433,21,1,1.391125735,5,645,423,1,25,1.5672865440000001,16,8,86,23,23,8,42,8,72,18,31,9,28,17,4,153
10936,Lorik Agim Cana,1757,9,0,0.400955827,1,763,610,0,2,0.45278427,6,4,84,24,10,6,74,18,76,5,120,20,38,27,9,177
12351,Alejandro Bedoya,2060,46,3,5.372253995,18,903,728,3,26,2.8664367566,19,11,154,51,18,7,116,20,97,27,24,15,37,39,8,399
25377,Rémy Riou,2790,0,0,0.0,0,1054,685,0,2,0.0173927429,0,0,84,1,5,4,0,0,179,0,2,0,2,0,0,6
31681,Olivier Veigneau,168,0,0,0.0,0,109,78,0,2,0.110867083,3,2,10,0,1,1,10,2,11,2,3,3,4,5,1,24
31687,Adryan Oliveira Tavares,1462,31,3,2.5578409300000002,15,626,435,2,28,2.4157348025000003,76,38,167,15,41,10,83,25,90,43,5,6,20,42,13,298
43896,Thomas Henry,29,0,0,0.0,0,6,4,0,0,0.0,1,0,2,2,2,1,3,0,2,1,0,0,1,0,0,10
175093,Hicham M''Laab,29,0,0,0.0,0,13,10,0,0,0.0,2,0,2,0,3,0,1,1,0,2,1,0,2,1,0,3
401477,Johan Audel,1279,32,2,2.794927058,11,528,358,3,14,1.106701671,27,9,112,27,19,7,84,20,63,28,13,4,25,33,7,273
401478,Rémi Gomis,1190,5,0,0.5438000080000001,1,683,597,0,4,0.09706268500000001,3,1,88,26,10,4,52,25,69,12,21,16,13,36,6,259
