player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2971,Romain Genevois,90,0,0,0.0,0,78,77,0,0,0.0,0,0,9,2,0,0,6,3,4,1,3,1,2,4,0,12
3210,Valère Germain,76,1,0,0.08158085,0,22,18,0,0,0.0,0,0,0,0,1,0,1,0,3,1,0,1,0,0,0,13
3230,Alassane Pléa,86,3,2,0.234393909,2,33,28,0,0,0.0,3,2,12,0,1,0,1,0,0,4,0,0,0,0,0,13
3359,Jean Michaël Seri,76,2,1,0.042992875,1,92,83,0,1,0.028923644,1,0,5,2,2,0,1,0,6,1,0,0,3,1,0,23
3403,Alexandre Mendy,4,0,0,0.0,0,3,2,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4257,Yoan Cardinale,90,0,0,0.0,0,43,31,0,0,0.0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
4264,Vincent Koziello,90,0,0,0.0,0,68,62,1,3,0.444061643,0,0,9,1,2,0,5,2,4,2,3,1,1,4,0,28
4270,Jérémy Pied,90,1,0,0.004039063,0,66,51,0,1,0.069912456,3,3,11,0,0,0,5,3,6,1,1,3,0,3,1,14
4373,Mathieu Bodmer,14,0,0,0.0,0,13,9,0,0,0.0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4
4443,Paul Baysse,90,0,0,0.0,0,91,82,0,0,0.0,0,0,8,1,1,1,5,1,2,0,8,3,3,2,0,10
4506,Nampalys Mendy,90,0,0,0.0,0,113,111,0,0,0.0,1,0,26,1,3,1,1,0,9,0,0,0,0,0,0,9
6352,Ricardo Domingos Barbosa Pereira,90,0,0,0.0,0,78,68,0,1,0.18055429,1,1,6,0,0,0,11,4,6,3,2,6,5,9,2,26
16462,Hatem Ben Arfa,90,3,0,0.533535334,0,57,41,1,2,0.135917208,8,5,21,1,1,0,1,0,3,2,1,0,2,0,0,16
401528,Mahamane El-Hadj Traoré,14,0,0,0.0,0,7,6,0,0,0.0,0,0,1,1,0,0,1,0,2,0,1,1,0,1,0,7
