player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2995,Ángel Fabián Di María Hernández,2032,68,10,5.6474326325,28,1724,1297,17,90,12.035130568,80,38,300,5,24,5,16,8,112,57,0,15,28,13,6,312
2999,Presnel Kimpembe,336,0,0,0.0,0,338,309,0,1,0.12515905,0,0,27,5,1,0,18,7,17,2,17,4,9,13,1,54
3025,Christopher Nkunku,328,1,0,0.029047206,0,280,259,0,2,0.044665626,2,1,36,7,7,0,11,4,25,4,3,5,3,7,0,80
3026,Adrien Rabiot,1671,14,1,0.7332403765,5,1481,1339,1,9,0.463521703,42,24,212,37,31,8,83,44,127,29,14,26,38,63,16,482
3166,Marco Verratti,1030,2,0,0.05919408599999999,2,1443,1339,3,19,1.407000579,28,22,144,12,29,5,44,20,73,23,7,9,22,30,10,290
3295,Thiago Emiliano da Silva,2622,16,1,2.130133705,4,2467,2326,0,7,0.637415369,6,3,204,24,23,14,84,29,126,3,140,47,63,53,8,200
3481,Serge Aurier,1796,23,2,2.4534541763,5,1379,1168,1,9,1.019667502,31,21,115,35,19,5,106,40,123,33,50,33,35,73,18,394
3672,Zlatan Ibrahimović,2459,148,36,22.6984884001,78,1360,1068,13,45,8.0186603666,37,20,194,26,35,7,41,12,100,54,25,7,21,17,9,204
3745,Lucas Rodrigues Moura da Silva,2251,62,9,9.108824809,25,1287,1049,3,54,5.197158127,100,59,313,30,60,3,79,34,134,85,2,23,24,45,19,282
3956,David Luiz Moreira Marinho,2089,14,1,1.140322829,5,1885,1727,1,6,0.576857136,14,7,267,23,19,11,55,25,101,3,78,35,46,35,7,191
4319,Edinson Roberto Cavani Gómez,2291,86,19,17.340574777,45,806,681,5,23,3.504911066,26,15,65,30,21,4,39,11,66,15,7,13,29,20,2,302
4325,Thiago Motta,2255,12,1,2.040276273,2,2916,2686,1,14,1.0579693693,24,16,229,34,36,10,100,38,87,17,33,21,39,60,13,491
4326,Layvin Kurzawa,1290,16,3,1.5666129930000001,5,949,825,5,14,2.078369883,32,18,110,19,7,3,59,25,75,16,36,31,33,46,9,196
4370,Javier Matías Pastore,875,20,2,2.7049139426,6,913,733,6,29,2.9343452765,36,21,172,10,17,4,22,10,62,19,0,2,20,15,4,169
4372,Marcos Aoás Corrêa,1836,8,1,1.241808088,2,1776,1638,0,4,0.7310264200000001,3,2,138,16,4,2,65,31,79,1,80,22,50,47,13,275
4375,Blaise Matuidi,1971,16,4,2.016159588,9,1632,1478,6,25,4.653104509,33,19,157,43,34,8,92,41,97,37,17,22,47,61,15,563
4440,Kevin Trapp,3015,0,0,0.0,0,877,748,0,0,0.0,0,0,25,1,3,3,0,0,102,1,1,0,1,0,0,4
4902,Kevin Rimane,3,0,0,0.0,0,8,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7264,Thimotee Taufflieb,4,0,0,0.0,0,8,8,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
7269,Nicolas Douchez,90,0,0,0.0,0,33,30,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
7469,Salvatore Sirigu,225,0,0,0.0,0,93,78,0,0,0.0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0
8510,Jean-Kévin Augustin,422,9,1,1.469670231,5,106,92,0,3,0.382276686,15,6,24,7,7,1,12,3,17,13,5,4,10,4,3,98
8515,Benjamin Stambouli,1440,3,0,0.33098133799999996,0,1318,1210,0,5,0.5591266135,11,3,121,20,20,5,77,34,90,17,21,30,46,51,16,364
20048,Gregory van der Wiel,1378,8,2,1.151667199,4,1113,967,3,13,1.4169210617,16,7,95,18,13,4,51,19,73,15,23,30,27,39,6,216
26613,Maxwell Scherrer Cabelino Andrade,2134,10,3,1.092991877,5,1714,1538,3,25,3.507332413,25,13,131,14,11,4,64,26,90,9,39,22,36,44,14,165
34539,Hervin Scicchitano Ongenda,349,5,1,0.673209749,3,273,235,1,6,0.7106845390000001,5,2,35,5,10,1,8,1,18,8,0,3,13,2,0,75
351521,Ezequiel Iván Lavezzi,438,13,2,1.308484495,7,255,200,0,8,0.441445272,6,2,48,6,12,2,17,6,15,14,0,1,2,11,4,76
