player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2995,Ángel Fabián Di María Hernández,69,3,2,0.35754732699999997,3,26,19,0,2,0.27034569399999997,1,0,7,1,2,0,0,0,1,1,0,0,4,0,0,13
2999,Presnel Kimpembe,21,0,0,0.0,0,29,28,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6
3026,Adrien Rabiot,69,1,0,0.042910684,0,71,65,0,0,0.0,0,0,10,0,2,0,4,3,1,4,1,1,2,4,0,18
3481,Serge Aurier,90,1,0,0.0062947473,0,135,130,0,0,0.0,0,0,12,0,1,0,4,2,7,1,2,2,0,3,1,13
3672,Zlatan Ibrahimović,90,4,1,0.226075534,2,68,56,0,0,0.0,1,1,11,0,0,0,0,0,2,1,0,1,1,0,0,8
3745,Lucas Rodrigues Moura da Silva,90,2,1,0.18625524799999998,1,65,52,1,3,0.108098197,6,4,15,0,2,0,4,3,3,5,0,0,1,3,1,25
3956,David Luiz Moreira Marinho,69,1,0,0.09832551,0,79,72,0,0,0.0,0,0,10,0,0,0,2,1,5,0,2,2,1,1,0,3
4319,Edinson Roberto Cavani Gómez,21,1,0,0.48587784,1,9,9,0,0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3
4325,Thiago Motta,90,0,0,0.0,0,139,123,0,2,0.0380750353,0,0,12,1,0,0,4,1,5,0,2,0,2,3,0,20
4375,Blaise Matuidi,90,1,0,0.05210939,1,101,90,3,3,0.93041782,0,0,5,3,4,2,7,2,6,0,3,1,6,4,0,35
4440,Kevin Trapp,90,0,0,0.0,0,27,26,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8515,Benjamin Stambouli,21,0,0,0.0,0,48,47,0,0,0.0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,7
20048,Gregory van der Wiel,90,2,1,0.75175481,2,52,47,1,2,0.160581687,1,0,3,0,0,0,2,1,5,1,0,3,0,2,1,20
26613,Maxwell Scherrer Cabelino Andrade,90,0,0,0.0,0,97,91,0,1,0.48587784,0,0,3,1,0,0,3,2,7,1,0,3,0,2,1,10
