player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2985,Ludovic Baal,1519,1,0,0.013880223,0,976,793,3,17,1.839014552,34,22,146,19,27,10,74,35,93,42,27,21,50,51,20,357
2990,Benjamin André,2632,22,0,1.2032111787000002,7,1968,1591,2,24,1.42079207,55,32,236,54,86,23,208,64,192,72,57,44,84,105,26,818
2994,Abdoulaye Diallo,630,0,0,0.0,0,169,133,0,0,0.0,1,1,9,0,0,0,0,0,28,0,0,0,0,0,0,0
3018,Giovanni-Guy Yann Sio,2629,71,7,9.7090091313,22,749,547,5,24,3.04307425,49,24,131,63,45,19,164,16,73,52,13,8,43,25,7,494
3022,Fallou Diagne,1858,17,5,2.7342488982999997,5,943,754,0,3,0.202525283,11,7,108,33,11,6,70,19,110,9,108,32,48,37,7,195
3195,Mehdi Zeffane,815,13,1,0.5714211517000001,6,466,369,1,6,0.438458804,11,3,48,8,10,2,50,10,52,12,9,16,24,28,5,151
3250,Edson André Sitoe,1305,5,0,0.351938075,1,587,498,0,1,0.0045949887,7,5,48,9,5,3,34,10,74,6,75,26,22,18,4,97
3292,Abdoulaye Doucouré,946,20,2,1.888473203,7,577,498,2,20,1.2868196075,21,12,91,9,5,2,46,15,54,28,6,8,20,24,2,302
3354,Benoît Guy Robert Costil,2790,0,0,0.0,0,911,565,0,0,0.0,0,0,76,0,3,3,0,0,138,0,2,0,1,0,0,2
3424,Cheikh M''Bengue,1895,5,0,0.462598314,0,1195,1000,0,9,0.983001045,12,6,92,35,25,9,77,25,84,16,62,32,57,50,8,249
3735,Wesley Saïd,10,0,0,0.0,0,5,3,0,1,0.12626152,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3753,Pedro Filipe Teodósio Mendes,1856,9,0,0.40082526799999996,0,942,784,0,5,0.278477198,21,15,127,29,36,21,70,24,102,4,100,32,49,41,9,247
4417,Ola Toivonen,17,1,0,0.0435603,1,3,2,0,0,0.0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2
4473,Nicolas Janvier,28,0,0,0.0,0,17,11,0,0,0.0,1,0,3,1,1,1,0,0,0,2,0,1,0,0,0,9
4475,Romain Danzé,1611,6,0,1.006241081,4,1033,805,3,14,1.4821341394,15,10,80,15,6,3,64,15,64,7,73,26,48,34,1,223
4602,Yoann Gourcuff,620,10,2,0.926122902,3,390,339,0,12,0.7535636006,9,7,71,6,13,1,17,9,49,26,2,7,10,11,7,105
4900,Paul-Georges Ntep de Madiba,921,21,2,2.9395300576,8,416,272,3,20,3.00184943,65,28,120,8,26,5,26,9,46,29,5,1,7,15,6,140
4909,Jeremie Boga,983,21,3,2.4550633887,11,324,267,0,12,1.625404003,58,36,134,6,20,1,24,3,41,25,0,2,12,5,1,153
5477,Ousmane Dembélé,1934,56,12,6.7403272358,27,718,490,5,41,4.087765227,140,80,274,5,38,5,60,14,102,60,4,14,32,25,7,364
5667,Kamil Grosicki,1536,52,9,4.4065556097,24,652,423,3,26,2.8473559017000003,49,24,166,18,7,3,42,9,64,45,14,6,20,16,3,228
5692,Juan Fernando Quintero Paniagua,813,16,1,0.7247189374,5,613,491,2,14,1.132936632,40,20,100,0,9,1,9,2,45,17,2,4,7,3,1,72
7197,Steven Moreira,1227,2,0,0.031993478,0,775,588,0,9,0.616651654,15,5,76,15,5,3,46,11,79,14,23,26,30,27,6,253
8672,Gélson da Conceição Tavares Fernandes,2901,9,1,0.928869835,2,1564,1385,1,9,0.3893371617,16,12,127,70,22,8,165,78,179,27,39,35,83,129,32,942
10746,Ermir Lenjani,78,0,0,0.0,0,23,17,0,0,0.0,1,0,0,1,1,0,3,0,2,1,1,0,1,1,0,11
16503,Pedro Henrique Konzen Medina da Silva,1206,37,3,3.8961184082,10,425,296,1,12,0.7063915113,32,14,108,41,33,14,59,10,50,33,10,16,30,28,4,266
18921,Joris Gnagnon,227,3,0,0.075424141,1,86,75,0,1,0.048026208,3,1,5,6,4,1,14,5,10,4,8,3,1,7,3,33
29714,Yacouba Sylla,1495,11,0,0.4381007158,4,887,739,1,9,0.454413975,28,22,141,39,21,2,81,31,116,36,42,21,28,49,11,386
40509,Kermit Romeo Erasmus,35,0,0,0.0,0,22,19,0,3,0.14056766299999998,0,0,5,0,0,0,2,0,1,0,0,0,2,0,0,8
40699,Sylvain Armand,2991,14,1,2.410862464,4,1742,1450,1,13,1.2254797952999998,15,14,238,24,18,6,93,37,197,8,163,56,56,57,11,266
42423,Mouhamadou Habib Habibou,7,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
45685,Sébastien Antoine Luc Salles Lamonge,109,3,0,0.395734703,1,98,76,0,3,0.26501216,3,1,8,5,2,1,6,0,5,3,0,1,0,1,0,26
