player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2985,Ludovic Baal,90,0,0,0.0,0,46,38,0,0,0.0,3,1,5,1,1,0,9,7,1,1,1,1,2,8,3,17
2990,Benjamin André,77,0,0,0.0,0,32,24,0,0,0.0,1,0,5,0,3,1,2,0,2,3,1,2,0,1,0,22
3018,Giovanni-Guy Yann Sio,27,1,0,0.0077129626,0,7,5,0,0,0.0,0,0,0,1,0,0,1,0,1,1,0,0,2,0,0,5
3022,Fallou Diagne,90,0,0,0.0,0,20,16,0,0,0.0,0,0,1,1,0,0,4,1,6,2,3,2,4,2,0,12
3195,Mehdi Zeffane,68,3,1,0.39135823000000003,1,18,13,1,1,0.05218829,2,0,3,0,2,1,3,0,4,0,0,1,4,1,0,19
3250,Edson André Sitoe,90,0,0,0.0,0,31,28,0,0,0.0,0,0,2,0,0,0,1,0,3,0,7,2,1,1,0,6
3354,Benoît Guy Robert Costil,90,0,0,0.0,0,34,12,0,0,0.0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
3424,Cheikh M''Bengue,13,0,0,0.0,0,3,1,0,0,0.0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,1
5667,Kamil Grosicki,22,0,0,0.0,0,5,2,0,0,0.0,1,0,1,0,0,0,3,0,1,0,0,0,1,2,0,8
7197,Steven Moreira,90,0,0,0.0,0,38,31,0,1,0.10252377,0,0,3,0,0,0,2,0,0,0,1,1,3,2,0,16
8672,Gélson da Conceição Tavares Fernandes,90,0,0,0.0,0,25,23,0,0,0.0,1,0,3,3,2,0,2,0,4,0,1,2,2,1,0,32
16503,Pedro Henrique Konzen Medina da Silva,63,1,1,0.05218829,1,12,7,0,0,0.0,0,0,0,3,2,0,1,0,1,0,1,0,1,0,0,18
29714,Yacouba Sylla,90,0,0,0.0,0,44,39,1,1,0.03836644,1,1,5,2,2,0,3,2,3,2,2,0,1,3,0,28
40699,Sylvain Armand,90,1,0,0.06249675,1,19,13,0,0,0.0,0,0,1,0,0,0,1,0,1,0,6,1,1,1,0,6
