player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3248,Hamari Traoré,2912,20,2,0.49429867239999997,5,1812,1355,1,34,2.4936614770000003,55,34,242,51,31,15,161,52,201,25,90,85,109,94,33,552
3980,Johny Placide,1619,0,0,0.0,0,545,317,0,1,0.36293006,0,0,65,0,5,5,0,0,103,0,0,0,0,0,0,1
4383,Nicolas de Roussel de Préville,2915,91,6,9.1870404949,37,1113,694,8,70,7.6270130272,124,53,319,67,103,18,150,35,186,107,9,20,46,50,20,546
4545,Prince Oniangué,2094,32,4,3.2661722872,13,889,743,1,8,0.680580683,8,4,106,21,20,10,85,26,97,19,41,23,39,31,9,532
6648,Aïssa Mandi,2858,20,5,3.1976906734,9,1393,1172,1,5,0.462805805,8,7,169,24,24,15,106,30,145,5,193,45,61,49,9,261
7363,Diego Rigonato Rodrigues,1449,36,3,2.8821764313,8,728,454,3,28,3.526284287,34,13,101,40,41,13,71,22,75,22,17,16,29,37,10,234
7367,Grejohn Kyei,728,20,3,3.6549763850000003,8,161,112,2,8,1.2697578859999998,26,20,39,20,14,4,48,4,25,35,4,2,7,8,0,149
7369,Aly Ndom,347,4,0,0.23734676999999998,1,179,148,0,5,0.23099692900000002,7,7,20,8,4,2,15,4,21,5,8,4,7,7,0,58
7375,Theoson Jordan Siebatcheu,845,29,3,3.180986468,8,229,158,1,7,0.982217304,27,13,44,30,8,3,79,17,50,26,3,3,18,22,8,208
7435,Anthony Weber,1592,5,1,0.46269880399999996,2,782,662,0,3,0.099977414,8,7,79,12,17,12,67,14,53,4,97,27,44,29,3,189
7438,Hassane Kamara,32,1,0,0.0051285247,0,8,7,0,0,0.0,0,0,5,1,1,1,2,0,3,3,0,0,0,1,0,11
7498,Mickaël Tacalfred,1165,4,0,0.2003375757,1,597,495,0,2,0.185150528,5,3,79,19,8,7,57,17,54,3,52,22,23,30,4,145
7635,Gaëtan Charbonnier,1259,22,4,1.7813018868,9,575,412,1,19,1.7276567073,47,21,59,23,22,8,91,14,87,38,7,12,28,22,6,327
7641,Johann Carrasso,900,0,0,0.0,0,271,142,0,0,0.0,0,0,24,2,2,2,0,0,35,0,0,0,0,0,0,2
7815,Antoine Devaux,2849,23,1,1.939471843,9,1398,1141,1,21,1.8242540227000001,23,19,209,54,39,11,140,52,203,36,38,33,66,81,23,691
7817,Frédéric Bulot,1021,20,1,1.020364049,7,525,400,0,12,0.7799649604,19,12,102,8,14,2,29,9,56,17,4,4,13,11,2,99
13731,Eddy Maanane,15,0,0,0.0,0,4,2,0,0,0.0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
18783,Omenuke Mfulu,378,4,0,0.15228952,0,223,179,0,3,0.166269805,7,5,30,9,7,2,19,7,25,4,9,4,11,12,2,125
23329,Abdelhamid El Kaoutari,645,2,0,0.097518619,0,310,242,0,2,0.071195305,4,2,54,6,8,7,26,9,31,2,32,6,13,13,2,65
23761,Alhassane Bangoura,421,16,1,1.1057219765000001,4,159,113,1,8,0.543485201,28,14,52,11,4,0,18,5,35,13,0,3,7,8,3,91
26775,Thievy Guivane Bifouma Koulossa,937,18,4,3.351390091,8,272,189,1,9,0.972551033,33,15,93,20,19,5,73,6,71,43,1,2,14,12,4,207
30291,Atila Turan,747,13,2,0.9163730345,3,341,237,0,3,0.332729668,12,8,37,8,3,1,21,8,47,7,19,11,7,13,3,100
40521,Franck Signorino,2559,1,0,0.016091244,0,1427,1066,2,12,0.41464894950000003,27,13,141,29,36,16,99,34,116,30,118,34,80,51,8,390
46801,Jaba Kankava,2361,11,0,0.47038966449999997,4,1219,1002,1,15,1.208640531,25,15,128,47,51,12,141,61,215,42,64,41,83,97,28,734
95699,Alexi Peuget,667,6,0,0.218435223,2,401,311,0,4,0.151713964,4,3,30,18,11,8,46,21,41,6,18,12,26,29,3,192
131849,Antoine Conte,918,9,0,0.260906515,2,484,385,0,2,0.14084663,6,3,70,12,4,2,26,13,64,7,37,12,19,18,7,98
401453,"David N""Gog",778,20,3,3.3005234879999996,12,226,151,0,8,0.643698955,17,9,39,23,18,3,76,8,24,32,5,2,12,12,3,156
401453,David N'Gog,75,2,0,0.109431543,0,16,8,0,0,0.0,2,0,5,1,2,0,8,0,3,2,0,0,0,1,0,18
401454,Kossi Agassa,901,0,0,0.0,0,336,226,0,0,0.0,0,0,23,0,2,1,0,0,50,0,1,0,0,0,0,3
401455,Mohamed Fofana,981,3,0,0.487096861,1,378,324,1,1,0.005822234,3,1,59,8,4,2,35,6,37,1,66,22,18,13,2,107
401488,Odaïr Junior Lopes Fortes,481,7,0,0.591305052,0,242,175,0,9,1.297804589,27,13,63,7,5,2,23,5,29,9,4,4,11,10,3,121
401775,Hugo Rodriguez,171,1,0,0.030896418,1,53,40,0,1,0.027016139,4,2,12,3,3,1,7,1,5,3,2,1,1,5,0,55
