player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2961,Yann Bodiger,1077,10,1,0.777628768,2,692,526,0,6,0.6636221325,24,15,89,25,10,3,63,22,97,14,26,26,22,37,12,316
2981,Alban Lafont,2144,0,0,0.0,0,688,359,0,0,0.0,0,0,50,0,11,7,0,0,136,0,1,0,0,0,0,1
3024,Jacques François Moubandje,1881,4,0,0.0436796253,0,1131,800,0,17,0.9732033542,64,33,124,20,29,12,87,26,119,30,74,27,44,43,9,278
3030,Wergiton do Rosário Calmon,2121,12,0,0.986939694,4,937,731,2,11,1.029958327,41,24,152,30,44,13,158,64,165,50,71,43,70,101,31,530
3032,Zinédine Machach,860,8,1,0.262306735,4,398,309,1,9,1.824710829,56,27,124,36,9,0,50,16,69,34,5,6,23,27,8,290
3035,Steeve Yago,1451,1,0,0.044185184,0,632,514,0,3,0.208423401,6,3,47,22,15,7,53,25,77,9,59,27,47,46,8,217
3036,Alexis Blin,1409,13,0,0.5001265739999999,2,795,633,0,11,0.553586879,12,6,69,23,40,16,93,34,118,9,47,15,47,49,11,422
3189,Étienne Didot,1642,13,0,0.3673328197,2,1211,854,2,23,1.8619804354,23,8,118,37,31,8,79,22,118,21,33,28,24,41,9,417
4349,Issa Diop,1890,6,1,0.7491175210000001,2,769,576,0,3,0.461233218,2,1,116,32,15,10,59,21,95,4,118,29,25,35,6,164
4447,Martin Braithwaite Christensen,2930,108,11,15.1408548925,42,665,520,0,23,3.0292859500000002,79,37,152,38,44,11,126,10,119,69,20,10,37,16,4,423
6723,Wissam Ben Yedder,2884,94,17,18.911515287,49,981,691,5,27,3.132447228,51,24,159,24,53,10,144,17,153,64,2,17,38,21,10,554
8677,Marcel Tisserand,2865,10,1,1.287945523,5,1340,1017,0,14,1.0174063235000002,25,11,186,45,24,13,131,43,167,18,183,40,63,77,10,366
11540,Óscar Guido Trejo,2190,43,4,3.1683144601,12,1301,940,4,54,5.958565267,100,56,291,58,63,8,137,45,192,101,7,17,33,75,27,678
16418,Adrien Regattin,1516,33,1,0.9897005804,12,949,643,3,38,3.55526769,58,22,178,25,54,13,63,24,122,46,11,19,32,30,9,392
16430,Uroš Spajić,1091,5,0,0.712453757,0,438,349,0,0,0.0,2,1,37,17,13,11,43,11,26,2,66,13,20,18,3,123
16522,Tongo Hamed Doumbia,1910,32,1,3.431311861,14,983,825,1,13,1.2245496045,26,18,180,45,41,15,135,40,143,35,30,22,47,58,20,503
22130,Mauro Daniel Goicoechea Furia,736,0,0,0.0,0,246,127,0,0,0.0,0,0,13,1,2,2,0,0,37,0,0,0,0,0,0,1
30447,Jean-Armel Kana-Biyik,1466,9,2,0.9253386469999999,2,677,579,0,5,0.581004323,6,4,91,12,17,10,47,13,57,5,90,18,17,18,5,138
31174,Jean-Daniel Akpa Akpro,2556,20,1,1.2426504442,6,1152,846,4,22,4.334188161,67,38,200,68,50,17,204,83,176,58,43,42,79,132,40,894
40431,Aleksandar Pešić,623,15,2,1.3218107864000002,3,140,89,1,5,0.498729665,5,2,36,15,16,5,56,2,20,14,2,1,13,5,1,129
40526,François Pantxi Sirieix,72,0,0,0.0,0,55,37,2,3,0.34183504630000006,1,0,10,1,3,2,4,1,3,2,0,0,1,1,0,28
40641,Pavle Ninkov,513,1,0,0.03586977,0,266,189,1,4,0.67226478,6,1,15,8,3,1,29,11,34,5,17,10,12,19,4,68
41385,Ali Nadhoim Ahamada,540,0,0,0.0,0,122,67,0,0,0.0,0,0,15,0,0,0,0,0,32,0,0,0,0,0,0,0
44065,William Matheus da Silva,1245,0,0,0.0,0,649,461,1,8,0.9977098364,15,7,85,14,27,10,58,19,64,12,43,12,31,34,7,180
141742,Youssef Ben Ali,14,0,0,0.0,0,13,10,0,0,0.0,1,1,3,0,0,0,1,0,3,0,0,0,0,0,0,4
