player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2969,Karim Azamoum,724,14,2,0.9335349989999999,5,378,292,1,14,0.9504886704,11,3,53,15,7,2,54,16,33,12,10,9,9,22,8,198
2976,Samuel Grandsir,15,0,0,0.0,0,4,4,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3
2993,Stéphane Darbion,1584,31,1,2.9872512860000002,11,906,696,1,27,1.8130155377000001,48,22,202,24,27,4,68,13,101,40,8,15,36,24,3,317
3002,Benjamin Nivet,2340,30,2,3.567547126,10,1468,1167,4,38,3.2942675047,24,12,133,46,47,13,122,44,155,63,42,28,72,63,14,722
3010,Corentin Jean,2590,55,3,3.809324638,20,756,594,1,39,3.2952055154,61,25,184,41,61,25,140,14,103,50,7,7,31,23,10,525
3161,Chaouki Ben Saada,809,24,1,1.851229917,11,527,393,1,17,1.217532971,34,22,102,10,16,6,24,11,61,17,5,3,23,16,7,217
3364,Jonathan Martins-Pereira,899,2,0,0.090932365,0,767,636,2,15,0.8173934,11,8,99,19,7,3,36,20,46,13,21,13,19,28,7,162
4390,Charles Traoré,450,1,0,0.010682207,0,234,168,0,1,0.27456996,7,2,24,7,5,2,38,13,19,6,23,9,18,24,6,105
4413,Aloïs Confais,1150,4,0,0.1014634402,0,653,544,1,4,0.16842253699999998,12,8,80,24,21,6,65,21,86,9,27,18,29,37,7,343
7193,Paul Bernardoni,1260,0,0,0.0,0,428,219,0,0,0.0,0,0,22,0,2,1,0,0,80,0,1,0,0,0,0,1
7283,Thiago Xavier Rodrigues Corrêa,1056,13,2,1.839662152,5,452,353,0,2,0.097201686,4,2,22,33,12,7,73,29,57,3,67,16,40,38,9,263
7301,Lossémy Karaboué,2279,24,0,1.0910961593,6,1448,1161,2,29,1.7379758057,62,34,271,28,43,6,78,22,178,57,47,31,40,39,9,331
7336,Jimmy Cabot,729,20,3,1.545246697,11,376,266,1,15,1.234523499,56,28,118,15,13,0,37,15,71,23,1,8,20,26,7,209
7376,Yoann Court,953,23,0,1.7921959411000001,7,388,276,0,12,0.618354477,35,23,117,21,27,5,45,20,53,15,6,12,37,28,9,294
7415,Jessy Pi,3087,54,3,1.7908639617,16,1660,1328,0,26,1.5725922058,59,39,358,36,13,6,134,53,237,31,57,59,84,93,21,859
7488,Thomas Ayasse,1019,11,1,0.565407592,4,553,424,0,4,0.12834890799999998,5,3,55,29,12,6,76,23,54,10,47,17,29,41,5,236
7685,Mory Koné,238,0,0,0.0,0,119,102,1,1,0.117888525,1,1,19,1,1,1,8,2,8,0,6,1,4,5,1,19
13730,Matthieu Saunier,2326,8,0,0.758666175,1,1043,893,0,3,0.28618278,12,10,220,18,14,8,99,34,159,3,158,40,63,52,14,239
15796,Babacar Gueye,603,14,1,1.704516195,5,181,136,2,8,0.438178433,4,1,25,9,6,3,35,3,19,8,7,0,12,3,2,131
18162,Chris Mavinga,1553,9,0,0.7703624941999999,1,658,527,0,6,0.542868172,18,13,90,24,12,3,52,15,47,10,66,21,41,34,4,188
26752,Mouhamadou Dabo,1149,6,0,0.15742573199999998,1,531,437,0,4,0.12722493399999998,17,14,72,18,13,5,44,11,67,11,44,12,27,25,2,150
27014,Deniz Hümmet,157,1,0,0.055601783,1,34,24,0,2,0.261128606,1,0,3,4,0,0,11,0,2,4,0,1,4,1,0,35
29133,Brayan Andrés Perea Vargas,547,6,0,0.8303618039999999,2,132,90,0,3,0.21906631,10,5,24,24,9,3,50,1,13,8,7,0,8,4,0,125
31625,Johan Martial,570,1,0,0.06320845,0,231,178,0,1,0.057372347,5,3,31,6,1,1,33,13,30,1,41,13,16,19,4,69
34953,Denis Petrić,810,0,0,0.0,0,266,163,0,0,0.0,0,0,15,0,2,2,0,0,44,0,1,0,0,0,0,2
36553,Matthieu Dreyer,1260,0,0,0.0,0,446,300,0,1,0.26209345,0,0,28,0,2,2,0,0,75,0,1,0,0,0,0,0
42422,Dušan Veškovac,1055,1,0,0.045604598,0,506,442,0,0,0.0,0,0,93,8,9,5,36,14,38,1,80,19,27,19,4,102
148132,Quentin Othon,586,3,1,0.0472800845,1,351,275,0,1,0.11775484,0,0,26,2,1,1,32,10,20,1,20,10,9,24,3,75
170152,Mahamadou Bamba N''Diaye,13,0,0,0.0,0,2,2,0,0,0.0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1
401470,Fabien Camus,2319,65,5,4.489198003,21,1174,841,1,41,3.1018959486,51,25,283,28,24,9,84,28,128,51,6,23,31,40,14,496
401471,Henri Bienvenu Ntsama,179,5,0,0.496386111,0,38,29,0,1,0.0505574,1,0,4,2,0,0,16,0,5,2,0,0,0,0,0,14
401472,Carlos Eduardo de Castro Lourenço,625,3,0,0.220577044,2,285,235,0,2,0.05640035,6,5,54,7,11,8,24,14,35,0,22,21,13,21,3,69
401479,Calvin Anele Ngcongca,1697,4,0,0.325215098,1,699,586,0,5,0.216203782,2,2,63,8,8,5,48,14,45,3,101,30,28,20,4,157
