player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2993,Stéphane Darbion,90,4,0,0.125516479,0,54,44,0,3,0.216228316,4,1,11,0,1,0,3,1,10,2,0,1,3,2,0,23
3002,Benjamin Nivet,60,2,0,0.182970928,1,41,28,0,0,0.0,0,0,2,1,0,0,5,1,1,2,0,0,1,2,0,32
3010,Corentin Jean,90,0,0,0.0,0,20,18,1,2,0.06197415,1,0,5,2,0,0,5,1,1,3,0,0,1,1,1,27
3364,Jonathan Martins-Pereira,90,0,0,0.0,0,66,50,0,2,0.072048978,2,1,5,0,0,0,3,1,8,1,2,2,3,2,0,20
7193,Paul Bernardoni,90,0,0,0.0,0,28,16,0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
7336,Jimmy Cabot,14,0,0,0.0,0,6,5,0,0,0.0,2,0,1,1,0,0,0,0,2,1,0,0,1,0,0,9
7376,Yoann Court,30,0,0,0.0,0,6,5,0,0,0.0,0,0,2,0,0,0,2,1,0,0,0,0,1,2,0,14
7415,Jessy Pi,90,1,0,0.019016137,0,52,42,0,0,0.0,2,2,15,1,1,0,2,0,3,0,2,9,1,2,0,30
7488,Thomas Ayasse,90,2,1,0.049502328,1,52,42,0,0,0.0,2,1,4,1,0,0,5,1,4,1,4,2,4,4,0,37
13730,Matthieu Saunier,90,0,0,0.0,0,18,13,0,0,0.0,0,0,6,0,0,0,2,1,4,0,9,2,2,1,0,9
18162,Chris Mavinga,65,0,0,0.0,0,22,17,0,1,0.06605785,2,1,5,2,0,0,1,0,2,0,0,1,2,1,0,9
26752,Mouhamadou Dabo,25,0,0,0.0,0,13,12,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
31625,Johan Martial,90,0,0,0.0,0,23,18,0,0,0.0,0,0,1,0,0,0,2,2,4,0,4,1,2,2,0,13
401470,Fabien Camus,76,2,0,0.099315238,1,34,27,0,0,0.0,2,0,8,0,2,0,2,1,6,2,1,1,0,2,1,16
