player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3049,Matt Ritchie,2977,79,4,4.6373052321,19,1675,1188,6,41,3.5723528972,49,26,230,49,62,15,104,32,210,55,41,42,85,53,13,621
3085,Glenn Murray,677,25,3,3.990231316,12,178,121,0,3,0.10893497399999999,16,8,21,19,19,3,32,3,13,19,10,0,12,9,1,154
3278,Benik Afobe,932,14,4,1.948932968,5,224,193,0,11,0.580365465,20,8,41,16,11,1,56,4,26,18,9,3,12,6,1,197
3304,Harry Arter,1665,36,1,1.0289659574,7,1042,892,0,24,1.0725561703,38,21,169,26,24,4,73,38,124,28,14,17,32,58,20,468
3323,Tyrone Mings,11,0,0,0.0,0,2,2,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
3341,Steve Cook,3195,26,4,2.3511459649999997,8,1641,1317,0,4,0.10935325,1,0,292,20,10,7,106,20,132,5,253,60,62,40,3,189
3343,Dan Gosling,2448,40,3,3.0795959647,11,1230,1036,1,29,2.1514684699999997,59,34,202,46,48,7,125,44,139,55,29,26,71,75,22,646
3344,Andrew Surman,3420,16,0,0.7623997892,0,2309,1979,3,45,2.490696834,26,17,229,32,22,12,121,30,218,24,82,56,65,50,7,539
3345,Charlie Daniels,3285,23,3,2.934878228,7,2239,1781,5,36,2.6821779047,67,47,332,11,20,6,117,35,189,44,86,24,54,80,15,427
3346,Joshua King,1913,56,6,5.83628998,21,457,342,2,23,2.7142253347,103,57,172,36,31,9,107,24,104,76,19,10,28,33,14,593
3463,Junior Stanislas,1436,46,3,2.4055857666,11,776,554,2,33,3.59905837,62,34,167,16,16,1,56,12,83,37,16,15,33,25,3,265
3608,Simon Francis,3420,6,0,0.1969073493,1,2454,1936,4,36,3.1885941864,49,34,363,38,13,6,190,64,152,20,213,60,58,109,30,403
3616,Callum Wilson,768,18,5,3.284940989,6,143,105,0,8,0.998488606,33,11,47,12,18,3,37,3,32,26,1,2,14,6,0,145
3646,Marc Pugh,1337,22,3,2.683968362,9,555,410,2,14,1.2141667790000001,60,28,166,12,28,4,62,16,70,49,16,12,25,30,8,225
3807,Ryan Allsop,45,0,0,0.0,0,10,9,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4416,Max-Alain Gradel,891,18,1,1.5043037857,6,339,226,2,10,1.074003893,45,20,90,12,26,4,41,14,70,23,9,12,20,25,7,214
4738,Lee Tomlin,290,4,0,0.22449919,3,122,88,0,7,0.6261857209999999,9,4,23,2,9,5,14,2,18,8,0,0,7,4,1,80
6409,Adam Smith,2100,15,2,0.5216790726,4,1274,1055,0,14,0.633737152,56,35,266,37,55,13,112,44,108,37,49,27,50,67,22,537
9593,Lewis Grabban,576,15,0,1.458678851,8,250,210,0,3,0.209405222,22,10,70,7,3,0,22,5,29,24,2,4,9,8,2,173
9626,Tommy Elphick,1013,5,1,0.43302065,2,462,379,0,1,0.008679751,0,0,39,10,6,5,34,8,28,2,53,16,6,14,2,63
13248,Eunan O''Kane,756,8,0,0.601545634,2,383,302,1,5,0.323381392,15,10,35,8,13,6,18,3,30,10,11,7,13,7,0,132
13573,Yann Kermorgant,129,2,0,0.14714601500000002,0,59,39,0,2,0.0650241,3,2,3,0,5,3,4,0,6,5,1,1,4,0,0,17
20074,Artur Boruc,2880,0,0,0.0,0,913,596,0,2,0.131090586,1,1,43,1,2,2,0,0,158,0,2,1,0,0,0,4
24888,Adam Federici,495,0,0,0.0,0,130,98,0,0,0.0,0,0,9,0,0,0,0,0,27,0,0,0,0,0,0,0
27949,Juan Manuel Iturbe Arévalo,58,1,0,0.035855655,1,27,19,0,1,0.014058703,4,3,10,0,1,0,0,0,5,4,0,4,2,0,0,15
29382,Shaun MacDonald,31,0,0,0.0,0,19,17,0,0,0.0,1,1,2,0,0,0,1,1,2,0,0,0,0,1,1,7
40218,Sylvain Distin,841,2,0,0.16814246000000002,0,479,394,0,0,0.0,3,3,70,5,2,0,35,6,40,2,45,4,14,17,1,76
45014,Tokelo Anthony Rantie,41,1,0,0.11557082,0,11,9,0,1,0.03311609,3,0,3,3,0,0,3,2,1,1,0,0,0,3,0,14
