player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3385,Alexis Alejandro Sánchez Sánchez,2437,111,13,11.2630744794,40,1488,1153,4,57,7.617406035,165,103,379,37,79,17,105,25,199,99,6,14,43,39,13,400
3388,Jack Wilshere,141,1,0,0.3143006,0,77,70,0,0,0.0,11,5,19,2,7,0,5,1,9,1,4,0,1,3,1,33
3394,Laurent Koscielny,2846,20,4,3.20216603,9,1671,1462,0,9,0.590671246,8,5,311,34,26,17,128,31,162,11,218,61,71,53,14,269
3437,Francis Joseph Coquelin,1679,9,0,0.2358031105,0,1104,992,0,6,0.471557193,36,30,89,33,36,8,93,57,144,23,29,52,42,78,14,365
3461,Petr Čech,3060,0,0,0.0,0,1036,680,0,2,0.223328085,2,2,88,0,5,4,0,0,172,1,2,0,2,0,0,3
3475,Per Mertesacker,2120,8,0,1.236622578,2,1238,1121,0,1,0.22755308,2,2,147,8,9,7,43,14,61,2,136,16,25,20,2,87
3496,Mesut Özil,3039,49,6,5.9662406854,19,2511,2057,19,142,13.8245627795,92,54,361,24,53,8,57,24,154,66,6,19,25,34,9,467
3498,Ignacio Monreal Eraso,3249,13,0,1.202076251,4,2259,1885,3,28,3.4074727342999998,26,12,183,30,47,22,148,50,136,9,123,66,86,83,22,428
3511,Héctor Bellerín Moruno,3240,13,1,0.6149053369999999,3,2094,1748,5,24,3.3855834309999997,103,67,299,24,14,1,112,34,152,45,86,40,68,62,15,366
3517,Aaron Ramsey,2622,67,5,7.420695429799999,20,2197,1861,4,38,3.4415317203,68,41,349,61,57,6,125,57,233,63,31,32,57,88,23,696
3525,Alex Oxlade-Chamberlain,931,23,1,1.4757364623,5,495,380,0,17,2.183448733,50,36,154,10,16,3,31,18,65,30,5,11,28,24,5,188
3528,Kieran Gibbs,391,5,1,0.674481988,1,219,163,0,1,0.041664135,11,4,30,3,5,3,28,7,20,8,16,7,17,13,3,104
3568,Mohamed Naser Elsayed Elneny,792,13,0,0.9750984220000001,2,744,687,1,3,0.257629485,8,4,87,10,13,1,19,6,47,5,22,15,15,9,3,167
3569,Daniel Nii Tackie Mensah Welbeck,576,20,4,3.023731793,11,145,118,2,7,0.811924597,34,17,41,5,9,2,45,9,21,18,7,3,14,18,5,111
3604,Olivier Giroud,2431,103,16,13.017702893,43,825,573,6,32,4.263532365,29,14,62,45,36,11,180,29,57,48,24,4,40,41,3,426
3647,Alex Iwobi,625,15,2,1.7235450079999999,6,374,314,2,12,1.131823343,19,12,92,2,5,0,18,8,27,17,2,10,11,10,3,101
3668,Theo Walcott,1372,46,5,6.700536241,22,333,254,2,15,1.803735648,48,26,95,3,28,3,37,7,59,41,9,9,20,12,5,151
3713,Calum Chambers,320,2,0,0.18610070499999998,1,189,165,0,2,0.140563222,11,8,28,5,3,2,19,8,19,2,25,6,14,9,5,65
4276,David Ospina Ramírez,360,0,0,0.0,0,127,78,0,0,0.0,0,0,11,0,2,0,0,0,26,0,0,0,0,0,0,0
4428,Mathieu Debuchy,143,1,0,0.029352702,0,101,74,0,1,0.024582975,3,1,8,3,1,0,9,4,10,3,6,1,5,8,2,25
5581,Joel Nathaniel Campbell Samuels,882,20,3,1.756452317,8,350,268,2,13,2.49165069,22,14,101,9,29,5,44,16,48,21,4,9,23,28,8,226
6631,Mathieu Flamini,1091,7,0,0.9192256879999998,2,627,550,0,4,0.17633522699999998,5,2,57,19,8,6,43,16,44,6,26,13,37,34,5,191
6746,Gabriel Armando de Abreu,1809,12,1,1.0417122505,3,1074,980,0,1,0.04999145,7,5,137,10,14,10,82,24,77,5,136,45,34,45,10,133
11386,Santiago Cazorla González,1302,24,0,1.784200687,6,1300,1137,3,39,3.3602505215000003,45,35,178,18,15,1,34,23,119,21,17,11,29,25,11,185
42703,Mikel Arteta Amatriain,168,1,0,0.37236434,0,128,114,0,1,0.4281581,2,1,8,8,7,3,11,3,5,0,7,3,4,7,2,38
