player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3041,Ciaran Clark,1440,10,1,1.2308838428,2,582,448,0,3,0.23119538,8,6,77,17,10,7,60,9,57,4,122,32,37,23,1,174
3436,Idrissa Gana Gueye,3071,30,0,1.086028215,4,1906,1614,1,27,1.0643341535,108,74,369,79,57,8,196,100,295,56,50,80,83,153,45,1001
3450,Jordan Ayew,2427,61,7,5.2455502295,21,824,648,0,14,1.1383222229999999,158,85,275,53,49,9,170,30,136,100,11,18,65,43,13,699
3583,Ashley Westwood,2717,38,2,2.097580091,10,1626,1311,2,42,2.987008602,27,16,158,40,16,4,87,37,152,16,46,36,47,56,16,654
4347,Jordan Amavi,837,4,0,0.0751711596,0,529,399,2,8,1.18618527,49,18,79,18,14,5,57,22,60,16,39,14,22,40,9,154
5685,Carlos Alberto Sánchez Moreno,1370,13,0,0.47976772,4,795,647,0,3,0.128029747,30,22,85,28,9,3,81,34,117,7,49,17,36,53,12,287
6800,Carles Gil de Pareja Vicent,1435,18,2,1.017689849,5,809,658,1,23,1.2591097150000001,63,37,260,8,31,0,39,15,89,40,8,7,27,23,7,290
7153,Jordan Veretout,1823,20,0,1.262154596,7,1090,857,5,40,3.329764183,14,11,163,26,28,4,67,19,118,24,26,14,34,33,9,424
9533,Leandro Bacuna,2416,32,1,1.4977175494,8,1389,1042,0,17,1.087281648,52,29,178,40,15,4,91,32,129,25,66,29,55,59,11,416
9630,Andre Green,59,1,0,0.052052636,0,32,19,0,2,0.169164,6,3,14,0,0,0,2,1,8,1,0,2,1,2,0,16
9636,Rushian Hepburn-Murphy,1,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2
9638,Jack Grealish,833,16,1,0.704957433,4,342,272,0,11,0.485830749,33,19,110,6,21,1,22,2,65,33,3,3,11,4,2,123
9642,Alan Hutton,2335,11,0,0.556799228,2,1232,885,1,24,2.0328640198,24,11,223,30,38,8,83,34,100,17,69,25,77,60,13,330
11117,Scott Sinclair,1594,17,2,3.1156922750000002,7,354,285,0,4,0.782461437,62,33,155,5,23,3,47,8,64,48,2,7,27,17,4,205
11333,Adama Traoré Diarra,193,2,0,0.12489151000000001,0,53,27,1,1,0.07102487,34,21,53,4,13,1,5,1,17,13,0,0,5,1,0,28
12608,Bradley Guzan,2520,0,0,0.0,0,840,502,0,1,0.009168124,0,0,83,0,3,2,0,0,140,0,0,0,1,0,0,2
18404,José Ángel Crespo Rincón,90,0,0,0.0,0,30,27,0,0,0.0,0,0,1,1,1,0,1,0,3,0,2,0,1,0,0,9
18672,Mark Bunn,900,0,0,0.0,0,270,137,0,0,0.0,0,0,19,1,0,0,0,0,49,0,0,1,1,0,0,2
19362,Rudy Gestede,1670,63,5,5.23936865,20,594,353,1,12,0.670642433,20,13,26,25,14,9,152,4,39,23,24,3,28,10,3,190
20285,Joleon Lescott,2629,11,2,1.5410286780000002,4,946,746,0,4,0.217542197,9,8,101,23,7,5,85,25,100,8,224,34,53,40,11,256
20951,Jordan Lyden,152,1,0,0.07523298,0,72,60,0,1,0.068356,1,1,7,1,2,1,5,1,10,1,6,4,1,4,0,33
24380,Tetchi Jores Charlemagne Ulrich Okore,1080,0,0,0.0,0,344,280,0,1,0.018666947,4,3,52,10,10,7,59,20,36,4,82,17,25,37,9,132
27146,Aly Cissokho,1620,4,0,0.0875349715,3,934,663,0,9,0.529160132,11,6,112,16,6,2,43,14,58,6,84,28,54,29,6,207
28247,Libor Kozák,258,6,0,0.6748675369999999,2,73,47,0,3,0.072129447,3,1,9,6,3,1,27,1,7,3,3,1,3,3,0,36
42699,Gabriel Imuetinyan Agbonlahor,1030,11,1,1.4350953469999999,6,232,161,2,13,1.7300614396,13,6,43,24,17,6,77,6,30,15,7,3,13,8,1,181
42700,Micah Richards,2046,14,1,1.712012016,2,783,655,1,7,0.315034125,30,22,148,17,31,11,74,31,80,19,131,28,45,43,14,198
42701,Kieran Richardson,724,7,0,0.154056552,2,347,261,2,5,0.271859189,12,8,44,18,3,2,32,8,34,13,20,9,12,19,7,127
48634,"Charles N""Zogbia",43,0,0,0.0,0,12,9,0,0,0.0,1,0,4,1,0,0,1,0,2,0,0,0,0,0,0,6
75899,Kevin Toner,315,2,0,0.114883628,0,125,92,1,1,0.10081033,1,0,6,2,4,2,17,8,7,2,17,4,8,11,3,52
