player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2956,Bertrand Isidore Traoré,373,17,2,1.6131101399999999,6,137,115,1,5,0.69794012,13,10,18,4,5,1,17,9,14,6,4,3,8,11,2,92
3339,Asmir Begović,1399,0,0,0.0,0,410,231,0,0,0.0,0,0,19,0,4,2,0,0,55,0,0,0,0,0,0,6
3381,Nemanja Matić,2461,34,2,2.358404828,8,1651,1433,2,16,0.9113298693,33,27,289,38,22,3,131,60,195,41,58,47,52,88,19,486
3440,Tammy Bakumo-Abraham,55,2,0,0.171009287,0,14,7,0,0,0.0,2,1,2,2,0,0,2,0,0,2,1,0,1,0,0,14
3445,Radamel Falcao García Zárate,238,12,1,1.332758599,6,85,66,0,2,0.175277657,7,3,11,7,7,1,14,1,8,6,1,3,6,2,0,46
3456,Kurt Happy Zouma,1918,16,1,1.541715556,1,736,619,0,0,0.0,8,4,58,10,9,7,66,15,53,3,169,24,35,28,4,153
3472,Willian Borges da Silva,2740,59,5,3.7275560464,20,1745,1310,7,83,7.302849067,104,70,450,29,73,10,83,32,181,66,13,22,22,48,18,484
3478,Francesc Fàbregas i Soler,2897,48,5,4.0294038148,20,2947,2419,7,69,8.067357749,42,24,282,43,51,14,157,68,191,42,23,33,73,118,21,776
3504,Ruben Loftus-Cheek,410,14,1,1.369049881,4,245,208,0,4,0.16791751,19,9,53,4,14,3,21,5,29,19,3,5,11,13,3,125
3509,Thibaut Courtois,2070,0,0,0.0,0,638,382,0,0,0.0,0,0,30,2,3,0,0,0,112,0,2,0,1,0,0,4
3621,Eden Hazard,2193,36,4,2.394681989,14,1476,1254,3,65,4.537714003,111,75,470,17,80,10,49,14,147,74,4,13,33,21,8,231
3645,Gary Cahill,1957,14,2,1.083928988,3,743,643,0,2,0.472605624,4,4,104,24,20,14,84,21,82,6,150,17,57,31,5,192
3666,Robert Kenedy Nunes do Nascimento,555,13,1,0.42822458199999996,3,323,268,0,5,0.2784257,34,22,76,7,10,3,26,9,50,21,8,12,13,16,3,102
3957,César Azpilicueta Tanco,3199,11,2,1.5438206625000002,5,2198,1800,4,21,2.1862608900000002,26,8,137,48,22,9,185,67,127,12,123,56,102,131,28,631
3958,Pedro Eliezer Rodríguez Ledesma,2039,59,7,5.978802856,15,1049,844,2,41,4.559360752,99,59,284,26,58,8,77,26,174,42,6,14,57,41,12,382
5198,Diego da Silva Costa,2374,70,12,11.809203979000001,29,818,647,5,25,2.7097784476,104,47,207,50,59,14,163,18,72,95,22,5,35,29,10,334
5475,John Michael Nchekwube Obinna,1781,7,0,0.9143812689999999,1,1214,1106,1,5,0.148633489,18,15,132,41,15,4,90,32,123,9,43,35,45,54,12,393
5594,Branislav Ivanović,2916,28,2,2.2640555568000003,5,1569,1284,2,14,1.895478291,18,9,147,39,24,12,127,49,121,14,131,44,72,75,26,388
5689,Juan Guillermo Cuadrado Bello,28,1,0,0.042315856,1,11,9,0,0,0.0,0,0,3,0,2,0,1,0,1,1,1,0,2,0,0,2
6623,Loïc Rémy,289,13,1,1.647004704,5,101,85,0,3,0.086175908,9,8,19,2,6,0,13,0,8,8,4,0,1,0,0,27
7848,Matt Miazga,135,0,0,0.0,0,88,72,0,0,0.0,0,0,4,1,2,2,8,2,5,0,6,3,5,2,1,13
10458,Fikayo Tomori,31,0,0,0.0,0,14,12,0,0,0.0,1,0,1,0,0,0,1,0,2,0,2,1,3,1,0,4
12325,Abdul Rahman Baba,1019,6,0,0.36923715599999996,3,651,526,1,3,0.17864447,13,9,66,18,6,0,62,28,63,12,35,25,28,48,7,235
15542,Jake-Liam Clarke-Salter,17,0,0,0.0,0,6,6,0,0,0.0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,6
20287,John Terry,2024,10,1,1.154272665,2,933,854,0,3,0.151402693,3,1,41,10,6,5,65,17,42,1,120,27,38,28,2,116
25351,Alexandre Rodrigues da Silva,131,4,1,1.90763709,2,26,23,0,0,0.0,2,0,8,2,4,2,6,2,9,6,1,0,0,2,2,17
28100,Ramires Santos do Nascimento,609,10,2,0.789509716,4,332,263,0,1,0.060638227,15,7,40,23,19,5,41,13,40,14,9,3,19,22,4,151
40122,Oscar dos Santos Emboaba Júnior,1771,51,3,5.1099101077,15,1096,886,3,30,2.998371466,74,39,187,22,42,6,97,40,103,45,20,15,34,63,13,397
