player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3277,Yohan Cabaye,90,2,0,0.058587004,1,53,39,0,0,0.0,1,0,7,2,2,0,9,2,9,1,0,2,1,6,0,23
3326,Chung-Yong Lee,5,0,0,0.0,0,4,2,0,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3407,Scott Dann,90,2,0,0.080344661,1,31,24,0,1,0.11207048,0,0,2,0,1,1,4,1,0,0,4,0,4,2,0,3
3443,Joel Ward,90,1,0,0.05290879,0,55,40,0,0,0.0,1,0,6,0,0,0,3,2,4,2,6,0,3,3,0,11
3464,James McArthur,79,0,0,0.0,0,38,35,0,1,0.012636748,1,0,5,1,0,0,7,2,4,2,1,0,2,2,1,15
3488,Wayne Hennessey,90,0,0,0.0,0,15,11,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3507,Wilfried Zaha,85,0,0,0.0,0,19,14,0,1,0.05290879,8,7,8,1,2,0,5,3,2,7,0,1,1,3,2,15
3693,Damien Delaney,90,2,0,0.59860199,1,43,31,0,0,0.0,0,0,3,0,0,0,4,0,2,0,2,1,3,1,0,6
4817,Joe Ledley,90,1,0,0.035157688,0,65,55,0,0,0.0,1,1,4,1,0,0,6,1,4,1,1,2,3,4,0,18
4884,Pape N''Diaye Souaré,90,0,0,0.0,0,60,43,0,0,0.0,0,0,6,0,1,0,0,0,1,0,3,1,1,0,0,2
15892,Jordon Mutch,11,0,0,0.0,0,5,3,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
19688,Jason Puncheon,90,0,0,0.0,0,53,44,0,2,0.080344661,3,1,5,2,1,1,5,1,7,3,3,0,0,3,0,15
20641,Connor Wickham,65,1,0,0.11207048,0,19,16,0,2,0.163560238,0,0,2,3,2,0,7,0,1,4,0,0,0,1,0,11
50245,Marouane Chamakh,25,0,0,0.0,0,7,6,0,0,0.0,0,0,2,1,1,0,3,1,0,0,0,0,0,2,1,8
