player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3244,John Stones,90,0,0,0.0,0,30,25,0,0,0.0,0,0,7,1,2,2,3,1,7,0,4,0,1,1,0,10
3289,Romelu Lukaku Menama,88,3,2,0.32680004399999996,2,33,23,0,1,0.19543493,3,2,8,1,2,0,4,1,1,2,0,0,0,1,1,6
3607,James McCarthy,90,1,0,0.014843665,1,43,39,0,1,0.029497784,1,1,5,3,2,1,3,1,5,0,6,0,2,2,1,12
3633,Gareth Barry,90,0,0,0.0,0,48,40,0,0,0.0,1,0,8,2,0,0,4,2,4,0,4,0,0,3,0,13
3683,Tom Cleverley,90,2,0,0.10947254,0,47,34,0,0,0.0,0,0,3,2,2,0,2,1,6,0,4,0,2,1,0,17
3726,Gerard Deulofeu Lázaro,2,0,0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4275,Ross Barkley,90,3,1,0.337803038,2,63,51,1,2,0.171225684,4,2,10,3,1,0,3,1,4,1,0,1,2,2,0,8
4589,Séamus Coleman,90,0,0,0.0,0,40,30,1,1,0.12928762,0,0,10,1,1,0,3,1,6,0,7,1,7,3,0,16
9528,Steven Naismith,11,0,0,0.0,0,3,3,0,0,0.0,1,0,5,0,1,0,1,0,2,2,0,0,2,0,0,4
13042,Tim Howard,90,0,0,0.0,0,33,19,0,0,0.0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0
20046,Phil Jagielka,90,1,0,0.044649944,0,38,28,0,1,0.07851964,0,0,2,1,1,1,2,0,2,0,12,3,3,0,0,8
26696,Arouna Koné,79,1,0,0.07851964,0,30,24,1,1,0.17072652,1,1,5,0,1,0,4,0,3,2,1,0,1,0,0,5
30702,Brendan Joel Zibusiso Galloway,87,0,0,0.0,0,27,17,0,0,0.0,1,0,6,1,2,1,4,2,5,1,0,1,5,3,1,19
42946,Guangtai Jiang,3,0,0,0.0,0,8,8,0,0,0.0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1
