player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3270,Danny Simpson,2646,7,0,0.830563433,2,1203,863,0,6,0.402601245,17,10,55,32,13,5,117,26,122,6,149,61,88,50,8,343
3307,Marc Albrighton,2754,42,2,2.3626669600000003,12,1214,681,7,62,7.513881211,100,61,243,27,32,3,108,44,177,39,32,23,77,71,20,610
3312,Demarai Gray,186,4,0,0.089153686,2,97,71,1,5,1.339623504,11,7,19,2,4,0,6,2,15,10,3,6,8,4,0,53
3520,Jeffrey Schlupp,1387,25,1,2.1363105979999997,6,557,392,2,17,1.850070204,49,31,142,18,25,0,74,16,79,31,29,13,42,47,7,195
3631,Nathan Dyer,219,5,1,0.6213481270000001,2,75,56,1,3,0.301250684,11,6,24,8,11,2,8,3,15,8,0,0,8,4,0,43
3662,Danny Drinkwater,3037,42,2,1.7761880455,10,2033,1565,7,41,5.075985475,46,28,205,54,28,8,160,75,274,37,72,37,74,109,30,779
3665,Andrew Philip King,1062,19,2,2.099677588,4,488,382,1,9,0.611694864,10,5,35,8,9,3,61,11,61,9,35,9,25,19,6,189
3671,José Leonardo Ulloa,980,33,6,6.423967905,10,396,283,1,10,0.8504612530000001,30,17,42,21,19,7,145,21,65,31,22,2,30,26,7,253
3709,Daniel Amartey,103,1,0,0.40846357,1,74,61,0,1,0.06055582,2,1,7,0,1,0,4,1,8,2,4,3,2,1,0,16
3810,Shinji Okazaki,2055,44,5,7.122357414,11,521,390,0,17,0.753480861,45,23,75,32,57,17,218,20,86,68,17,11,43,37,11,515
3812,Christian Fuchs,2711,19,0,1.000457038,8,1665,1145,4,47,4.105090588,17,11,119,38,12,9,144,71,128,11,152,73,115,101,31,497
3813,Wes Morgan,3420,21,2,2.948268348,6,849,651,0,3,0.265720007,11,9,121,32,16,10,124,33,96,9,244,46,87,53,14,273
3814,Riyad Mahrez,3039,87,17,12.16381277,39,1174,827,10,66,9.525557537000001,218,123,367,29,92,7,132,35,209,108,25,33,85,52,15,587
3815,Kasper Schmeichel,3420,0,0,0.0,0,1220,495,0,6,0.591193224,1,1,116,0,1,1,0,0,213,0,8,0,1,0,0,6
3961,N''Golo Kanté,3022,21,1,0.7659033805,5,1476,1208,3,27,2.481771849,63,48,286,54,30,7,246,102,300,50,77,110,114,164,33,906
4826,Yohan Benalouane,67,0,0,0.0,0,13,6,0,0,0.0,0,0,1,2,0,0,1,0,2,1,5,2,1,0,0,5
5460,Andrej Kramarić,24,1,0,0.36157164,1,15,11,1,2,0.11263099,0,0,1,1,0,0,2,1,0,0,0,0,0,2,1,6
6296,Joe Dodoo,20,0,0,0.0,0,6,3,0,0,0.0,0,0,1,2,1,0,2,0,0,1,0,0,0,0,0,5
7884,Marcin Ryszard Wasilewski,303,1,0,0.04159231,0,79,59,0,0,0.0,0,0,5,5,0,0,17,5,5,0,20,3,7,11,1,39
10960,Jamie Vardy,3168,118,24,22.298685118999998,51,679,428,5,41,5.047011669,76,39,173,44,34,6,226,21,97,49,9,9,48,42,10,493
20230,Gökhan İnler,195,2,0,0.038327533,0,122,98,0,1,0.02706634,3,2,21,3,4,1,17,5,21,4,8,2,7,7,5,49
28782,Ritchie De Laet,657,2,1,0.122346265,1,332,213,0,4,0.392226088,11,3,23,7,5,0,48,12,29,3,24,7,33,30,2,109
40123,Robert Huth,3150,30,3,2.599811442,7,794,614,0,1,0.030401932,4,4,48,36,18,15,123,24,83,3,312,46,64,37,9,252
