player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3270,Danny Simpson,90,0,0,0.0,0,43,32,0,0,0.0,0,0,3,2,1,0,4,1,7,0,11,2,1,1,1,12
3307,Marc Albrighton,90,1,0,0.045090854,1,40,28,0,1,0.067239545,2,0,7,1,1,1,3,3,6,0,3,0,6,3,2,20
3520,Jeffrey Schlupp,5,0,0,0.0,0,2,1,0,0,0.0,0,0,2,1,0,0,3,0,2,0,0,0,0,2,0,4
3662,Danny Drinkwater,90,0,0,0.0,0,63,47,0,1,0.4010443,0,0,4,1,1,1,6,1,9,0,5,0,2,3,0,17
3671,José Leonardo Ulloa,15,0,0,0.0,0,3,3,0,0,0.0,0,0,0,0,0,0,3,1,0,0,4,0,2,1,0,4
3810,Shinji Okazaki,75,2,0,0.292544415,0,19,12,0,1,0.03755242,0,0,3,1,3,0,9,0,2,2,1,0,2,0,0,13
3812,Christian Fuchs,90,1,0,0.0425754,0,35,29,0,2,0.270395724,0,0,0,2,0,0,7,3,1,0,6,4,3,6,0,14
3813,Wes Morgan,90,0,0,0.0,0,18,12,0,0,0.0,0,0,0,1,1,1,3,0,2,0,25,0,3,1,0,1
3814,Riyad Mahrez,85,3,1,0.82432976,2,31,20,0,0,0.0,3,1,11,2,0,0,3,3,7,5,2,1,2,3,0,13
3815,Kasper Schmeichel,90,0,0,0.0,0,33,10,0,0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
3961,N''Golo Kanté,90,0,0,0.0,0,40,29,0,0,0.0,1,1,11,1,0,0,7,1,7,0,4,4,1,3,1,19
10960,Jamie Vardy,90,1,0,0.11676653,0,19,12,1,1,0.38573304,3,2,10,3,1,0,5,1,6,4,0,0,1,1,1,13
40123,Robert Huth,90,0,0,0.0,0,17,12,0,0,0.0,0,0,2,1,1,1,2,0,3,0,10,2,0,0,0,2
