player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3380,Christian Benteke Liolo,1529,64,9,11.003690723,18,493,345,3,26,2.6955413219000004,21,11,55,32,27,14,130,9,48,39,14,3,6,12,6,162
3471,Dejan Lovren,1895,22,0,1.504936694,6,1076,920,0,8,0.399784211,3,2,112,24,13,9,65,21,66,3,169,26,43,38,6,211
3473,James Philip Milner,2440,39,5,3.9768661796,12,1610,1185,11,61,5.279433672000001,41,21,195,53,37,11,107,32,159,78,33,26,78,60,15,636
3483,Mamadou Sakho,1854,6,1,0.923896527,1,1244,1095,0,4,0.08773370600000001,3,3,145,10,16,9,84,17,135,9,150,32,45,34,4,125
3493,Emre Can,2492,31,1,2.114136559,13,1782,1460,0,26,2.0525358417,57,40,321,50,36,12,146,68,175,41,51,45,43,89,26,570
3495,Joe Gomez,437,1,0,0.016134378,0,273,218,1,3,0.102066455,8,4,30,10,2,0,23,10,36,8,21,8,11,13,6,52
3501,Philippe Coutinho Correia,2034,111,8,7.1282458561,29,1147,876,5,48,5.1292377664,93,51,273,14,38,5,69,19,139,60,8,24,49,32,10,383
3515,Alberto Moreno Pérez,2548,34,1,1.4703509806,8,1743,1372,4,58,3.9937772658,44,23,187,35,23,5,110,47,124,32,72,43,60,85,17,432
3529,Daniel Andre Sturridge,982,48,8,5.1249343954,23,327,251,1,6,0.601919073,37,20,67,1,14,2,34,1,30,27,4,4,9,5,0,99
3532,Jordan Brian Henderson,1291,26,2,2.206942035,6,1007,786,2,18,1.535591053,22,12,94,11,12,6,54,22,95,9,29,18,26,42,9,304
3535,Roberto Firmino Barbosa de Oliveira,1979,65,10,7.3517586904,26,1045,782,7,44,6.706735995,90,55,177,32,23,4,149,50,123,71,11,13,57,74,18,614
3539,Simon Mignolet,3060,0,0,0.0,0,934,626,0,0,0.0,4,4,87,0,3,2,0,0,161,0,1,0,4,0,0,3
3635,Jordon Ibe,1178,30,1,1.2689323965,6,558,443,1,19,1.727572725,77,44,245,13,17,1,30,5,89,44,2,5,12,13,3,203
3654,Daniel William John Ings,340,10,2,1.359236949,4,81,60,0,5,0.372595572,7,3,15,6,7,1,10,1,13,6,3,2,8,1,0,40
4090,Adam David Lallana,2108,42,4,3.885753835,16,1046,821,7,51,5.795494965,73,43,221,33,36,6,116,40,134,49,34,17,55,61,20,607
4243,Cameron Brannagan,114,1,0,0.08262946,1,126,115,0,1,0.6134019,4,2,15,0,0,0,8,1,13,0,1,2,6,5,0,50
4590,Nathaniel Edwin Clyne,2970,31,1,2.3672014983,6,1943,1534,0,28,1.6908722680000001,32,18,271,21,26,7,120,42,151,36,94,35,53,75,11,443
4747,Divock Okoth Origi,670,24,5,2.3073988329,12,173,120,1,10,1.0430968580000002,17,12,72,11,17,1,49,2,32,31,3,0,8,5,0,143
4762,Sergi Canós Tenes,10,0,0,0.0,0,4,3,0,0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,2
7780,Lucas Pezzini Leiva,1951,10,0,0.553640256,3,1477,1242,1,21,1.620041608,20,16,131,60,21,8,147,68,131,13,65,32,68,98,17,527
8485,Pedro Chirivella Burgos,45,0,0,0.0,0,31,24,0,0,0.0,1,0,2,0,0,0,0,0,4,1,2,0,1,0,0,21
9914,Danny Ward,180,0,0,0.0,0,58,34,0,0,0.0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0
9958,Steven Caulker,5,1,0,0.07773794,0,7,3,0,0,0.0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0
9985,Ádám Bogdán,180,0,0,0.0,0,49,27,0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0
10007,Jon Flanagan,420,0,0,0.0,0,303,250,1,2,0.23900861699999998,4,2,21,8,4,0,26,5,24,6,18,8,8,12,2,84
10326,João Carlos Vilaça Teixeira,4,0,0,0.0,0,3,3,0,0,0.0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,3
10931,Joe Allen,735,12,2,2.1233271179999997,4,412,349,1,13,1.691214119,16,9,61,14,24,7,50,18,61,15,10,19,14,26,6,213
11992,Kevin Linford Stewart,565,5,0,0.22761358,0,466,410,0,3,0.12150247599999998,10,7,69,11,18,7,26,17,38,11,16,24,13,21,6,153
13200,Oluwaseyi Babajide Ojo,397,5,0,0.3465609515,1,158,124,2,10,1.4505379172,18,12,73,2,11,0,14,7,17,13,2,4,5,9,2,118
13448,Bradley Shaun Smith,300,1,0,0.026966754,0,170,134,0,2,0.1872784,8,2,32,7,4,1,16,4,15,5,11,8,14,10,3,74
18872,Martin Škrtel,1885,10,1,0.507316491,3,1146,1008,0,5,0.49055256599999997,2,2,141,21,6,3,61,13,84,2,193,24,38,31,2,136
20781,Jordan Rossiter,15,0,0,0.0,0,6,4,0,0,0.0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,13
22058,Connor Steven Randall,163,2,0,0.12659223,1,104,78,0,0,0.0,6,2,5,1,2,1,9,0,6,2,2,4,4,2,0,39
38412,Kolo Habib Touré,856,4,1,0.29085574999999997,2,454,384,0,1,0.045270897,5,4,62,3,3,3,42,13,39,0,65,24,14,21,6,79
