player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3052,Pablo Javier Zabaleta Girod,1062,3,0,0.094444591,1,722,605,1,1,0.51302606,9,4,38,16,9,4,54,27,42,9,40,16,28,39,8,171
3054,Fernando Luiz Rosa,2729,30,2,1.584848154,5,1894,1655,2,27,2.316600389,40,26,184,71,41,12,162,75,192,38,43,47,61,112,32,705
3064,David Josué Jiménez Silva,1790,29,2,2.83500895,4,1488,1234,10,60,4.8815369959,50,31,270,22,39,2,63,23,125,51,5,18,24,38,10,326
3087,Gnégnéri Yaya Touré,2328,74,6,5.880840277,22,1869,1604,3,43,3.0211553920000003,62,44,238,38,37,4,83,29,149,42,42,15,27,42,8,333
3089,Kevin De Bruyne,2003,48,7,4.502264549,24,1314,950,9,78,9.401009442,73,43,220,20,23,5,72,18,126,39,15,18,35,30,7,450
3090,Nicolás Hernán Otamendi,2671,28,1,1.3754811239,7,1561,1348,0,4,0.177309359,11,8,251,35,30,14,152,53,137,12,225,83,50,89,22,358
3101,Vincent Kompany,1179,11,2,0.750381515,3,679,574,0,3,0.075711502,11,8,84,15,5,2,27,14,59,1,90,21,18,21,6,96
3233,Raheem Sterling,1919,51,6,6.411888005,21,904,728,2,35,2.9598544217000002,83,48,227,27,58,9,64,20,121,63,7,28,31,34,14,311
3237,Sergio Leonel Agüero del Castillo,2359,118,24,17.6730739255,51,740,619,2,26,2.3596138805,111,64,267,22,46,4,54,20,125,112,1,9,22,22,7,278
3291,Joe Hart,3109,0,0,0.0,0,848,517,0,2,0.40032059400000003,1,1,78,0,4,3,0,0,144,0,1,0,2,0,0,4
3389,Eliaquim Mangala,2009,6,0,0.7870409979999999,2,1011,897,0,0,0.0,8,6,99,41,8,1,66,24,95,11,129,33,29,37,7,238
3598,Wilfried Guemiand Bony,1228,61,4,7.280474771,18,398,317,3,11,2.635355906,25,15,32,18,23,8,72,7,48,30,8,2,14,10,3,98
3659,Wilfredo Daniel Caballero,311,0,0,0.0,0,91,51,0,0,0.0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,1
3708,Kelechi Promise Iheanacho,767,29,8,5.051744738,12,349,269,1,13,1.365303738,17,15,44,20,6,2,61,10,46,30,6,4,10,16,5,162
4597,Fabian Delph,754,13,2,0.3297079417,5,471,403,0,3,0.267615518,33,24,77,10,15,3,34,7,59,16,18,22,19,26,2,161
5596,Aleksandar Kolarov,2282,41,3,1.8921825559999998,10,1774,1351,3,38,2.6538518019,43,21,158,24,32,12,65,18,153,27,87,25,53,33,4,232
6821,Jesús Navas González,2281,31,0,2.8745031954,8,1452,1107,7,55,5.58623266,68,45,352,21,29,5,63,19,159,43,19,13,52,28,7,390
7110,Bacary Sagna,2448,4,0,0.195271581,2,1984,1632,3,30,2.944793827,17,9,69,20,16,9,112,30,97,14,118,24,54,52,10,285
8344,Manuel García Alonso,11,0,0,0.0,0,19,19,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
9566,Bersant Celina,14,0,0,0.0,0,15,13,1,2,0.111412913,0,0,2,0,0,0,1,1,3,0,0,0,1,1,0,7
11295,Patrick Roberts,5,0,0,0.0,0,4,4,0,0,0.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16003,Fernando Francisco Reges,1714,16,2,2.764655786,6,910,810,0,5,0.319441074,22,20,95,33,16,4,95,45,101,15,36,46,39,61,12,416
19288,Martín Gastón Demichelis,1020,5,0,0.30180650400000003,0,565,486,0,4,0.26649304300000004,6,5,78,13,8,5,43,12,44,2,75,26,18,23,4,118
20253,Samir Nasri,546,14,2,1.9200937089999999,7,437,400,2,9,0.761584658,18,10,87,6,7,1,21,8,29,13,0,6,8,11,2,101
20302,Gaël Clichy,1088,2,0,0.049342582999999995,0,839,668,1,11,0.862150552,14,12,107,10,8,4,40,18,51,11,44,42,22,30,7,158
