player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3054,Fernando Luiz Rosa,90,0,0,0.0,0,63,59,0,0,0.0,0,0,8,3,0,0,2,2,7,1,2,1,0,2,1,9
3064,David Josué Jiménez Silva,89,3,0,0.170286948,1,78,63,0,2,0.083886389,2,1,16,1,2,0,4,1,3,1,1,2,4,2,0,13
3087,Gnégnéri Yaya Touré,90,3,0,0.08185899,1,68,58,1,2,0.24537496,0,0,10,1,0,0,2,2,5,0,2,0,2,2,0,16
3101,Vincent Kompany,90,2,0,0.13062949000000001,0,33,28,0,0,0.0,0,0,8,0,0,0,1,0,6,0,6,1,4,1,0,7
3233,Raheem Sterling,75,1,0,0.026305959,1,35,32,1,3,0.11420873799999999,9,3,12,1,0,0,3,1,2,1,1,2,1,2,1,7
3237,Sergio Leonel Agüero del Castillo,79,2,0,0.202919656,2,23,21,0,1,0.025780702,1,0,6,1,2,0,2,1,3,4,0,0,0,1,1,11
3291,Joe Hart,90,0,0,0.0,0,20,7,0,0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0
3389,Eliaquim Mangala,90,0,0,0.0,0,33,29,0,0,0.0,0,0,5,3,0,0,1,1,6,0,9,1,2,1,1,13
3598,Wilfried Guemiand Bony,11,0,0,0.0,0,7,4,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4597,Fabian Delph,1,0,0,0.0,0,4,4,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
5596,Aleksandar Kolarov,90,2,1,0.025875327,1,61,46,0,0,0.0,0,0,4,1,1,1,4,0,5,1,2,0,2,1,0,6
6821,Jesús Navas González,90,2,0,0.38001242999999996,2,51,41,0,2,0.156813366,4,1,21,2,1,0,5,3,9,1,1,0,2,3,2,14
7110,Bacary Sagna,90,0,0,0.0,0,49,42,0,2,0.053154471,1,1,3,0,0,0,5,2,3,0,2,2,2,2,2,6
20253,Samir Nasri,15,1,1,0.15462893,1,19,17,0,0,0.0,0,0,6,0,0,0,1,0,1,1,0,0,0,1,0,12
