player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2988,Memphis Depay,1487,56,2,4.3818552493,16,751,550,0,12,1.407035942,66,33,171,22,39,1,37,9,87,66,10,8,20,12,2,187
3058,Javier Hernández Balcázar,23,1,0,0.5094782,1,13,11,0,1,0.054857478,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
3267,Luis Antonio Valencia Mosquera,858,5,0,0.1862707734,1,709,611,3,8,0.7913171299999999,26,22,124,19,8,1,42,14,54,8,20,12,18,28,6,145
3293,Jesse Lingard,1630,31,4,3.1945610810000002,13,771,637,1,15,0.9923254619999999,35,12,150,27,23,3,76,21,85,33,13,20,34,39,7,395
3294,Juan Manuel Mata García,2961,58,6,5.866743938,22,1914,1637,5,51,5.1893487245,61,40,327,27,41,5,59,15,159,51,17,23,34,31,7,396
3296,Marouane Fellaini-Bakkioui,1068,22,1,3.012999341,7,601,497,0,10,0.741129642,21,12,84,38,15,3,87,17,90,28,21,10,26,22,10,224
3311,Daley Blind,3114,4,1,0.1103781186,2,2215,1806,1,28,2.0439294869999998,17,13,348,33,17,10,167,45,162,11,150,67,73,91,22,541
3314,Phil Jones,529,1,0,0.052710865,0,318,272,0,0,0.0,1,0,44,3,3,1,15,4,27,1,30,7,8,9,2,56
3318,Marcus Rashford,854,16,5,1.80401335,8,209,155,3,8,1.169818909,36,13,55,5,10,1,36,2,28,28,9,3,10,10,1,128
3333,David de Gea Quintana,3060,0,0,0.0,0,956,608,0,0,0.0,0,0,56,0,0,0,1,0,133,0,1,0,0,0,0,1
3382,Luke Shaw,450,1,0,0.09207138,1,351,291,1,4,0.2094107944,7,6,52,8,3,0,25,7,20,7,18,1,10,10,6,68
3465,Timothy Evans Fosu-Mensah,258,2,0,0.050805534,0,144,102,1,1,0.47182107,3,2,14,3,3,2,25,13,8,2,24,12,4,16,3,45
3538,Wayne Mark Rooney,2406,71,8,6.8949190527,24,1195,961,5,40,4.1738600206,50,30,217,34,22,8,101,14,116,50,15,9,24,26,8,287
3600,Morgan Schneiderlin,2206,11,1,1.210289647,1,1484,1326,0,9,0.4176959563,26,19,138,60,18,7,108,41,145,25,51,63,35,68,8,510
3602,Faustino Marcos Alberto Rojo,1249,8,0,0.291408441,1,902,657,1,10,0.472356617,2,1,85,22,13,5,74,28,52,13,55,19,24,44,7,225
3606,Ander Herrera Agüera,1535,24,3,2.8249739285,6,1121,923,2,22,1.8516452435,35,21,86,31,29,4,75,43,97,35,27,25,31,57,14,363
3612,Ashley Young,1064,7,1,0.8463417289999999,3,776,577,2,10,1.1055409049999998,38,14,130,18,20,4,37,9,77,16,26,15,17,22,3,139
3908,Nick Powell,17,0,0,0.0,0,2,1,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
4587,Matteo Darmian,1924,7,1,0.181710034,1,1157,912,0,11,1.4407975100000001,19,10,122,31,23,9,115,52,66,17,74,37,36,88,27,347
4751,Michael Carrick,1970,7,0,0.305455375,1,1562,1358,0,8,0.304204349,12,7,151,16,19,6,64,25,106,19,46,37,38,43,7,269
4892,Sergio Germán Romero,360,0,0,0.0,0,140,94,0,0,0.0,0,0,10,0,0,0,0,0,26,0,0,0,0,0,0,1
5264,Guillermo Varela Olivera,315,1,0,0.020327501,0,197,155,0,1,0.052441508,6,3,18,5,9,5,21,7,20,7,14,12,12,16,3,70
6330,Adnan Januzaj,146,4,1,0.194883131,1,45,36,0,0,0.0,10,5,18,4,6,0,4,0,8,6,1,0,1,0,0,28
6361,James Wilson,9,0,0,0.0,0,6,6,0,1,0.027956977,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
6846,Andreas Hoelgebaum Pereira,84,0,0,0.0,0,65,49,0,3,0.243906526,4,3,16,2,2,0,1,0,7,2,0,0,2,0,0,24
9635,Will Keane,5,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
9648,Paddy McNair,315,3,0,0.1577341745,1,217,169,0,1,0.06292781,3,1,56,4,1,1,30,9,25,4,18,3,4,13,3,52
10772,Donald Love,53,0,0,0.0,0,35,24,0,0,0.0,5,3,5,1,0,0,5,2,6,0,0,3,2,4,0,10
10779,Cameron Borthwick-Jackson,695,1,0,0.018527634,1,484,381,1,7,0.780816839,7,5,26,9,3,2,40,7,30,7,14,15,18,11,2,107
10958,Chris Smalling,3150,21,0,1.7106045399999998,2,1522,1287,1,6,0.766721924,8,7,261,47,15,8,155,46,132,8,242,48,58,72,18,413
18414,Bastian Schweinsteiger,1202,12,1,1.378185402,3,1086,933,0,9,0.43241566,23,17,140,25,24,7,79,23,88,26,23,10,30,42,9,243
20039,Anthony Martial,2631,57,11,6.9013401825,24,938,714,3,35,5.924255231,136,73,358,39,64,11,152,27,132,135,22,14,52,35,12,372
