player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3044,Chancel Mbemba Mangulu,2923,12,0,1.240383622,2,1162,916,0,4,0.25744062,26,20,191,22,12,6,138,46,121,9,285,63,66,81,19,315
3057,Jonjo Shelvey,1049,22,0,0.850126902,7,683,528,3,21,1.7153543533,20,16,101,15,4,1,37,18,71,7,16,26,13,22,7,163
3065,Paul Dummett,1892,5,1,0.335921315,1,880,643,0,3,0.097970367,6,6,57,17,11,4,97,24,41,6,123,27,60,60,6,320
3076,Ayoze Pérez Gutiérrez,2054,51,6,3.6851812935,16,658,465,2,28,3.262037778,108,58,180,41,52,8,107,35,143,74,17,34,64,58,15,580
3081,Jamaal Lascelles,1152,4,2,0.8385231070000001,4,461,385,0,2,0.146811206,5,3,53,12,3,2,29,4,49,5,101,31,25,12,1,99
3091,Moussa Sissoko,3219,39,1,3.692096528,12,1576,1151,7,57,5.639088292,148,78,407,58,38,6,137,35,225,93,48,28,63,59,19,603
3096,Rob Elliot,1890,0,0,0.0,0,688,391,0,1,0.06189367,0,0,74,0,5,4,0,0,93,0,0,0,1,0,0,2
3165,Emmanuel Rivière,65,3,0,0.249199327,0,20,18,0,1,0.063562,2,1,4,3,2,1,12,1,5,2,0,0,1,3,0,37
3254,Florian Thauvin,427,8,0,0.408411334,1,216,124,0,4,0.240900216,26,10,71,6,17,0,18,3,32,19,3,5,8,7,2,70
3297,Andros Townsend,1087,23,4,1.117108337,14,447,314,2,28,2.749399371,68,41,178,9,16,0,49,10,69,41,10,23,28,28,6,266
3391,Rolando Aarons,380,2,1,0.15101469,1,170,141,1,4,0.377447654,20,8,43,9,8,2,25,12,28,5,7,8,8,17,4,97
3567,Georginio Wijnaldum,3163,54,11,7.722146134,29,1264,1062,4,42,3.4212880209999996,117,81,283,19,63,5,100,31,224,70,28,23,41,42,20,413
3649,Karl Darlow,810,0,0,0.0,0,246,128,0,0,0.0,0,0,23,0,1,1,1,0,38,0,0,0,0,1,0,2
3650,Daryl Janmaat,2801,21,2,1.2038169734,8,1731,1277,4,26,3.2382500800000003,67,46,181,34,8,5,128,48,138,29,111,31,64,91,16,412
3722,Steven Taylor,810,1,0,0.063562,0,316,274,0,1,0.09205992,2,1,51,3,4,3,11,1,26,0,55,11,22,3,0,31
3834,Ivan Toney,13,0,0,0.0,0,2,1,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
4269,Aleksandar Mitrović,2219,80,9,11.86097099,30,714,520,4,26,2.551685466,35,18,79,53,59,20,236,14,73,72,30,9,50,25,6,391
4840,Massadio Haïdara,555,3,0,0.0439196815,0,319,250,0,3,0.151636114,9,6,43,11,10,2,17,8,30,11,19,11,11,13,4,79
5110,Henri Saivet,147,0,0,0.0,0,78,62,0,1,0.021358391,3,0,14,1,2,0,19,8,15,2,6,8,1,16,3,59
8061,Siem Stefan de Jong,452,8,0,0.752050002,3,197,151,1,2,0.17855021,8,4,12,9,6,1,35,8,27,12,3,2,12,15,2,108
9467,Timothy Michael Krul,720,0,0,0.0,0,281,174,0,0,0.0,0,0,14,0,1,0,0,0,36,0,1,0,1,0,0,5
9649,Jack Colback,2385,16,1,1.021766656,4,1175,972,1,18,1.378435139,20,14,139,64,48,13,124,58,147,26,59,43,49,92,19,591
16027,Kevin Mbabu,142,1,0,0.036821686,1,53,32,0,1,0.15066113,4,3,9,2,2,1,13,6,6,3,4,2,7,11,3,39
16072,Vurnon Anita,2105,8,1,0.28580458200000003,2,1134,870,3,12,0.832736299,24,13,117,34,15,9,106,46,143,15,59,39,66,80,16,534
17276,Seydou Doumbia,33,1,0,0.14665069,1,8,6,0,0,0.0,0,0,3,0,1,0,1,0,0,3,0,1,1,0,0,7
24120,Jamie Sterry,7,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
26207,Fabricio Coloccini,2337,10,1,1.049790611,2,856,723,0,3,0.628118442,8,7,119,13,8,3,94,32,68,7,124,30,63,45,11,295
30289,Papiss Demba Cissé,1067,24,3,3.6073283895999997,9,407,297,0,10,0.777299301,22,16,41,12,10,1,92,6,44,22,9,3,10,12,2,192
42899,Gabriel Antoine Obertan,279,3,0,0.11405727900000001,2,107,83,1,3,0.178464127,7,2,21,3,3,2,11,6,16,6,5,3,5,8,1,35
42900,Cheik Ismaël Tioté,1220,2,0,0.045869157,0,850,732,0,8,0.5312092167,21,14,76,39,14,6,82,36,95,19,46,39,36,52,17,297
43757,Yoan Gouffran,226,3,0,0.142816165,1,93,73,0,1,0.022990294,2,0,19,4,1,0,14,2,15,9,10,8,6,7,1,53
