player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3098,Victor Wanyama,2563,31,1,1.7942775163,5,1389,1148,1,13,0.7795468449999999,43,30,172,69,35,8,171,58,212,30,82,43,50,89,26,618
3272,Oriol Romeu Vidal,1612,29,1,2.50753823,8,830,705,0,11,0.914043672,27,19,99,33,22,9,122,47,99,14,31,26,52,80,25,428
3300,Maya Yoshida,1020,2,1,0.52635944,2,565,445,0,2,0.09719916299999999,8,6,49,8,7,5,31,9,36,6,62,19,26,16,2,100
3328,James Ward-Prowse,1542,29,2,2.2664223095,8,806,622,4,31,3.7347752493,14,10,74,29,9,3,49,8,105,21,32,10,38,16,4,304
3329,Cédric Ricardo Alves Soares,1966,10,0,0.294186632,1,1155,782,2,25,2.194527334,37,28,142,23,16,6,108,42,114,26,73,21,63,69,13,351
3590,Rhu-endly Martina,1083,3,1,0.125135943,2,581,427,1,12,1.08298921,5,3,38,15,12,6,49,18,47,6,40,31,29,34,7,175
3629,Sadio Mané,2599,86,11,12.052078224999999,33,1043,818,6,43,4.550945486,147,80,361,53,87,14,118,34,230,79,12,21,61,55,17,505
3651,Matt Targett,1068,3,0,0.144222356,1,555,415,1,5,0.50125766,5,3,32,4,13,7,30,8,58,9,39,17,26,17,3,123
3669,Virgil van Dijk,3060,29,3,2.999237515,8,1412,1188,0,8,1.267307544,13,10,217,31,14,11,133,41,126,10,292,69,51,66,11,272
3685,Jay Rodriguez,351,15,0,1.079480349,6,93,68,0,3,0.118212007,12,6,24,4,3,0,14,2,14,10,2,3,12,4,0,82
3828,Steven Davis,2602,20,5,2.0640061254,8,1634,1309,2,48,3.7231439605,36,23,256,22,25,6,118,39,182,44,41,21,58,64,16,555
3831,Dušan Tadić,2279,56,7,6.7828756519999995,17,1104,718,11,77,7.44684034,60,38,184,31,40,10,67,21,136,61,13,14,49,36,8,384
3842,Shane Long,2111,63,10,7.9844306355,25,649,419,4,34,2.792706278,29,12,70,42,45,16,166,18,73,40,18,15,34,24,8,359
3960,José Miguel da Rocha Fonte,3177,24,2,2.732162336,7,1642,1384,0,5,0.370261457,4,4,234,24,12,7,118,33,128,9,229,58,67,51,14,274
3966,Charlie Austin,211,8,1,0.59781394,2,55,35,0,1,0.039083835,2,2,8,4,7,1,24,2,6,6,5,2,1,4,0,40
3970,Fraser Forster,1620,0,0,0.0,0,487,273,0,0,0.0,1,1,32,0,0,0,0,0,54,0,0,0,0,0,0,1
5109,Paulo Dino Gazzaniga,180,0,0,0.0,0,64,44,0,0,0.0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0
6695,Juan Miguel Jiménez López,173,6,0,0.42655452400000005,1,51,40,0,3,0.26977026299999995,4,3,12,4,5,0,6,2,8,6,0,0,3,2,1,53
7010,Gastón Exequiel Ramírez Pereyra,32,1,0,0.06234869,1,19,13,0,0,0.0,5,3,4,0,0,0,4,1,1,0,0,1,4,3,0,7
9958,Steven Caulker,146,3,0,0.247095305,2,73,53,0,1,0.009797629,1,1,13,0,0,0,8,2,6,1,16,1,5,3,0,11
11062,Graziano Pellè,2174,82,11,7.720267611,26,889,583,6,32,3.6635429663,29,14,48,44,34,12,135,8,74,60,28,6,25,11,3,259
11936,Harrison Reed,11,0,0,0.0,0,7,4,0,0,0.0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,6
16181,Jordy Clasie,1542,14,0,0.540446676,1,828,666,0,10,0.5033655117,11,6,52,24,9,2,72,29,80,12,31,29,36,42,14,433
20045,Ryan Bertrand,2880,13,1,1.2763177975,3,1565,1188,3,22,2.75766695,44,20,179,36,29,11,102,25,117,28,99,47,57,52,9,374
20201,Maarten Stekelenburg,1530,0,0,0.0,0,467,295,0,1,0.11083083,0,0,35,0,2,2,0,0,78,0,0,0,1,0,0,3
43121,Kelvin Davis,90,0,0,0.0,0,29,15,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
