player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3265,José Luis Sanmartín Mato,1098,29,4,2.577868745,16,376,270,1,9,0.828305595,25,10,33,22,21,7,68,7,47,20,9,4,23,11,5,265
3325,Marko Arnautović,2808,72,11,11.080028553,22,1161,906,6,50,6.0059206806,134,77,353,49,33,5,79,42,155,51,17,32,41,58,27,490
3467,Erik Pieters,3097,5,0,0.07677498,1,1956,1474,1,19,2.268962447,25,12,202,66,49,22,173,60,169,21,124,74,96,119,31,599
3480,Geoff Cameron,2366,16,0,0.908820533,2,1187,910,0,9,0.45683173099999996,31,21,198,29,14,6,107,33,143,24,126,53,47,50,14,399
3533,Xherdan Shaqiri,2013,39,3,2.4633686410999998,12,835,585,5,48,4.211870404,86,42,223,30,33,2,41,6,124,49,5,11,12,19,3,253
3537,Jack Butland,2790,0,0,0.0,0,1013,571,0,1,0.027780285,1,1,101,1,2,2,1,0,191,0,0,0,0,0,0,6
3603,Mame Biram Diouf,1278,32,5,4.856480782,15,272,200,1,8,0.436145604,21,12,47,23,28,10,79,12,53,13,17,8,20,18,4,212
3636,Charlie Adam,1104,28,1,0.9784929337,4,590,434,1,10,0.898363458,19,10,84,35,29,7,30,12,90,7,16,7,20,21,6,204
3643,Phil Bardsley,817,7,0,0.0984618157,2,382,290,1,3,0.54262309,4,2,40,13,16,5,36,17,24,5,41,14,19,27,12,124
3670,Jonathan Walters,1726,33,5,5.530523288,13,537,345,2,21,1.591919024,34,16,88,14,26,11,147,5,69,30,19,10,31,9,0,222
4035,Ryan Shawcross,1739,8,0,0.974543074,0,590,452,0,1,0.05171506,7,4,85,20,2,2,86,24,43,1,132,26,32,44,9,181
4040,Peter Crouch,462,9,0,0.582041097,4,156,94,1,4,0.392259294,3,1,5,13,4,1,44,2,8,8,8,2,8,4,0,68
4346,Gilbert Gianelli Imbula Wanga,1260,21,2,0.7735615092,5,779,684,0,11,0.5144345690000001,61,40,223,24,22,2,31,13,96,25,7,12,16,15,5,242
4632,Stephen Ireland,243,3,0,0.383392195,0,176,139,1,8,1.602214734,4,4,20,4,0,0,15,9,11,4,1,5,8,10,4,82
4724,Glen Johnson,2184,18,0,1.032534323,5,1205,951,3,19,2.604459137,72,38,147,14,12,6,59,31,129,24,41,30,59,46,11,215
4891,Ibrahim Afellay,2163,39,2,2.213303775,9,1331,1151,2,21,1.4306898160000001,59,40,284,25,42,10,46,21,158,41,13,11,32,28,9,346
4913,Bojan Krkíc Pérez,1701,37,7,4.8293865974,15,758,612,1,27,1.7281429767,88,44,239,10,35,1,26,5,96,36,4,12,22,11,4,285
6560,Marc Muniesa Martínez,1114,3,0,0.056767401,0,558,461,0,4,0.264488042,12,6,86,11,7,4,45,18,49,7,45,26,34,29,9,184
8251,Marco van Ginkel,756,10,0,0.519662764,1,387,311,0,5,0.103682392,9,5,51,19,11,1,44,20,38,7,24,13,18,28,2,218
9625,Glenn Whelan,3165,11,0,0.218078271,3,2037,1768,1,22,0.8493519842,23,18,156,30,25,10,112,49,247,22,105,60,87,80,16,568
13848,Marc Wilson,261,0,0,0.0,0,113,86,0,1,0.06987125,2,1,12,3,3,3,21,5,8,1,18,4,1,9,1,32
20446,Shay Given,225,0,0,0.0,0,67,47,0,0,0.0,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0
40121,Philipp Wollscheid,2684,3,0,0.134113701,0,1199,1016,0,4,1.095223064,9,8,132,21,19,12,142,47,110,4,198,66,53,80,13,353
41082,Steve Sidwell,12,0,0,0.0,0,7,6,0,0,0.0,0,0,0,1,0,0,3,2,0,1,0,0,0,3,1,3
41185,Jakob Haugaard,405,0,0,0.0,0,145,88,0,0,0.0,0,0,15,0,0,0,0,0,26,0,0,0,0,0,0,0
42901,Osazemwinde Peter Odemwingie,105,2,0,0.080638808,0,54,45,0,0,0.0,2,1,15,3,1,0,7,1,4,5,1,3,2,3,0,36
128703,Dionatan do Nascimento Teixeira,45,0,0,0.0,0,7,2,0,0,0.0,0,0,1,0,0,0,1,1,1,0,2,1,2,1,1,3
