player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3196,Wahbi Khazri,1071,25,2,0.7885470373,5,421,275,1,31,2.7166299207,35,17,97,21,16,4,53,19,64,31,9,18,19,34,9,288
3321,Patrick van Aanholt,2970,46,4,2.3924948018000003,10,1417,1052,4,30,3.6273849835,66,41,220,18,16,4,103,55,184,27,72,52,69,82,28,442
3337,Jermain Defoe,2551,88,15,13.2098756745,39,439,324,1,19,0.9095539235,43,20,102,19,39,8,102,13,82,35,1,5,31,22,5,348
3468,Jordan Pickford,180,0,0,0.0,0,78,34,0,0,0.0,0,0,6,0,1,1,0,0,9,0,0,0,0,0,0,0
3658,DeAndre Yedlin,1810,4,0,0.46109487899999996,1,797,526,1,12,1.032777146,41,23,98,30,13,9,77,22,75,17,75,26,74,42,7,370
4217,Danny Graham,359,4,0,0.5011478739999999,2,86,50,0,0,0.0,2,0,3,8,7,2,22,2,6,8,8,4,9,2,1,48
4417,Ola Toivonen,660,7,0,0.40832998400000003,2,261,189,2,8,1.128946755,3,1,23,13,10,5,50,8,24,1,9,0,10,13,3,114
4429,Yann Gérard M''Vila,3192,30,1,0.9914188749999999,5,1799,1414,3,46,2.6916362853000004,38,28,239,20,55,9,143,72,233,28,102,65,73,109,39,630
4746,Younes Kaboul,2025,11,0,0.7563836586,5,692,469,1,6,0.570325985,14,12,140,17,8,5,117,25,79,7,191,39,57,43,14,286
5617,Sebastian Larsson,553,5,0,0.31982434,1,269,188,0,6,0.21304892,5,2,28,9,6,1,26,9,29,5,11,4,21,17,4,171
6300,Sebastián Coates Nión,1231,7,0,0.809585872,2,417,294,1,2,0.25990038,8,6,40,20,5,4,74,27,55,3,79,25,27,51,6,179
6871,Costel Fane Pantilimon,1530,0,0,0.0,0,560,295,0,1,0.040265065,0,0,42,2,3,1,0,0,89,0,0,0,0,0,0,6
7171,Fabio Borini,1891,49,5,4.82200341,18,600,408,2,17,1.744526088,40,17,134,32,52,15,103,19,103,62,30,26,43,32,5,380
9539,Vito Mannone,1710,0,0,0.0,0,633,291,0,0,0.0,0,0,56,0,5,1,0,0,111,0,0,0,0,0,0,2
9554,Steven Fletcher,1009,23,4,2.261517854,10,294,186,0,10,0.964205043,26,14,43,18,16,3,118,6,27,25,4,1,10,10,2,143
10503,Billy Jones,2032,13,1,1.821426968,4,847,591,0,10,0.6871202496,17,12,71,39,15,5,115,45,93,19,59,19,67,81,10,522
10770,Adam Matthews,37,0,0,0.0,0,19,16,0,0,0.0,2,0,2,0,0,0,2,0,2,0,1,0,0,2,0,5
10771,George Honeyman,39,0,0,0.0,0,6,5,0,1,0.14369719,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13
10783,Lee Cattermole,2210,10,0,0.671550593,1,970,735,0,20,1.394371618,19,14,93,47,20,9,86,45,127,23,38,36,47,57,16,440
13286,Lamine Koné,1314,10,2,1.6360862857,4,405,265,1,3,0.45696079999999994,5,4,77,6,6,4,63,14,57,4,115,42,34,25,5,135
13846,Jan Kirchhoff,1077,9,0,1.002113455,1,569,394,0,13,0.48116471359999996,16,14,91,27,19,8,112,39,99,17,46,36,28,49,12,258
16295,Dame N''Doye,571,11,1,0.7051310829999999,4,194,132,0,3,0.2056457,15,5,45,22,20,4,63,9,37,12,8,6,10,15,5,105
16457,Jeremain Lens,1331,28,3,2.1020062906,9,474,281,3,17,2.8993052859999997,64,34,152,30,34,8,66,24,70,49,9,4,22,36,12,320
16890,John O''Shea,2008,8,0,0.436195236,3,610,454,0,1,0.09923351,1,1,48,23,12,12,71,19,58,4,173,31,31,32,4,185
18751,Jack Rodwell,1169,27,1,2.5310200800000002,8,462,348,0,14,0.9314974229999999,12,8,55,23,9,5,49,15,51,12,19,8,17,23,9,194
22281,Duncan Watmore,919,17,3,1.994844704,9,174,114,1,10,1.107081935,40,22,103,8,18,2,39,4,67,38,7,4,18,7,4,156
40366,Wes Brown,540,0,0,0.0,0,198,156,0,0,0.0,1,1,21,6,6,4,21,6,17,0,57,8,9,8,1,51
42902,Adam Johnson,1147,16,2,1.762098854,3,600,443,5,30,2.582326034,24,14,107,8,16,2,22,8,74,24,7,10,23,11,3,137
43627,Jordi Gómez García-Penche,351,2,0,0.022011260999999997,1,173,143,0,3,0.2372602715,2,2,13,7,5,2,11,5,19,1,9,2,9,8,0,46
45389,Thomas Robson,90,0,0,0.0,0,56,44,0,0,0.0,2,1,7,0,1,0,6,1,1,0,5,3,2,3,0,10
129559,Rees Greenwood,51,0,0,0.0,0,20,16,0,1,0.024360102,2,1,3,1,0,0,5,2,6,2,0,2,0,2,1,17
