player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3337,Jermain Defoe,17,0,0,0.0,0,2,1,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
3658,DeAndre Yedlin,90,0,0,0.0,0,33,18,0,0,0.0,2,1,2,0,1,1,7,0,7,2,6,0,8,2,0,22
4417,Ola Toivonen,45,1,0,0.028418008,0,21,16,0,0,0.0,1,0,0,1,0,0,3,0,1,0,2,0,0,0,0,4
4429,Yann Gérard M''Vila,90,0,0,0.0,0,63,45,0,1,0.028418008,1,1,5,1,1,0,5,4,11,0,8,0,5,5,3,11
4746,Younes Kaboul,90,1,0,0.07620395,1,26,15,0,0,0.0,0,0,5,0,0,0,7,0,4,0,14,0,2,0,0,12
6300,Sebastián Coates Nión,90,0,0,0.0,0,28,17,0,1,0.07620395,0,0,5,2,0,0,2,0,4,0,6,6,2,1,0,8
6871,Costel Fane Pantilimon,90,0,0,0.0,0,29,11,0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0
7171,Fabio Borini,45,3,0,0.039946731,2,13,7,0,0,0.0,1,0,5,0,4,1,3,2,6,1,1,0,2,2,0,16
9554,Steven Fletcher,69,0,0,0.0,0,14,12,0,1,0.008165246,0,0,1,1,2,0,16,0,0,4,0,0,1,0,0,9
10503,Billy Jones,90,0,0,0.0,0,34,19,0,0,0.0,0,0,0,2,1,0,2,1,5,1,1,0,6,1,0,12
18751,Jack Rodwell,21,2,0,0.082344892,0,9,8,0,0,0.0,0,0,0,0,1,1,2,1,0,0,1,0,0,2,1,2
22281,Duncan Watmore,90,2,0,0.25283695300000003,1,24,16,0,1,0.022344856,1,0,6,3,0,0,1,1,7,5,2,0,1,1,1,9
42902,Adam Johnson,90,2,0,0.075391369,0,44,30,0,3,0.312836989,1,1,6,1,0,0,2,0,9,1,0,0,2,0,0,10
43627,Jordi Gómez García-Penche,73,0,0,0.0,0,29,23,0,0,0.0,1,1,2,2,2,2,0,0,4,1,1,1,1,0,0,13
