player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3057,Jonjo Shelvey,84,2,0,0.11704019199999999,0,53,40,0,1,0.036177333,0,0,8,0,0,0,5,2,6,1,0,0,1,4,2,20
3262,Łukasz Fabiański,90,0,0,0.0,0,39,25,0,0,0.0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
3290,Federico Fernández,90,1,0,0.3969457,0,37,29,0,0,0.0,0,0,4,0,0,0,2,0,2,0,11,0,0,0,0,8
3340,Kyle Naughton,90,0,0,0.0,0,74,56,1,1,0.69662285,0,0,6,1,0,0,4,0,5,3,1,0,3,1,0,13
3347,André Ayew Pelé,90,3,1,0.961915552,3,39,29,0,0,0.0,3,2,9,1,1,0,8,1,3,4,1,0,5,2,1,20
3462,Jack Frank Porteous Cork,6,0,0,0.0,0,4,3,0,0,0.0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1
3605,Sung-Yeung Ki,90,0,0,0.0,0,47,41,0,1,0.030381102,0,0,3,2,2,0,8,3,10,2,2,2,1,3,0,17
3644,Ashley Williams,90,0,0,0.0,0,33,25,0,0,0.0,0,0,8,0,0,0,4,2,4,0,11,1,1,2,1,2
3944,Gylfi Þór Sigurðsson,90,2,1,0.11917695,1,32,27,0,0,0.0,3,3,3,2,2,0,0,0,2,1,0,1,4,0,0,25
7063,Jefferson Antonio Montero Vite,75,0,0,0.0,0,24,13,0,0,0.0,1,1,7,1,1,1,2,0,4,2,0,1,2,0,0,11
9536,Modou Barrow,15,1,0,0.017378505,0,11,10,0,2,0.11210288199999999,0,0,3,1,1,0,1,0,2,1,0,0,0,1,0,3
9627,Neil Taylor,90,0,0,0.0,0,42,37,0,0,0.0,1,1,4,1,1,1,3,0,4,0,8,1,2,1,0,7
15996,Éderzito António Macedo Lopes,1,0,0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20521,Bafétimbi Gomis,89,1,0,0.036177333,0,26,17,0,3,0.69781704,1,1,3,0,2,1,5,0,5,1,0,0,0,0,0,7
