player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3037,Mousa Sidi Yaya Dembélé,81,0,0,0.0,0,35,34,0,2,0.071949074,3,1,12,1,1,0,8,4,8,1,0,3,3,7,0,35
3043,Christian Dannemann Eriksen,90,4,0,0.08587470929999999,2,61,39,0,4,0.0910850727,0,0,8,0,0,0,2,1,3,4,0,2,1,2,1,20
3083,Heung-Min Son,9,0,0,0.0,0,4,2,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4
3086,Ben Davies,13,0,0,0.0,0,11,9,0,1,0.059445754,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
3094,Bamidele Alli,90,3,0,0.134070778,1,28,19,1,4,0.06914525,3,1,6,1,3,2,6,1,5,7,2,6,3,3,0,43
3099,Hugo Lloris,90,0,0,0.0,0,22,14,0,0,0.0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0
3205,Kyle Walker,90,1,0,0.0443216,1,52,31,0,2,0.29381891,1,0,8,3,0,0,5,2,4,0,3,3,0,3,0,19
3585,Erik Lamela,66,2,0,0.23265033499999999,1,30,22,0,1,0.10678657,2,0,6,1,0,0,8,3,3,2,0,1,0,5,2,29
3594,Danny Rose,77,3,0,0.0522322567,0,51,34,0,2,0.09152460400000001,3,2,21,1,1,0,5,3,7,2,2,0,4,3,3,11
3611,Kevin Wimmer,90,0,0,0.0,0,47,39,0,0,0.0,0,0,5,1,0,0,4,1,2,0,3,2,2,4,0,6
10955,Harry Kane,90,8,1,0.317375188,4,24,20,0,1,0.01502442,3,1,9,1,3,1,6,0,10,1,2,0,0,1,0,16
10956,Eric Dier,90,2,0,0.0889255,1,56,45,0,0,0.0,0,0,6,2,1,1,6,1,3,1,1,2,0,2,0,25
20005,Toby Alderweireld,90,1,1,0.26375267,1,54,38,0,0,0.0,1,0,8,0,0,0,4,1,4,0,4,1,1,2,1,7
40127,Ryan Mason,24,1,0,0.02951731,0,7,6,0,0,0.0,0,0,2,0,1,0,0,0,1,0,1,0,3,0,0,5
