player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3263,Craig Cathcart,3034,6,1,0.5523564986,2,1050,758,0,3,0.083765336,5,4,85,12,13,10,111,23,94,7,217,23,49,50,8,173
3288,Miguel Ángel Britos Cabrera,2073,7,0,0.652075664,0,772,537,0,0,0.0,8,7,85,21,18,11,71,14,73,6,178,27,35,30,3,171
3302,Nordin Amrabat,505,7,0,0.349799804,3,193,133,0,4,0.40396711799999996,19,14,62,17,24,4,25,3,34,29,2,9,10,6,2,108
3306,Nathan Aké,1902,17,1,1.8315563700000002,5,905,624,0,7,0.772177603,12,7,83,31,12,5,102,39,79,13,112,24,73,79,8,302
3309,Sebastian Prödl,1778,12,2,1.175452245,3,538,402,0,2,0.155791568,1,0,48,23,6,5,73,20,33,1,107,23,32,30,4,125
3454,Troy Deeney,3297,94,13,12.085973285,31,1302,807,7,56,8.2467848542,50,29,132,58,45,23,349,27,162,77,51,8,65,44,15,609
3522,Heurelho da Silva Gomes,3396,0,0,0.0,0,1132,627,0,0,0.0,0,0,90,2,5,4,0,0,222,1,2,0,1,0,0,7
3626,Ben Watson,2817,16,1,0.515430226,4,1599,1197,0,35,2.4166353885,17,12,107,47,17,6,127,46,139,12,90,42,74,69,17,608
3721,Etienne Capoue,2814,35,0,2.7560736759,8,1595,1258,1,23,1.528630046,93,54,221,64,65,11,124,64,230,56,56,61,62,95,34,629
3725,José Holebas,945,13,0,0.5577538845,2,531,389,0,7,0.6643869525,35,17,90,11,5,1,37,15,68,15,42,18,18,26,4,119
3991,Allan Romeo Nyom,2468,7,0,0.3393341827,1,1228,819,1,8,0.392986638,36,22,142,38,28,6,122,57,135,24,92,31,63,95,34,342
4828,Adlène Guédioura,426,12,0,0.297418142,3,296,188,2,12,0.698815335,24,15,36,13,7,2,33,9,44,10,8,15,10,17,4,84
5458,Odion Jude Ighalo,3151,111,15,16.9192775224,49,707,535,2,33,2.113447567,92,53,152,46,60,23,174,19,125,103,27,18,36,27,10,498
5540,Valon Behrami,1304,1,0,0.019907001,0,518,411,1,5,0.38531756699999997,9,3,54,40,19,7,96,39,83,15,18,24,39,64,11,434
5556,Miguel Arturo Layún Prado,131,4,1,0.24609534800000002,1,60,45,0,2,0.16812635999999997,4,4,11,1,1,0,5,1,5,4,3,1,1,4,0,31
6870,José Manuel Jurado Marín,2007,36,0,1.5850886101,10,1035,833,0,39,3.02355363,86,52,258,15,44,7,69,19,156,49,9,17,37,34,12,343
7745,Steven Berghuis,233,7,0,0.5190596495,4,113,76,2,8,0.8035361784999999,5,4,29,11,4,1,11,1,18,3,1,2,5,5,0,60
19847,Alessandro Diamanti,67,1,0,0.02299939,0,55,36,0,1,0.1435358,2,2,6,1,2,0,5,2,4,1,3,1,1,4,1,12
22237,Mamadou Obbi Oularé,7,0,0,0.0,0,3,2,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
23488,Mario Suárez Mata,748,9,0,0.42049565499999997,1,427,340,0,6,0.3193595897,11,8,51,17,5,1,27,10,55,12,21,20,17,12,5,137
31904,Giedrius Arlauskis,24,0,0,0.0,0,6,4,0,0,0.0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0
36983,Juan Carlos Paredes Reasco,772,5,0,0.127796528,1,380,261,0,3,0.63937082,14,7,64,10,9,4,23,9,54,15,25,8,19,14,2,145
40118,Ikechi Anya,1686,10,0,0.734730166,1,866,629,1,16,0.888301999,28,17,165,3,20,6,44,9,100,20,41,17,46,16,3,201
40453,Segundo Víctor Ibarbo Guerrero,68,0,0,0.0,0,28,18,0,0,0.0,3,1,6,2,1,0,5,2,8,1,1,0,3,2,2,17
43081,Almen Abdi,1977,39,2,2.3587584059999998,10,1020,818,0,30,2.5693327373,21,15,97,42,27,11,122,54,142,35,25,20,70,85,22,504
