player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2966,Stéphane Sessègnon,1755,28,2,1.250708888,8,638,467,2,28,2.3786941645,84,50,240,22,59,8,60,13,145,59,15,18,29,21,8,220
3479,Sam Field,5,0,0,0.0,0,2,1,0,0,0.0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
3490,James Morrison,1340,24,3,2.450218271,11,615,502,2,18,1.3140050876,36,20,104,10,13,3,55,18,103,24,16,16,30,30,12,252
3514,James McClean,2474,31,2,2.1490602425,9,822,498,2,32,2.6625873981,68,35,198,42,45,12,144,36,116,46,63,19,53,73,16,551
3523,Craig Dawson,3385,38,4,3.4319955754,8,1658,1059,0,23,1.800993195,30,15,85,37,32,16,170,39,122,18,189,44,105,76,11,443
3541,Chris Brunt,1800,17,0,0.613524584,4,851,571,3,19,1.9672106746,17,11,90,23,7,6,49,14,72,12,81,15,44,30,8,205
3596,Gareth McAuley,3060,8,1,0.84951885,3,847,596,0,6,0.627698018,8,8,92,33,18,13,124,27,136,10,262,39,71,53,9,352
3656,Alex Pritchard,63,2,0,0.093362677,0,28,20,0,0,0.0,6,3,6,1,2,0,3,0,8,1,0,2,1,2,0,13
3967,Claudio Ariel Yacob,2844,9,0,0.216381981,0,1118,875,1,9,0.5267033183000001,18,10,69,69,49,22,157,76,203,22,92,60,89,115,27,770
4022,Darren Fletcher,3375,23,1,1.839551207,4,1516,1163,2,25,1.805489938,67,39,233,22,36,8,99,26,281,43,39,29,54,45,9,547
4041,José Salomón Rondón Giménez,2563,72,9,8.3394650601,22,662,427,2,26,1.635710986,44,21,108,37,40,13,239,8,104,80,45,13,51,12,8,517
4053,Ben Foster,1350,0,0,0.0,0,408,208,0,0,0.0,0,0,37,0,0,0,0,0,72,0,3,0,1,0,0,4
4129,Tyler Roberts,19,1,0,0.6280385,0,8,4,0,0,0.0,2,2,1,1,0,0,0,0,6,2,0,0,1,0,0,6
4630,Saido Berahino,1748,36,4,6.222151514,10,471,360,0,18,0.971805004,44,30,100,20,28,5,70,10,75,54,7,8,35,19,7,263
5108,Glyn Oliver Myhill,2070,0,0,0.0,0,661,321,0,0,0.0,0,0,58,0,3,1,0,0,112,0,0,0,3,0,0,0
5602,Cristian Gamboa Luna,28,1,0,0.029631916,0,13,9,0,0,0.0,2,1,2,1,1,0,3,1,4,0,0,1,0,3,0,9
7121,Sandro Ranieri Guimarães Cordeiro,381,3,0,0.056106919500000005,0,144,98,0,1,0.11517928,3,3,18,7,6,2,21,4,20,6,15,12,10,11,2,66
8400,Serge Gnabry,13,2,0,0.0579582006,1,7,6,0,1,0.04677362,4,2,3,2,0,0,1,0,3,0,0,0,0,0,0,13
9485,Craig Gardner,2039,50,3,3.892689569,9,745,428,3,26,2.836617041,22,9,61,48,27,6,122,33,96,20,32,20,63,57,14,511
9551,Callum McManaman,279,8,0,0.5205207789999999,1,93,69,1,5,0.218892001,17,12,42,3,10,1,10,5,14,7,1,1,6,7,3,48
9628,James Grant Chester,964,0,0,0.0,0,404,299,0,4,0.38539745599999997,7,4,25,12,7,3,61,15,33,6,65,15,30,37,4,159
11012,Jonathan Grant Evans,2590,9,1,2.0259355855,1,1101,802,1,6,0.479417645,22,17,177,33,20,5,128,38,160,12,155,53,69,83,16,357
18947,Sébastien Pocognoli,35,0,0,0.0,0,30,19,1,2,0.24916494,0,0,2,0,0,0,1,0,0,1,4,0,1,0,0,2
20285,Joleon Lescott,180,0,0,0.0,0,97,86,0,0,0.0,1,1,7,0,1,0,5,4,6,1,8,2,3,4,3,21
20527,Jonas Olsson,2012,6,1,1.06203607,2,575,403,1,4,0.930208554,3,2,40,23,8,8,40,11,47,1,164,18,58,18,2,159
22702,Jonathan Leko,269,0,0,0.0,0,55,42,1,2,0.26016342,21,12,32,7,4,1,16,5,22,12,1,4,10,11,4,69
40124,Rickie Lambert,624,14,1,1.678473562,5,274,189,1,9,0.858331246,5,3,15,7,10,7,64,0,23,12,5,1,3,1,0,88
40130,Victor Chinedu Anichebe,367,14,0,1.2194524850000001,4,116,73,0,2,0.220239101,7,5,18,4,7,3,30,2,11,10,9,2,1,2,1,51
