player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2966,Stéphane Sessègnon,90,1,0,0.051626783,0,37,27,0,0,0.0,6,6,21,2,2,0,1,0,10,7,1,1,2,1,0,11
3514,James McClean,90,1,0,0.030730423,0,28,16,0,2,0.123925799,2,0,11,0,4,1,5,2,2,4,3,0,1,4,2,12
3523,Craig Dawson,90,1,0,0.0066569573,0,51,35,0,1,0.07337637,0,0,1,2,2,0,3,1,3,0,2,1,1,2,1,11
3541,Chris Brunt,90,0,0,0.0,0,67,53,0,1,0.21491446,1,1,5,1,1,1,0,0,2,0,6,1,1,0,0,4
3596,Gareth McAuley,90,0,0,0.0,0,49,40,0,0,0.0,0,0,6,0,3,2,4,1,6,0,6,0,3,1,0,2
3967,Claudio Ariel Yacob,90,1,0,0.021192232,0,68,57,0,1,0.0066569573,1,1,3,1,1,0,6,4,9,0,2,0,2,5,1,9
4022,Darren Fletcher,90,0,0,0.0,0,67,55,0,0,0.0,1,0,10,1,0,0,5,1,7,4,0,0,4,1,0,6
4041,José Salomón Rondón Giménez,69,3,0,0.3999548,1,17,11,0,0,0.0,2,1,1,0,0,0,7,0,2,4,1,0,1,0,0,9
4630,Saido Berahino,78,2,1,0.966292999,1,15,12,0,1,0.051626783,1,0,1,2,1,0,2,1,2,2,0,0,1,1,1,8
5108,Glyn Oliver Myhill,90,0,0,0.0,0,21,14,0,0,0.0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0
9485,Craig Gardner,12,0,0,0.0,0,8,7,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3
11012,Jonathan Grant Evans,90,0,0,0.0,0,43,37,0,0,0.0,0,0,8,2,0,0,3,0,0,0,8,0,2,0,0,2
40124,Rickie Lambert,21,0,0,0.0,0,19,15,0,0,0.0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,2
