player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3062,Aaron Cresswell,3314,27,2,0.8002924176,6,1874,1420,4,45,3.551205374,34,16,173,26,35,15,92,24,169,26,107,38,77,44,10,337
3316,James Tomkins,1961,8,0,0.5013403207,1,963,751,0,10,0.6802075940000001,9,5,89,18,16,12,93,33,78,7,129,21,49,67,8,271
3349,Michail Antonio,2057,56,8,5.604933744,20,708,464,3,22,2.3562081,94,59,175,27,37,8,105,32,125,57,60,51,56,50,13,341
3482,James Collins,1446,13,0,0.9503093917000001,3,554,438,0,1,0.065683156,4,3,58,13,7,5,51,9,38,1,172,24,41,18,3,105
3491,Dimitri Payet,2571,69,9,5.0674303673,27,1572,1120,12,112,10.8740154985,110,75,300,15,45,5,47,13,173,72,4,18,33,30,10,303
3586,Samuel Mark Byram,288,0,0,0.0,0,140,97,0,2,0.51776368,0,0,17,7,4,1,9,2,15,2,12,12,6,5,0,38
3595,Manuel Lanzini,1910,48,5,3.4465426719999996,10,1119,976,2,34,3.3144584405,86,51,299,13,39,2,63,23,151,45,5,25,25,36,6,278
3623,Adrián San Miguel del Castillo,2880,0,0,0.0,0,998,586,0,0,0.0,1,1,79,1,2,2,0,0,170,1,4,0,1,0,0,2
3684,Cheikhou Kouyaté,3032,46,5,5.447483423,16,1255,1006,2,16,0.9060925556,45,32,227,40,48,11,160,48,201,33,95,47,78,92,19,542
3843,Angelo Obinze Ogbonna,2325,6,0,0.514565924,0,954,760,0,2,0.15027198900000002,9,6,122,23,17,13,86,31,97,8,172,46,44,48,13,238
3874,Mark Noble,3210,34,7,4.019765458,12,1943,1671,4,47,2.5956576173,40,28,225,47,60,12,126,48,244,45,26,46,68,93,17,603
3897,Pedro Mba Obiang Avomo,1087,9,0,0.325509128,1,478,373,1,3,0.695514102,15,9,41,23,16,5,63,26,70,9,31,17,34,43,12,286
3962,Diafra Sakho,1526,46,5,7.3521038910000005,19,360,231,1,13,1.191738597,50,22,92,20,31,9,160,13,77,62,21,6,24,15,7,255
3963,Victor Moses,977,21,1,1.837626853,4,306,233,2,16,1.6875076900000001,47,23,139,19,25,6,45,10,57,33,2,6,19,17,6,134
4271,Andy Carroll,1441,55,9,6.284561378,22,433,267,1,15,2.017017814,22,10,36,43,29,14,133,6,55,20,31,5,24,9,3,164
4273,Reece Oxford,212,1,0,0.07030312,0,57,47,0,0,0.0,0,0,1,2,1,0,9,4,6,0,7,6,7,6,2,31
4280,Winston Reid,2135,18,1,1.580104946,5,826,695,1,5,0.5910198959999999,2,2,109,24,29,19,94,37,64,5,177,41,51,49,19,248
20066,Darren Randolph,540,1,0,0.050556086,0,192,108,0,0,0.0,0,0,13,0,0,0,0,0,29,0,1,0,0,0,0,0
20543,Nikica Jelavić,350,11,1,1.8327274986999997,1,78,51,1,7,0.467386618,5,4,9,10,4,2,34,4,12,4,4,2,4,6,4,62
21254,Carl Jenkinson,1241,7,2,0.7927971646,3,706,519,0,6,0.68113935,14,4,78,15,5,3,47,14,71,11,56,8,24,29,6,141
21540,Kevin Nolan,57,0,0,0.0,0,14,13,0,0,0.0,1,1,1,0,0,0,3,0,3,1,1,0,1,0,0,5
22594,Matt Jarvis,76,0,0,0.0,0,19,17,0,0,0.0,2,1,4,1,0,0,6,1,3,1,0,1,0,3,0,12
27053,Alexandre Dimitri Song-Billong,657,6,0,0.215362981,0,463,388,0,8,0.1803630177,14,10,96,19,11,3,45,23,83,12,6,4,9,38,10,200
27853,Mauro Matías Zárate,787,30,4,1.9350439890000002,14,336,250,0,17,1.0991513723,47,26,129,15,23,4,33,15,56,31,6,1,14,20,6,140
28559,Enner Remberto Valencia Lastra,1011,33,4,3.6387039443,10,257,193,2,9,1.223003814,36,16,90,14,21,5,83,11,57,41,16,8,25,22,5,205
42702,Modibo Maïga,26,2,1,0.448480331,2,12,5,0,0,0.0,5,4,6,3,1,0,6,0,0,0,0,0,1,0,0,4
128704,Emmanuel Emenike,512,12,0,1.810002222,2,153,112,0,9,0.496551708,17,11,38,5,7,2,42,2,33,19,7,5,4,4,1,83
