player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3167,Antonio Rüdiger,2635,18,2,1.5747830846000002,5,1569,1374,0,6,0.8456672399999999,10,6,210,44,16,8,91,24,144,6,118,21,63,46,9,334
3531,Mohamed Salah,2728,73,14,8.5013707905,29,1196,968,6,59,6.260836492,99,47,284,26,47,11,66,11,146,85,4,15,22,21,5,453
4355,Emerson Palmieri dos Santos,187,4,1,1.011837311,2,101,82,0,1,0.03176022,5,1,13,3,1,1,9,5,12,2,5,3,2,7,0,32
5587,Adem Ljajić,2,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5669,Wojciech Szczęsny,3060,0,0,0.0,0,1242,918,0,1,0.06053298,2,2,75,0,2,0,0,0,164,0,1,1,0,0,0,0
6849,Lucas Digne,2857,16,3,0.7787891289,8,2020,1574,2,26,2.2519586377,40,22,234,53,32,10,114,32,153,44,97,42,88,63,9,476
6947,Miralem Pjanić,2668,68,10,6.0585645779,25,2395,1934,11,75,6.429799292,43,26,271,60,45,16,74,23,143,39,21,39,66,36,8,610
6962,Radja Nainggolan,2939,66,6,3.8490371977,19,1793,1511,1,42,2.9157151186,40,24,264,53,57,6,100,40,231,53,26,32,49,59,21,583
6964,Alessandro Florenzi,2729,48,7,3.2580288607,15,1879,1455,3,38,4.088015093,49,23,267,25,27,10,94,27,135,22,66,62,84,47,10,440
6973,Edin Džeko,1983,88,8,13.468433918,31,598,391,4,19,1.722915333,41,21,95,42,53,14,137,10,63,49,20,2,31,14,2,305
6979,Stephan El Shaarawy,1194,46,8,6.140188139,21,536,430,2,13,1.2032702428,31,14,121,9,11,1,41,13,61,26,16,6,17,16,5,233
6980,Kevin Strootman,190,2,0,0.10597384400000001,0,168,155,1,3,0.79522676,2,1,11,6,2,0,7,4,9,2,2,0,9,4,2,64
7048,Konstantinos Manolas,3122,17,2,1.3819564685999999,3,1756,1534,1,4,0.2152503603,6,4,243,56,35,26,94,30,176,3,157,36,63,57,11,332
7051,Daniele De Rossi,1904,11,1,0.604167551,2,1462,1302,2,16,1.474951995,7,4,168,26,24,13,55,18,78,3,65,26,44,28,7,232
7137,Ervin Zukanović,523,1,0,0.059674244,0,305,257,1,3,0.111793861,1,1,50,9,3,2,10,0,19,1,29,11,9,1,0,45
7456,Diego Perotti,1204,25,3,2.013825338,10,796,620,7,33,2.902760351,47,30,199,16,32,2,38,12,64,29,3,5,28,20,6,376
7468,Iago Falqué Silva,1165,16,2,1.3774634706,8,603,490,2,19,1.446818741,15,9,87,7,10,2,45,12,48,26,6,7,17,19,4,250
7961,Leandro Castán da Silva,380,0,0,0.0,0,165,144,0,0,0.0,2,2,30,11,5,2,14,2,11,1,16,7,10,5,0,53
8104,Vassilis Torosidis,576,2,0,0.113280197,0,370,307,0,4,0.440125833,4,2,26,15,12,6,11,4,17,2,27,4,19,6,0,69
11128,Umar Sadiq Mesbah,191,4,2,1.31647469,3,46,31,0,1,0.07975923,3,2,10,8,8,2,21,0,9,3,3,1,5,2,0,53
15780,Francesco Totti,388,22,5,3.3129100719999998,10,307,229,3,13,1.6024514357,8,4,35,6,13,3,19,6,27,12,1,0,5,8,3,51
15818,Gervais Lombe Yao Kouassi,1083,27,6,4.445208955,7,330,273,1,13,1.084767759,47,28,139,4,6,1,20,3,46,18,1,6,13,7,1,137
19299,Maicon Douglas Sisenando,1013,11,1,0.80563088,6,840,685,2,11,2.1281003865,15,13,133,12,11,4,24,14,65,9,23,8,24,17,10,117
20043,Norbert Gyömbér,99,0,0,0.0,0,52,42,0,2,0.0548818,2,2,6,5,1,1,4,2,6,0,6,0,7,2,0,23
20169,Seydou Kéita,1367,13,1,0.861072222,1,800,700,0,5,0.324426704,8,6,88,45,30,13,58,17,78,5,32,16,26,26,6,256
20637,Salih Uçan,43,1,0,0.109493956,0,23,20,1,1,0.32358694,1,1,4,3,1,0,7,2,4,0,1,2,2,2,0,20
23241,William Vainqueur,603,4,0,0.161178732,2,386,363,2,5,0.4172277827,14,11,47,22,5,0,33,16,38,8,14,9,28,27,4,177
27949,Juan Manuel Iturbe Arévalo,405,9,1,0.639712625,2,99,69,0,6,0.49794509899999995,16,8,46,8,17,5,21,5,21,13,2,4,13,7,3,65
40453,Segundo Víctor Ibarbo Guerrero,8,0,0,0.0,0,2,1,0,0,0.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
40529,Morgan De Sanctis,360,0,0,0.0,0,79,59,0,0,0.0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,1
390310,Lorenzo Di Livio,22,0,0,0.0,0,8,8,0,0,0.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7
