player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3167,Antonio Rüdiger,90,1,0,0.17697687,0,58,50,0,0,0.0,0,0,8,1,0,0,2,1,1,0,4,1,1,2,0,9
3531,Mohamed Salah,80,3,0,0.227131058,0,27,20,0,2,0.029118805,1,0,5,0,0,0,6,1,4,1,0,0,0,2,1,16
5669,Wojciech Szczęsny,90,0,0,0.0,0,36,26,0,0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
6849,Lucas Digne,90,1,0,0.0075293332,1,63,51,1,1,0.18006432,1,1,7,0,1,0,3,0,6,3,2,2,6,0,0,13
6947,Miralem Pjanić,90,1,0,0.046670288,0,78,64,0,2,0.21336754700000002,2,1,7,3,2,0,5,3,6,0,1,2,1,3,2,28
6962,Radja Nainggolan,70,3,0,0.120604237,0,32,24,0,4,0.11671788699999999,0,0,10,0,3,1,1,1,5,4,0,1,1,1,1,14
6964,Alessandro Florenzi,90,2,1,0.044821525,1,54,39,0,1,0.16975626,1,0,5,0,1,0,7,0,7,0,4,3,2,3,0,23
6973,Edin Džeko,31,2,1,0.477148227,1,11,7,0,0,0.0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,13
6979,Stephan El Shaarawy,59,2,1,0.20701363,2,25,21,0,1,0.0075293332,2,1,7,0,2,0,3,1,2,1,1,1,0,1,1,16
7048,Konstantinos Manolas,90,0,0,0.0,0,54,50,0,0,0.0,0,0,4,2,1,1,4,2,3,0,5,3,4,3,1,13
7137,Ervin Zukanović,10,0,0,0.0,0,8,6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2
7456,Diego Perotti,90,3,1,0.13908230400000002,2,51,44,0,1,0.029555822,2,1,15,0,3,0,3,3,3,3,0,1,4,3,2,43
7468,Iago Falqué Silva,20,0,0,0.0,0,19,18,0,1,0.052956607,2,2,1,0,1,0,1,0,0,0,0,0,0,1,0,6
20169,Seydou Kéita,90,0,0,0.0,0,37,29,0,0,0.0,2,2,2,4,1,0,7,1,4,0,5,1,5,3,1,17
