player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3556,Serge Gakpé,79,3,0,0.0673077258,2,18,11,0,1,0.19017148,4,2,11,4,1,0,3,0,7,6,0,0,2,0,0,20
6941,Jasmin Kurtič,2401,41,2,2.5442517147,10,1069,800,0,14,1.4819238513,33,24,131,40,39,6,119,21,107,22,40,23,52,43,10,628
6952,Alberto Grassi,974,16,0,0.9961642048999999,4,381,295,0,8,0.5674416884,17,6,43,28,26,5,45,9,66,6,23,21,21,31,0,217
6983,Remo Freuler,449,5,1,0.6010902499999999,1,159,125,0,2,0.0343485547,3,1,25,17,5,1,30,13,24,7,3,4,9,19,5,147
6992,Andrea Masiello,2399,4,0,0.136470596,1,1281,987,1,11,0.6716654384,5,4,98,29,19,14,64,21,117,5,116,47,59,40,14,305
6994,Marten de Roon,3090,20,1,0.750183182,6,1669,1306,1,19,0.6604620859,25,17,108,87,35,14,200,94,189,27,67,66,77,135,39,1108
7002,Rafael Tolói,1913,10,1,0.4644792267,4,721,567,0,2,0.09878935800000001,9,7,82,36,10,5,88,44,75,6,120,29,38,57,16,278
7003,Roberto Gagliardini,81,2,0,0.09529190600000001,0,36,29,0,0,0.0,0,0,4,2,0,0,6,2,1,1,0,3,1,3,0,30
7006,Alejandro Darío Gómez,2831,87,7,5.957725376,27,1414,978,7,69,5.959926092,126,74,415,34,90,22,73,26,179,50,8,35,42,37,16,441
7108,Berat Djimsiti,270,1,0,0.051845174,0,141,108,0,0,0.0,1,1,11,2,5,4,9,2,14,0,19,5,6,4,0,23
7157,Marco Sportiello,3240,0,0,0.0,0,1084,646,0,2,0.09799480799999999,1,1,60,1,4,3,0,0,184,1,0,0,0,0,0,7
8184,Marco D''Alessandro,1162,13,3,1.90797747,4,372,262,2,16,1.748672265,54,28,144,18,32,2,51,16,65,28,15,6,25,30,7,223
8420,Luca Cigarini,1819,43,2,3.4657299494,13,1287,1008,2,32,1.2043677557,20,13,108,49,36,13,72,39,127,21,27,22,39,54,16,412
8657,Andrea Conti,812,5,2,1.834380497,2,431,327,1,4,0.5227558418,13,6,47,13,18,6,44,10,60,14,29,25,19,28,2,144
8871,Marco Borriello,855,26,4,3.413333174,10,218,174,0,9,0.401353889,17,9,71,23,16,4,70,4,36,19,11,1,12,6,3,111
11722,Boukary Dramé,2085,18,0,0.844631063,5,1289,1032,0,16,0.7664159460000001,36,28,144,24,32,10,68,22,112,26,57,35,75,42,11,297
12759,Maximiliano Nicol Moralez,1358,26,1,4.209653791,11,799,614,4,41,2.9828823138000002,29,14,130,24,42,7,52,15,67,38,5,12,33,22,8,406
19847,Alessandro Diamanti,858,23,1,1.4657321289,6,600,397,1,21,1.827079059,28,15,93,22,50,10,30,7,70,34,3,2,11,13,4,162
28066,Marcelo Alejandro Estigarribia Balmori,30,0,0,0.0,0,17,10,0,0,0.0,1,0,5,0,4,0,1,0,5,2,1,0,2,1,0,6
31231,Davide Brivio,1010,8,0,0.131298994,1,653,502,0,6,0.389411473,6,2,81,8,7,2,22,6,58,8,30,6,22,11,4,135
31725,Gaetano Monachello,361,15,0,0.9400149419999999,5,69,59,0,0,0.0,17,10,24,12,7,0,25,3,20,10,1,1,0,3,3,71
35923,Carlos Emilio Carmona Tello,489,1,0,0.04413486,0,243,210,0,3,0.140906307,4,2,20,15,9,5,28,13,21,3,6,4,12,20,3,192
36770,Mauricio Ricardo Pinilla Ferreira,1383,43,5,4.3027467755,14,351,235,2,17,2.3135033,21,8,53,48,33,8,112,9,48,21,22,5,16,19,4,260
36927,Boris Radunović,90,0,0,0.0,0,32,20,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
38237,Gabriel Alejandro Paletta,2097,9,1,0.3983349202,1,807,626,0,3,0.149321868,5,3,68,37,14,11,84,34,93,4,114,20,44,51,13,277
40333,Cristian Raimondi,744,6,0,0.395369981,1,362,252,0,4,0.206982915,7,3,34,24,24,8,81,24,26,5,10,9,34,44,10,211
40426,Guglielmo Stendardo,1114,6,1,0.971848255,1,407,335,0,1,0.028653625,3,3,47,19,18,12,48,16,33,0,56,11,20,29,7,151
40455,Giulio Migliaccio,552,3,0,0.156254856,1,239,159,0,3,0.18488341700000002,0,0,16,18,12,8,63,15,26,4,30,4,10,25,6,126
41067,Davide Bassi,90,0,0,0.0,0,37,19,0,0,0.0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
45590,Nicolò Cherubin,1054,4,1,0.31824386000000005,2,344,255,0,1,0.110995,3,1,25,15,13,10,35,5,37,5,56,5,29,8,2,166
49439,Germán Gustavo Denis,973,25,4,4.779569213,9,334,237,1,17,2.0874174024,16,8,39,21,18,5,81,2,32,17,9,0,8,3,1,87
386606,Luigi Giorgi,14,0,0,0.0,0,18,17,0,1,0.022350455,0,0,2,0,1,0,1,0,3,1,0,0,0,1,0,3
386607,Gianpaolo Bellini,946,6,1,0.8902191749999999,1,506,412,0,1,0.034144815,5,4,38,22,10,4,33,14,43,4,42,16,30,25,2,153
