player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
6358,Emil Krafth,147,0,0,0.0,0,95,73,0,1,0.006641317,0,0,14,1,3,1,7,5,15,0,4,2,3,7,2,31
6948,Sergio Floccari,1119,26,2,1.833014702,12,360,279,1,10,1.040525943,32,23,96,27,28,10,82,4,60,35,13,3,20,6,2,249
7142,Luca Rossettini,2541,14,3,1.241526701,4,1310,998,1,7,0.716004657,2,0,119,45,20,16,118,37,73,9,168,50,55,62,9,352
7164,Ibrahima Mbaye,992,5,0,0.256898778,1,642,504,0,2,0.070613391,16,6,77,20,30,13,49,19,65,10,47,12,40,31,5,215
7169,Adam Masina,2641,13,2,1.573150089,2,1570,1179,3,25,1.4527567877,53,27,158,36,32,10,113,41,163,19,106,39,105,64,11,498
7174,Antonio Mirante,2970,0,0,0.0,0,1111,694,0,0,0.0,3,3,84,1,5,1,1,0,189,0,1,0,1,0,0,1
7175,Erick Antonio Pulgar Farfán,687,6,0,0.18273715000000001,0,357,306,0,2,0.094594338,16,9,45,14,6,1,27,13,44,8,16,6,19,19,5,206
7701,Franco Zuculini,19,0,0,0.0,0,16,14,0,0,0.0,0,0,4,1,2,1,2,0,5,1,0,0,3,1,0,5
7704,Alex Ferrari,1256,8,0,0.6899823209999999,2,673,534,0,4,0.375635523,30,18,110,28,25,12,77,31,78,21,49,37,55,53,14,312
7775,Emanuele Giaccherini,2176,46,7,3.5270662293,12,1138,853,0,43,3.2894857755,74,35,243,18,50,10,43,10,112,65,17,17,27,16,4,362
7965,Lorenzo Crisetig,353,2,0,0.044151147,0,194,159,0,2,0.060315205,6,4,24,9,9,2,18,5,22,5,8,6,7,9,2,77
8103,Mattia Destro,2132,67,8,9.210286369,28,413,265,2,11,0.8500893070000001,60,18,98,48,57,31,151,11,59,57,29,2,31,14,4,392
8280,Godfred Donsah,1346,16,2,0.8245611415,9,496,345,1,7,0.499303195,34,19,95,21,15,7,63,14,86,23,41,18,31,27,3,270
8284,Amadou Diawara,2810,20,0,0.5011500560000001,1,1662,1394,1,22,1.132957752,30,23,196,55,19,5,84,44,223,26,52,60,43,68,17,683
8849,Domenico Maietta,1560,1,0,0.046085108,1,811,698,0,1,0.042569723,11,4,80,16,11,8,74,33,79,6,100,25,33,44,9,245
8851,Saphir Sliti Taïder,2106,33,0,1.4721834724,6,1086,906,1,19,1.2239727519999999,20,9,221,40,62,11,76,32,142,46,32,17,35,53,15,568
8873,Marios Oikonomou,1645,5,0,0.447262475,0,759,605,1,2,0.147672848,4,3,95,21,11,7,66,23,71,0,101,23,57,42,9,200
11729,Luca Rizzo,1448,18,0,1.349731789,4,549,402,2,14,1.423094351,44,19,139,35,24,4,66,16,92,45,17,25,42,30,5,389
12475,Angelo Esmael da Costa Júnior,450,0,0,0.0,0,149,97,0,1,0.08350352,0,0,10,1,0,0,0,0,20,0,0,0,0,0,0,1
15415,Matteo Mancosu,327,2,1,0.365789934,2,61,41,0,4,0.247401486,4,2,13,2,7,2,22,1,10,3,4,0,3,4,0,79
18027,Matteo Brighi,1465,24,0,1.774926832,3,608,504,0,9,0.871330093,14,7,59,28,35,7,82,30,86,15,29,21,40,53,9,407
30745,Daniele Gastaldello,2204,8,1,1.237240769,2,1075,896,2,4,0.703004046,2,2,110,42,24,19,90,30,109,2,155,28,44,42,7,268
30770,Filippo Falco,221,4,0,0.124197117,0,142,97,0,4,0.174328146,12,4,45,5,7,1,7,1,18,11,2,2,6,2,1,38
31273,Marco Crimi,45,0,0,0.0,0,16,8,0,0,0.0,0,0,2,2,3,3,3,2,1,0,1,2,3,2,1,15
34565,Anthony Mounier,1931,21,4,3.22623869,8,725,497,2,30,2.3364610672,73,32,173,41,41,7,112,20,98,54,10,11,51,42,9,528
40119,Juan Camilo Zúñiga Mosquera,452,8,0,0.163981445,2,155,125,1,3,0.361159216,9,4,30,2,13,4,11,4,21,14,2,6,3,5,1,62
40428,Archimede Morleo,396,4,0,0.0846159353,1,208,144,0,4,0.15359669599999998,3,2,28,5,11,5,22,3,20,2,18,8,11,9,1,63
41063,Aaron Mattia Tabacchi,8,0,0,0.0,0,9,6,0,1,0.066728935,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,4
45591,Franco Brienza,1685,41,3,2.050330163,12,916,679,3,34,3.4720514656,37,21,160,13,25,5,48,15,107,36,5,19,25,21,7,329
386640,Robert Acquafresca,208,3,0,0.11928217599999999,1,51,38,0,1,0.04431428,6,4,7,0,2,0,13,0,8,1,3,1,3,0,0,50
399299,Kévin Constant,281,0,0,0.0,0,234,196,0,4,0.154201199,5,2,31,7,1,1,9,5,13,8,2,2,4,6,3,53
