player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
7142,Luca Rossettini,90,1,1,0.22927427,1,27,14,0,0,0.0,0,0,1,0,1,1,1,0,3,1,4,4,2,1,0,18
7164,Ibrahima Mbaye,17,0,0,0.0,0,4,4,0,0,0.0,0,0,0,1,1,0,1,1,2,0,0,1,0,1,0,9
7169,Adam Masina,90,0,0,0.0,0,36,24,0,0,0.0,1,0,2,4,1,0,4,4,4,0,11,4,3,4,0,26
7174,Antonio Mirante,90,0,0,0.0,0,38,16,0,0,0.0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
8103,Mattia Destro,90,3,2,0.41656692500000003,2,19,14,0,1,0.1011558,6,3,5,4,1,0,11,1,7,2,1,0,2,1,0,37
8284,Amadou Diawara,91,1,0,0.01416032,0,37,26,1,1,0.23323911,1,1,3,2,0,0,3,1,7,3,3,2,1,3,0,73
8851,Saphir Sliti Taïder,90,1,0,0.03200408,0,29,19,0,0,0.0,2,2,9,2,5,1,5,1,8,0,1,4,5,4,1,50
8873,Marios Oikonomou,90,0,0,0.0,0,23,15,0,0,0.0,0,0,4,0,1,1,2,2,1,0,5,4,4,2,1,12
11729,Luca Rizzo,73,1,0,0.1011558,0,25,14,0,1,0.1841829,3,3,8,3,1,0,7,1,7,3,3,1,4,1,0,29
18027,Matteo Brighi,26,1,0,0.1841829,0,11,9,0,0,0.0,1,1,1,1,2,0,1,0,4,0,0,2,1,1,0,16
30745,Daniele Gastaldello,90,0,0,0.0,0,28,20,0,0,0.0,0,0,4,1,0,0,2,0,5,0,4,4,1,1,0,11
34565,Anthony Mounier,90,1,0,0.55714065,0,28,18,0,3,0.126085873,2,1,4,1,1,0,9,3,8,2,0,2,5,6,1,47
45591,Franco Brienza,64,2,0,0.043270741,1,33,25,1,1,0.22927427,0,0,4,3,1,1,0,0,7,0,0,3,1,0,0,27
