player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
6950,Alberto Paloschi,1669,41,8,9.464600239,17,382,250,2,11,0.6319324669999999,26,11,47,34,23,6,78,8,58,33,7,3,24,14,3,354
6951,Filippo Costa,135,0,0,0.0,0,73,46,0,2,0.12419131,4,3,14,2,4,0,6,3,10,2,7,1,5,4,1,34
7041,Nicola Rigoni,1983,30,3,1.1893362715,7,989,805,1,8,0.507197869,17,8,72,36,16,7,96,34,137,16,58,22,44,54,13,456
7042,Ivan Radovanović,2076,18,0,0.39616906009999997,5,1364,1102,0,8,0.46450403900000004,14,10,99,41,32,15,81,26,151,17,78,22,49,35,7,396
7043,Roberto Inglese,1382,35,3,2.5767282149,11,307,208,1,12,1.0325201990000001,23,14,49,49,40,16,140,12,57,44,12,3,22,17,4,296
7045,Valter Birsa,2365,54,6,5.343415741,19,1082,734,7,59,5.5156413996,84,49,192,49,38,4,95,27,125,57,23,19,49,42,8,644
7046,Perparim Hetemaj,2257,26,1,0.9368787094,5,1106,846,0,19,1.087567216,48,26,199,73,101,21,105,45,191,44,40,31,76,73,25,701
7049,Lucas Nahuel Castro,2785,44,3,3.0976833395,11,1232,908,1,31,2.7158152693,52,24,167,61,41,16,158,61,201,57,55,55,83,94,23,776
7050,Fabrizio Cacciatore,2312,10,1,1.4764719020000001,3,1545,1233,3,25,1.7163535154,22,7,135,24,16,9,74,28,118,10,53,17,65,44,15,375
7052,Alessandro Gamberini,1810,4,0,0.277560567,0,657,535,1,3,0.47236539,3,3,38,13,8,5,60,13,66,1,132,21,62,23,5,189
7769,Federico Mattiello,90,3,0,0.145378458,0,80,57,1,4,0.328862604,0,0,12,1,3,2,6,2,2,0,0,0,2,4,1,25
7771,Dario Dainelli,1378,2,1,0.350832616,1,580,462,0,3,0.142241797,2,1,101,20,6,2,39,10,87,5,75,28,21,20,2,127
7803,Albano Benjamín Bizzarri,3150,0,0,0.0,0,1099,640,0,0,0.0,2,2,106,0,4,3,0,0,180,0,0,0,0,0,0,5
8278,Nicolás Federico Spolli,781,2,0,0.18130499,1,254,218,0,1,0.034938063,1,1,19,21,8,5,34,9,17,2,59,13,16,17,2,100
8644,Sergio Pellissier,955,22,5,3.8941617017,9,194,144,0,13,0.6819432670000001,2,0,21,11,24,10,54,1,21,13,8,0,9,3,1,163
8645,Massimo Gobbi,2787,14,0,0.46377687199999995,1,1689,1280,1,17,0.9015120675,37,25,222,51,16,9,104,33,175,16,85,31,65,59,17,471
8877,Boštjan Cesar,2760,15,1,1.893087036,3,1135,925,0,2,0.041226525,5,5,132,49,30,25,92,24,111,7,191,36,62,36,9,337
11426,Andrea Seculin,270,0,0,0.0,0,116,64,0,0,0.0,0,0,8,0,0,0,0,0,17,0,0,0,0,0,0,0
11643,Riccardo Meggiorini,1650,39,5,2.7877694912,13,446,272,6,23,2.809666356,32,12,98,53,63,25,112,13,61,22,12,8,52,22,5,432
18946,Paul-José M''Poku Ebunge,763,18,0,0.9258841299,6,380,279,0,17,0.924315974,30,19,96,12,40,12,35,6,63,31,2,4,10,8,4,144
23324,Nicolas Sebastian Frey,1483,1,0,0.04001403,0,756,561,0,4,0.240244025,1,1,40,17,8,5,44,6,35,1,76,17,40,21,1,205
27110,Antonio Floro Flores,650,28,1,1.520902596,11,236,161,0,6,0.301089674,22,13,37,11,25,9,36,4,23,17,3,3,8,8,2,122
31383,Nikola Ninković,8,0,0,0.0,0,5,3,0,0,0.0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,5
40247,Simone Pepe,797,20,3,0.7162109124,5,509,361,3,22,2.6185622826,13,4,69,20,13,4,34,10,62,14,3,2,16,19,6,166
40447,Gennaro Sardo,332,2,1,0.097306652,1,187,157,0,5,0.19008589499999998,3,1,11,7,2,1,11,6,10,1,13,6,11,9,2,67
386657,Giampiero Pinzi,992,3,0,0.129268734,1,488,408,0,5,0.2272921994,6,2,44,34,14,7,58,26,50,7,22,9,36,43,9,327
