player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
7042,Ivan Radovanović,90,0,0,0.0,0,44,25,0,0,0.0,0,0,0,2,1,1,3,2,1,0,5,1,2,2,1,10
7045,Valter Birsa,67,3,0,1.020353532,2,19,15,1,3,0.55666109,1,0,3,1,1,0,3,1,2,2,3,0,1,1,0,20
7046,Perparim Hetemaj,90,0,0,0.0,0,38,24,0,0,0.0,4,2,8,4,2,0,9,7,7,1,3,3,3,8,4,27
7049,Lucas Nahuel Castro,90,0,0,0.0,0,34,21,0,2,0.10206061999999999,1,1,4,1,4,2,3,1,5,2,1,2,3,2,0,16
7050,Fabrizio Cacciatore,90,0,0,0.0,0,42,26,0,0,0.0,0,0,3,0,2,1,1,1,1,0,4,1,2,1,1,9
7803,Albano Benjamín Bizzarri,90,0,0,0.0,0,35,14,0,0,0.0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
8278,Nicolás Federico Spolli,90,1,0,0.10734398,1,16,13,0,0,0.0,0,0,3,2,0,0,2,0,2,0,10,0,1,0,0,6
8645,Massimo Gobbi,90,1,0,0.024145305,0,41,28,0,0,0.0,2,1,2,1,1,1,5,0,2,2,2,2,3,1,0,11
8877,Boštjan Cesar,90,0,0,0.0,0,14,12,0,0,0.0,0,0,1,2,1,1,3,1,3,0,7,0,3,2,0,11
11643,Riccardo Meggiorini,78,5,1,0.6619212999999999,3,10,2,0,1,0.045257222,2,1,3,2,2,2,8,0,3,0,0,0,3,1,0,10
18946,Paul-José M''Poku Ebunge,12,0,0,0.0,0,1,0,0,0,0.0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,6
27110,Antonio Floro Flores,23,0,0,0.0,0,7,6,0,0,0.0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,5
40247,Simone Pepe,80,2,0,0.048268043000000004,0,36,25,0,1,0.11054357,2,2,3,3,1,1,5,0,8,0,0,0,0,2,0,10
386657,Giampiero Pinzi,10,0,0,0.0,0,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
