player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3412,Assane Dioussé El Hadji,820,5,0,0.0697752319,1,716,608,0,3,0.0264860115,6,5,60,25,11,2,22,6,77,12,15,6,16,12,4,210
5660,Piotr Zieliński,3026,64,5,4.6644505356,21,1753,1420,4,52,3.0409700524,122,74,309,49,35,5,124,45,188,56,48,32,73,71,15,669
7054,Manuel Pucciarelli,3033,58,6,6.703807446,17,1058,854,3,42,4.673699258,62,32,183,48,71,12,108,27,129,62,1,13,48,45,19,700
7150,Riccardo Saponara,2643,73,5,6.8801518299,24,1202,884,10,72,5.5566037773,120,63,280,37,81,14,58,25,136,80,21,4,35,38,6,438
7151,Mário Rui Silva Duarte,3240,29,0,0.8186033849,4,2368,1923,2,34,2.2995018222,42,21,281,41,97,34,107,45,187,21,104,54,81,75,20,408
7155,Vincent Laurini,1949,3,1,0.310702923,2,1132,960,0,5,0.199952786,16,9,107,23,32,15,71,16,104,19,72,30,64,32,7,272
7160,Lorenzo Tonelli,2340,7,2,0.8134806994,3,1353,1159,0,5,0.0951966344,10,5,150,29,57,25,91,29,120,17,160,37,54,48,10,259
8187,Marcel Büchel,1577,36,2,1.162965537,9,886,718,1,20,1.3136914767,29,18,95,50,23,4,62,21,102,27,23,33,59,35,12,381
8664,Andrea Costa,2081,7,1,0.7979628756,2,1384,1189,0,1,0.008003638,3,2,134,21,18,11,70,10,96,2,126,33,55,15,5,114
11508,Łukasz Skorupski,2790,1,0,0.2111073,0,886,666,0,0,0.0,0,0,25,0,7,6,0,0,148,0,0,0,1,0,0,3
11512,Rade Krunić,497,7,1,0.9068930879999999,3,168,131,0,6,0.785602189,12,5,33,9,26,8,25,7,24,17,6,4,14,13,4,166
11602,Raffaele Maiello,473,5,0,0.117039355,0,378,314,0,7,0.2815072016,4,2,35,8,25,7,21,7,42,6,10,9,18,15,2,126
13612,Lorenzo Ariaudo,421,2,0,0.09210086,0,222,193,0,0,0.0,0,0,37,2,6,3,11,3,18,1,16,6,5,4,1,24
16061,Uroš Ćosić,810,1,0,0.025238749,0,560,471,0,2,0.038014808,1,1,72,11,7,5,24,5,42,2,44,13,25,8,3,62
16308,Leandro Daniel Paredes,2483,53,2,1.0165964138,14,2087,1695,1,42,3.2003020694,44,30,168,56,86,16,96,42,206,23,35,27,66,81,23,535
17520,Federico Barba,889,3,0,0.13258672999999999,0,531,469,0,0,0.0,0,0,66,14,8,5,16,3,32,0,64,10,14,8,1,58
18028,Levan Mchedlidze,386,11,0,0.8416996107,2,86,61,0,3,0.16678701,9,5,13,13,2,0,19,3,8,15,1,0,8,3,0,91
22041,Marko Livaja,610,16,1,0.7541269815,2,195,134,0,5,0.517755692,20,8,57,25,15,4,32,2,23,25,2,1,10,4,2,154
31172,Luca Bittante,526,2,0,0.017295388000000002,1,381,305,0,4,0.390888045,9,4,39,6,8,1,28,12,33,3,17,7,13,20,3,101
31737,Michele Camporese,160,1,0,0.12833044,0,49,47,0,0,0.0,0,0,2,0,2,1,10,2,3,0,8,0,8,6,0,15
40250,Marco Zambelli,1250,1,0,0.005793931,0,789,626,0,3,0.171158784,15,9,115,17,13,3,35,9,72,11,40,27,15,19,4,136
40251,Daniele Croce,1790,12,0,0.91743848,2,893,758,1,21,2.340455964,50,18,200,23,57,7,68,25,119,35,9,9,55,39,14,529
40252,Massimo Maccarone,2745,82,13,9.149742061,36,648,448,5,36,2.6492011004,51,16,124,46,55,10,107,13,81,84,24,5,24,23,8,444
40332,Alberto Pelagotti,540,0,0,0.0,0,181,135,0,0,0.0,0,0,7,0,1,1,0,0,28,0,0,0,0,0,0,0
41231,Maurizio Pugliesi,90,0,0,0.0,0,28,18,0,0,0.0,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,0
41948,Franco Signorelli,34,0,0,0.0,0,15,13,0,0,0.0,1,1,1,0,1,0,2,1,1,0,1,0,1,1,0,8
386514,Luca Martinelli,90,1,0,0.09724668,1,48,40,0,0,0.0,0,0,2,0,0,0,2,2,4,0,8,3,1,2,1,20
386515,Ronaldo Pompeu da Silva,108,6,0,0.0837481944,0,123,104,0,1,0.13316508,3,2,13,5,10,2,2,1,14,1,4,0,1,2,0,32
386516,Alessandro Piu,219,3,0,0.190685997,2,61,47,0,1,0.008685337,3,3,12,2,7,2,12,0,8,4,1,0,1,2,0,85
