player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3412,Assane Dioussé El Hadji,90,1,0,0.0063881692,0,73,59,0,1,0.014366169,1,0,7,1,1,0,1,1,10,3,2,0,1,1,1,21
5660,Piotr Zieliński,90,1,0,0.022654843,0,50,35,0,0,0.0,3,1,10,3,1,0,4,1,8,3,2,0,2,1,0,11
7054,Manuel Pucciarelli,69,1,0,0.33774814,0,21,16,0,0,0.0,2,2,2,0,1,1,3,1,2,4,0,1,3,2,1,9
7150,Riccardo Saponara,90,2,0,0.24535138,1,34,24,0,0,0.0,3,2,7,2,5,1,0,0,5,4,0,0,1,0,0,6
7151,Mário Rui Silva Duarte,90,2,0,0.06330997149999999,1,61,54,0,1,0.0764619,2,0,9,0,6,3,3,2,9,0,8,0,1,3,0,9
7155,Vincent Laurini,73,0,0,0.0,0,36,30,0,0,0.0,0,0,9,1,1,1,4,1,3,2,2,2,2,2,1,8
7160,Lorenzo Tonelli,90,1,0,0.0042090234,1,47,41,0,0,0.0,3,1,7,1,3,2,7,1,6,1,12,1,2,3,0,13
8664,Andrea Costa,90,0,0,0.0,0,40,33,0,0,0.0,0,0,3,1,1,1,3,0,3,0,15,0,3,0,0,2
11508,Łukasz Skorupski,90,0,0,0.0,0,20,10,0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
16308,Leandro Daniel Paredes,21,3,0,0.08319383799999999,2,14,10,0,2,0.020635827199999998,0,0,1,2,5,2,0,0,0,0,0,0,2,0,0,5
22041,Marko Livaja,21,1,0,0.014247658,0,6,6,0,0,0.0,2,1,2,0,1,1,3,0,3,1,0,0,1,0,0,2
31172,Luca Bittante,17,0,0,0.0,0,10,8,0,0,0.0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2
40251,Daniele Croce,69,1,0,0.011925884,0,30,22,0,1,0.022654843,0,0,5,3,1,0,1,1,5,2,0,1,1,1,0,16
40252,Massimo Maccarone,90,0,0,0.0,0,18,12,0,2,0.180815364,0,0,0,3,0,0,5,0,1,1,3,0,1,0,0,7
