player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3112,Anton Ciprian Tătărușanu,3310,0,0,0.0,0,1128,880,0,0,0.0,1,1,65,0,2,1,0,0,151,0,0,0,0,0,0,6
3964,Marcos Alonso Mendoza,2347,56,3,2.9842651808,11,1704,1379,4,41,3.7333618447,57,32,277,38,34,14,96,25,167,41,63,31,88,52,11,459
5255,Matías Vecino Falero,2396,48,2,1.9187877258000001,14,1964,1727,1,26,1.1586608253,38,27,292,58,34,7,121,45,133,20,41,32,80,72,18,597
5465,Ante Rebić,228,6,1,0.5973188700000001,1,132,93,0,2,0.106718361,6,2,30,12,1,0,9,7,16,8,1,3,8,9,5,55
5663,Jakub Błaszczykowski,762,8,2,0.930137884,5,464,367,1,11,0.768422601,12,4,57,6,15,3,23,7,36,8,4,10,24,17,6,143
6305,Milan Badelj,2157,27,1,0.954924435,4,1815,1579,1,33,1.8398274883999999,35,23,168,45,24,6,79,32,144,19,41,48,43,62,11,435
6658,Cristian Tello Herrera,1071,22,2,2.744846362,6,510,399,4,22,2.299050876,59,32,141,3,17,3,15,5,48,17,3,8,17,11,1,204
6830,Facundo Sebastián Roncaglia,2436,11,1,0.131787297,1,1918,1693,0,8,0.3115343205,9,5,158,50,31,18,136,51,151,6,75,32,62,88,12,478
6997,Borja Valero Iglesias,3094,36,4,3.108322073,13,2341,2033,6,78,5.8117407102,81,53,462,36,109,15,90,35,198,68,17,19,52,57,18,598
7033,Nikola Kalinić,2574,74,12,15.112372993,29,566,449,3,18,0.9942272136,24,14,93,53,85,28,114,1,46,53,11,2,28,9,0,452
7056,Nenad Tomović,1674,7,0,0.45187831850000004,2,1392,1209,0,9,0.621562432,10,5,179,33,17,6,71,20,68,6,75,19,43,36,8,206
7125,Khouma El Hadji Babacar,801,30,5,4.185031438999999,10,175,129,1,6,0.731567815,11,5,25,24,19,6,35,4,30,16,6,0,9,10,3,138
7139,Josip Iličić,1908,74,13,9.3869994946,29,1078,841,5,46,4.7368205587,63,37,214,23,50,5,44,13,73,46,3,13,30,18,8,405
7141,Giuseppe Rossi,371,16,0,1.108818696,3,155,118,1,7,1.175100829,7,6,20,5,9,0,17,3,22,17,0,0,6,6,0,68
7777,Federico Bernardeschi,2272,54,2,2.9398857205,12,1095,859,4,39,4.65529734,101,54,289,39,68,8,66,17,173,71,14,20,56,28,7,500
8275,Davide Astori,2901,14,0,1.2924409044,2,2338,2096,0,5,0.102593829,23,20,237,45,30,18,84,31,154,2,138,50,58,54,7,281
11516,Manuel Pasqual,1030,5,0,0.088697018,3,759,598,2,23,2.2633002826,5,2,59,14,18,5,29,12,50,11,13,10,21,22,6,165
23488,Mario Suárez Mata,457,7,1,0.616231646,4,465,430,0,1,0.02950108,6,3,51,8,9,1,9,3,29,10,4,3,7,7,3,90
25303,Gilberto Moraes Junior,281,4,0,0.23040991749999998,2,151,119,0,3,0.179461589,11,6,41,8,3,0,10,4,17,5,2,1,5,8,3,51
25931,Gonzalo Javier Rodríguez,3140,11,4,1.1451988257,5,2231,1941,0,7,0.4231406436,25,14,218,36,33,25,119,30,191,5,166,40,63,51,9,294
26192,Matías Ariel Fernández Fernández,1113,25,1,0.8051024029999999,4,695,601,3,23,1.836650954,20,13,136,20,40,4,30,16,55,25,2,10,22,22,6,213
26211,Joan Verdú Fernández,184,4,1,0.264561918,1,160,148,0,4,0.171526275,1,1,15,1,5,1,8,4,11,6,0,2,2,7,2,35
26728,Alberto Facundo Costa,288,2,0,0.051951896,0,221,183,0,1,0.021296723,2,1,21,12,1,0,10,3,20,7,4,3,5,5,1,84
27853,Mauro Matías Zárate,706,40,3,2.7214992077,16,265,211,0,10,0.351292233,36,20,100,22,17,0,31,7,33,25,1,5,13,8,0,156
30830,Luca Lezzerini,110,0,0,0.0,0,50,32,0,0,0.0,1,1,4,0,0,0,0,0,12,0,0,0,0,0,0,1
33529,Panagiotis Giorgios Kone,9,1,0,0.056882124,0,3,2,0,0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
