player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
7462,Aleandro Rosi,2162,15,0,0.7323875056,5,950,698,0,12,0.638691157,40,13,150,66,42,15,73,23,139,24,97,27,58,43,9,377
7699,Daniele Verde,130,10,0,0.49977541140000004,3,44,30,0,0,0.0,7,5,15,1,1,0,3,0,10,2,1,1,2,0,0,32
8291,Arlind Afrim Ajeti,1291,9,1,0.4586047233,1,329,238,0,3,0.063733955,1,1,24,21,7,6,43,11,35,1,110,20,41,19,8,137
8661,Daniel Pavlovic,1930,12,0,0.4366141234,1,993,653,5,46,3.6712636019,8,4,56,39,13,5,75,26,71,5,85,26,59,44,6,348
8793,Oliver Kragl,925,31,1,1.0204015947,6,293,178,0,11,0.38268927210000003,20,8,44,22,23,11,42,20,47,14,16,14,26,24,9,247
9898,Aleksandar Tonev,1085,32,0,0.97437269,8,270,177,1,11,0.83019472,21,13,101,14,8,0,43,9,54,20,9,7,13,20,6,202
9903,Yussif Raman Chibsah,1200,11,0,0.348394738,1,436,337,2,15,0.7613875225,29,16,108,22,27,3,51,19,109,33,24,13,27,28,8,308
11608,Danilo Soddimo,1810,43,1,1.4153963931,11,853,562,2,39,2.229413185,102,47,196,42,49,6,90,35,185,51,14,32,53,50,25,422
11672,Samuele Longo,333,11,0,0.7754883880000001,2,58,37,1,4,0.231041255,6,4,13,12,3,2,28,1,15,11,3,0,7,2,1,102
13613,Daniel Ciofani,2907,77,9,8.09238121,27,608,388,1,36,1.533711802,33,16,60,65,53,17,217,8,89,44,43,4,37,13,5,544
13614,Francesco Bardi,119,0,0,0.0,0,41,18,0,0,0.0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0
20636,Mirko Gori,2240,23,0,0.4461150453,6,973,712,0,12,0.61338546,27,16,138,69,55,14,124,52,205,28,43,36,70,90,23,777
20970,Nicolás Ignacio Castillo Mora,308,10,0,0.5044385512,2,74,60,0,1,0.013963698,4,2,11,13,16,6,26,3,14,11,1,0,3,6,1,75
23349,Paolo Sammarco,2322,22,4,2.3766764425,10,914,693,1,20,1.2229628064,17,14,91,36,37,11,104,35,129,12,67,36,57,58,18,558
23470,Luca Paganini,1840,26,2,1.969788413,5,501,341,2,19,1.2185510444,39,21,124,39,60,13,134,28,105,48,33,32,65,43,10,618
24235,Federico Dionisi,2441,86,9,5.98825597,26,616,404,3,28,2.042798336,87,39,144,62,90,18,156,26,164,97,4,17,35,48,16,560
30911,Robert Gucher,1368,21,0,0.3840025169,5,611,436,0,21,1.0657548793,20,13,69,20,23,7,60,32,87,12,37,22,39,42,14,310
30927,Massimiliano Carlini,386,4,0,0.20091495199999998,0,135,93,0,11,0.5929084585,10,4,39,12,8,2,11,7,34,19,3,4,6,7,3,110
31721,Matteo Ciofani,1296,4,0,0.121349362,2,539,385,1,2,0.076711328,15,7,53,19,6,5,47,15,45,8,63,14,36,25,5,158
32037,Nicola Leali,2970,0,0,0.0,0,981,578,0,2,0.043562479599999995,0,0,80,0,5,3,0,0,130,0,0,0,0,0,0,2
49440,Davide Bertoncini,364,0,0,0.0,0,118,87,0,1,0.025893481,0,0,15,3,7,5,7,2,17,1,24,3,16,5,1,44
174418,Modibo Diakité,1620,7,1,1.5200588899999998,1,491,378,0,4,0.19372297859999998,9,8,85,21,15,7,47,13,71,3,127,17,50,26,4,169
296873,Roberto Crivello,1439,3,0,0.1199676717,0,628,477,1,12,0.6003926062,13,6,65,22,15,8,51,22,64,12,44,20,47,36,7,221
386509,Adriano Russo,883,1,1,0.1262766,1,229,175,0,5,0.33860147349999997,0,0,18,9,4,4,44,19,15,3,80,4,32,30,9,148
386510,Massimo Zenildo Zappino,331,0,0,0.0,0,117,71,0,2,0.039359104699999994,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,0
386512,Alessandro Frara,1161,12,2,1.0560061570000001,3,449,305,0,7,0.156789747,10,6,93,15,17,13,41,8,78,9,25,7,46,20,5,250
387847,Leonardo Blanchard,2464,21,3,1.882780578,5,916,648,0,5,0.43148740100000005,8,7,125,37,18,12,79,22,93,5,189,31,87,32,6,231
398941,Vasyl Pryyma,295,1,0,0.02719706,0,99,73,0,0,0.0,1,1,6,5,7,7,7,3,17,1,31,1,9,4,2,32
