player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3416,Gabriel Moisés Antunes da Silva,770,3,0,0.09667874,0,365,248,0,3,0.22942877099999998,10,6,59,14,17,5,39,13,51,12,26,15,36,24,5,142
3556,Serge Gakpé,777,20,3,2.393640822,9,200,146,1,10,1.573107662,21,7,55,15,10,1,50,5,27,24,4,2,25,10,3,147
4369,Issa Cissokho,677,1,0,0.032854717,0,421,345,1,8,0.4579133245,6,4,60,8,8,1,26,5,40,10,18,14,17,11,2,98
5554,Blerim Džemaili,1817,37,3,1.7617918192,6,835,668,2,27,1.7680944790000002,28,16,179,36,55,9,80,30,105,26,29,23,50,55,13,458
5717,Diego Sebastián Laxalt Suárez,3072,34,3,2.678014866,10,1533,1143,4,30,3.8383469597,75,31,283,45,49,13,153,44,219,53,55,29,97,81,22,725
6894,Ezequiel Muñoz,1405,8,0,0.516911094,4,634,512,0,1,0.32326624,4,3,77,32,12,6,70,21,57,5,84,22,50,39,14,322
7022,Jesús Joaquín Fernández Sáez de la Torre,1165,37,6,1.9744147664999998,16,655,468,1,34,2.3183401226,48,30,121,15,33,2,29,5,58,35,2,8,10,10,4,163
7145,Darko Lazović,649,17,0,1.4647374094999999,4,342,214,2,13,1.791103842,30,13,67,3,4,1,16,6,31,11,6,5,14,10,4,124
7146,Goran Pandev,832,17,0,2.684599533,7,273,207,0,15,0.700715796,21,13,45,13,36,14,34,1,33,24,4,2,15,2,1,165
7148,Mattia Perin,2250,0,0,0.0,0,776,472,0,1,0.00991616,0,0,62,0,2,0,0,0,143,0,2,0,1,0,0,1
7176,Sebastian De Maio,2287,14,1,1.506383424,4,1097,884,1,2,0.061922207,10,7,153,46,12,9,95,31,96,12,149,31,54,51,12,400
7456,Diego Perotti,1141,15,1,1.7840262586,3,665,493,2,34,2.979680846,42,30,216,14,32,5,56,16,62,33,6,10,30,30,8,264
7461,Luca Rigoni,1196,24,3,3.160686649,12,541,426,0,15,1.446681017,12,7,56,27,16,6,64,15,77,19,21,13,29,25,10,315
7464,Cristian Daniel Ansaldi,2011,13,0,0.4185499709,3,1086,786,4,23,2.377393669,52,31,217,40,48,18,106,41,138,24,80,28,55,75,16,452
7467,Nicolás Andrés Burdisso,2446,10,0,0.7438986394,3,1080,886,0,2,0.063613871,2,2,152,38,15,10,78,18,130,4,182,38,47,30,8,226
7475,Tomás Eduardo Rincón Hernández,2928,27,3,1.369020035,6,1712,1467,6,38,4.0141853317,72,50,302,77,63,6,122,46,244,49,53,35,60,69,22,627
7702,Alessio Cerci,545,21,4,3.7945309375,8,194,128,1,6,0.501077243,28,9,83,6,17,5,21,2,31,19,0,0,5,3,0,113
7852,Tim Matavž,467,10,0,0.773373599,3,105,64,0,4,0.12832678,3,3,17,15,4,1,47,2,14,10,2,0,5,2,0,112
8180,Leonardo Pavoletti,1998,67,14,10.730603229,29,450,319,3,21,1.4670652497,13,7,43,70,38,20,170,11,53,39,13,1,23,17,7,321
9940,Armando Izzo,2750,15,0,0.9256097346000001,4,1449,1171,1,10,0.65657622,25,15,186,49,51,16,122,50,143,19,147,74,74,74,29,417
10530,Jules Olivier Ntcham,999,23,0,0.910606779,3,535,436,0,18,1.4206832020000002,22,16,124,30,8,3,38,16,70,28,6,5,12,21,9,268
10881,Diogo José Rosário Gomes Figueiras,546,5,1,0.139537848,3,264,203,0,1,0.039872937,7,4,41,13,4,2,16,6,26,7,15,11,13,14,2,117
10919,Juraj Kucka,90,0,0,0.0,0,49,39,0,0,0.0,1,1,9,3,1,0,6,3,5,2,1,1,0,4,1,24
24683,Diego Ángel Capel Trinidad,717,14,0,1.124593604,4,273,220,0,9,0.481756004,12,8,76,6,46,10,29,7,34,23,0,6,5,9,3,155
26728,Alberto Facundo Costa,926,17,0,0.5248599452,3,711,548,0,16,1.3471588335,9,8,86,19,13,2,28,8,77,18,15,13,9,13,4,207
30772,Panagiotis Tachtsidis,837,20,2,1.151873505,9,530,375,2,10,1.894970259,15,7,90,25,12,3,58,17,89,18,21,14,22,30,8,240
31335,Giuseppe Panico,8,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
34355,Riccardo Fiamozzi,479,0,0,0.0,0,220,176,0,4,0.2310884775,4,1,33,3,4,2,14,4,37,9,15,10,12,6,2,76
38312,Eugenio Lamanna,1170,0,0,0.0,0,355,247,0,1,0.026049824,0,0,17,0,1,1,0,0,55,0,0,0,2,0,0,2
40457,Giovanni Marchese,666,4,0,0.200439508,0,354,264,0,2,0.149529781,0,0,25,23,5,3,20,7,38,0,49,7,21,11,2,108
