player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3556,Serge Gakpé,90,1,0,0.10336685,1,20,17,0,2,0.134864341,1,0,5,2,4,0,3,1,2,3,0,0,2,2,1,18
4369,Issa Cissokho,90,1,0,0.032854717,0,68,51,0,1,0.1603749,0,0,7,1,0,0,4,0,7,2,2,2,6,0,0,11
5554,Blerim Džemaili,83,3,0,0.0640297047,0,61,46,0,3,0.051830786000000004,0,0,16,1,2,1,4,1,4,2,2,0,2,2,0,19
5717,Diego Sebastián Laxalt Suárez,90,2,0,0.099043401,1,71,54,0,0,0.0,2,0,13,1,0,0,2,1,11,2,0,3,4,1,0,13
7176,Sebastian De Maio,90,2,0,0.132311334,0,66,61,0,0,0.0,2,1,6,2,0,0,6,2,5,0,1,1,1,2,2,17
7456,Diego Perotti,90,5,1,0.8849163099999999,2,82,60,0,4,0.19925387,3,3,25,2,3,0,2,0,11,1,1,2,0,0,0,14
7467,Nicolás Andrés Burdisso,90,0,0,0.0,0,68,64,0,0,0.0,0,0,20,1,0,0,6,1,7,0,7,1,1,1,0,4
7475,Tomás Eduardo Rincón Hernández,90,0,0,0.0,0,70,64,0,1,0.0057349727,1,1,5,1,0,0,2,0,8,2,2,0,3,1,0,14
8180,Leonardo Pavoletti,45,3,0,0.308942594,2,6,6,0,1,0.09071731,0,0,0,4,1,1,1,0,1,1,0,0,0,0,0,2
9940,Armando Izzo,90,1,0,0.027617246,1,70,59,0,2,0.130044602,2,1,8,1,0,0,7,0,5,0,6,5,1,2,0,7
24683,Diego Ángel Capel Trinidad,45,1,0,0.03289442,0,17,14,0,1,0.027617246,3,2,4,0,4,1,0,0,1,1,0,0,0,0,0,7
30772,Panagiotis Tachtsidis,7,0,0,0.0,0,7,4,0,0,0.0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
38312,Eugenio Lamanna,90,0,0,0.0,0,18,17,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
