player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5465,Ante Rebić,526,11,0,0.649114164,1,160,111,0,2,0.15962627699999998,34,21,47,15,12,3,15,4,40,17,1,7,11,5,3,130
5512,Emil Hallfreðsson,1212,14,0,0.48432986699999997,4,668,498,1,22,1.6458755706000001,33,23,103,31,16,5,58,19,96,19,17,6,32,34,10,387
5558,Rafael Márquez Álvarez,757,5,0,0.378667207,0,430,345,0,3,0.123488287,2,1,78,4,11,8,23,6,36,4,37,7,14,10,2,81
6686,Giampaolo Pazzini,1915,79,6,9.782981545,25,370,242,0,11,0.4434410933,19,10,57,37,61,18,111,3,55,40,13,3,34,7,2,343
7020,Jacopo Sala,1479,11,0,0.571122575,3,756,533,1,17,0.7860192970000001,36,14,142,25,21,4,77,42,106,23,21,14,38,56,16,353
7694,Rômulo Souza Orestes Caldeira,267,11,0,0.722337566,4,162,130,1,6,0.2933904603,7,3,38,4,4,1,9,4,27,5,2,3,5,5,1,47
7695,Samuel Souprayen,1627,7,0,0.428053018,3,961,747,0,14,1.036241381,18,13,164,32,23,8,48,15,100,19,52,13,33,34,6,255
7705,Mohamed Salim Fares,545,4,0,0.1115673583,0,281,205,1,7,0.519902598,9,8,49,10,1,0,18,9,40,6,23,13,18,14,5,95
7770,Federico Viviani,1592,32,3,1.4031372009,9,1211,946,6,44,3.4843490681000002,14,12,110,36,35,4,73,35,138,16,19,32,44,55,7,383
7794,Samir Caetano de Souza Santos,270,2,1,0.09987537499999999,1,85,68,0,0,0.0,0,0,2,2,2,1,11,3,3,0,15,10,2,7,1,31
7949,Artur Ioniţă,2379,40,4,2.9255698174,14,863,694,2,21,2.439707349,33,18,189,68,36,16,158,62,133,43,32,31,67,88,27,853
7966,Filip Helander,1867,6,2,0.618167146,2,720,587,0,0,0.0,0,0,95,20,11,10,69,19,48,4,106,13,53,35,4,244
8274,Pierluigi Gollini,2320,0,0,0.0,0,843,504,0,0,0.0,0,0,61,0,7,2,0,0,137,0,0,0,1,0,0,5
8421,Matteo Bianchetti,1586,7,1,1.2519277819999999,4,753,587,0,4,0.102746985,4,2,75,31,16,15,81,26,75,1,112,24,45,51,12,320
8463,Urby Emanuelson,622,14,0,0.645536015,2,366,295,1,11,0.86822268,15,3,64,7,14,3,28,16,50,8,3,10,12,24,4,123
8717,Dominik Furman,20,0,0,0.0,0,17,15,0,0,0.0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,10
8792,Mattia Zaccagni,51,2,0,0.086049057,0,19,12,0,0,0.0,0,0,5,1,2,0,5,2,2,0,0,0,2,3,1,19
9887,Rafael de Andrade Bittencourt Pinheiro,1080,0,0,0.0,0,313,202,0,1,0.06463344,0,0,21,1,3,2,0,0,54,0,0,0,0,0,0,0
11339,Paweł Wszołek,1857,12,0,1.271360764,6,615,432,5,34,4.6158164280000005,60,41,190,50,29,12,85,17,120,52,16,18,36,29,5,359
11342,Eros Pisano,2904,23,5,3.04034463,8,1572,1093,0,24,1.4901226163999999,27,16,210,45,48,21,107,28,147,31,112,38,88,61,12,306
11494,Luca Siligardi,1406,46,2,2.3494740366,6,557,363,0,27,3.6551253675,52,25,134,22,14,2,67,22,92,33,8,13,51,32,11,379
20252,Luca Toni,1773,62,6,10.589476538,24,360,192,0,10,0.561765959,24,9,43,48,66,40,103,5,56,38,11,3,18,7,1,216
25303,Gilberto Moraes Junior,183,3,0,0.075307945,1,124,89,0,1,0.058630403,8,6,37,7,6,2,10,3,22,11,7,0,8,6,3,64
26220,Matuzalém Francelino da Silva,208,0,0,0.0,0,176,148,0,1,0.019099468,2,2,33,6,4,2,3,2,18,4,5,5,2,2,1,41
26442,Boško Janković,905,15,1,1.2860782337,4,237,137,0,3,0.3490956,11,6,49,22,5,2,51,6,28,9,2,4,14,7,2,135
31488,Vangelis Moras,2770,8,1,0.504723705,2,1176,966,1,6,1.085242151,9,8,199,31,35,20,92,37,122,9,173,28,52,57,16,283
31572,Luca Marrone,872,8,0,0.43023080399999997,2,512,399,3,16,1.143531882,12,7,47,19,12,2,32,16,67,9,11,7,11,22,8,230
32119,Leandro Greco,1893,11,1,0.527290067,4,996,828,0,20,1.0779372005,36,19,182,48,45,10,73,32,127,24,17,25,33,53,14,499
38326,Ferdinando Coppola,90,0,0,0.0,0,42,22,0,0,0.0,0,0,3,0,0,0,0,0,6,0,0,0,1,0,0,0
386650,Michelangelo Albertazzi,702,0,0,0.0,0,334,241,0,3,0.459729879,4,3,25,16,3,2,32,13,49,3,19,12,20,24,2,128
386651,Juan Ignacio Gómez Taleb,1842,36,1,2.712633401,12,652,458,0,22,1.401975145,30,20,74,36,54,25,134,15,85,21,15,7,37,24,5,359
386652,Luca Checchin,100,0,0,0.0,0,64,47,0,0,0.0,0,0,10,2,1,0,3,1,8,1,0,2,4,3,0,30
