player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5469,Marcelo Brozović,25,1,0,0.027574899,0,20,14,0,1,0.075025655,1,0,1,2,0,0,3,0,0,0,0,0,0,1,0,10
5474,Ivan Perišić,90,3,1,0.656311536,2,60,44,1,2,0.112699509,4,3,14,0,0,0,4,2,4,2,0,0,5,2,1,17
5551,João Miranda de Souza Filho,90,0,0,0.0,0,58,49,0,0,0.0,2,2,8,0,1,0,4,1,9,0,5,0,2,4,0,17
5587,Adem Ljajić,65,2,1,0.23609723,1,52,43,0,2,0.051853331,2,1,11,0,0,0,1,0,3,1,0,1,3,0,0,13
5690,Yuto Nagatomo,90,0,0,0.0,0,86,71,0,0,0.0,0,0,7,2,1,0,7,1,3,0,3,1,5,2,0,19
6585,Jeison Fabián Murillo Cerón,90,0,0,0.0,0,47,45,0,0,0.0,0,0,1,2,0,0,5,2,4,0,4,0,0,4,1,19
6589,Geoffrey Kondogbia,90,1,0,0.02895878,0,82,73,0,0,0.0,3,1,12,3,1,1,6,2,10,1,2,3,2,5,1,38
6984,Danilo D''Ambrosio,90,0,0,0.0,0,63,53,0,0,0.0,2,0,3,2,1,0,6,3,4,1,5,3,1,5,3,27
6987,Mauro Emanuel Icardi Rivero,90,1,1,0.14445858,1,23,20,1,1,0.20034327,0,0,1,0,2,0,3,0,1,1,2,0,2,0,0,13
7165,Rodrigo Sebastián Palacio,78,1,0,0.075025655,1,43,32,1,2,0.2954312,2,1,13,1,2,0,5,1,5,1,0,1,4,3,0,17
11497,Jonathan Ludovic Biabiany,12,0,0,0.0,0,7,6,0,1,0.4312868,1,1,2,0,3,0,1,1,2,0,0,0,0,1,1,1
16453,Gary Alexis Medel Soto,87,1,0,0.027171865,0,73,65,0,0,0.0,1,1,4,3,1,0,3,2,3,0,3,3,0,2,0,23
25430,Felipe Melo de Carvalho,3,0,0,0.0,0,5,5,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26707,Juan Pablo Carrizo,90,0,0,0.0,0,26,17,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
