player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3477,Álvaro Borja Morata Martín,1463,49,7,6.936826863,21,518,393,6,26,2.807292155,57,23,130,45,60,19,55,9,62,57,9,8,26,16,4,346
3486,Fernando Llorente Torres,12,0,0,0.0,0,4,1,0,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
3579,Roberto Maximiliano Pereyra,795,10,0,0.665278833,2,442,394,1,27,2.6509761264000002,21,8,104,12,22,3,21,9,54,18,2,7,13,13,4,178
3951,Mario Lemina,728,5,2,0.3421041933,4,462,409,0,5,0.0838931163,10,9,80,20,9,1,28,17,46,9,13,9,18,23,7,181
5248,José Martín Cáceres Silva,448,2,0,0.15261840100000001,0,300,280,0,2,0.125483736,1,1,12,6,3,2,8,2,14,1,13,5,7,3,0,42
5472,Mario Mandžukić,2043,40,10,8.0095923645,17,562,400,4,27,3.736503236,19,11,69,56,35,15,98,23,43,23,21,11,32,34,9,466
5541,Stephan Lichtsteiner,1825,16,0,1.224545708,6,1067,819,1,18,2.097433472,22,9,123,25,22,8,52,15,74,12,40,9,53,25,5,217
5566,Sami Khedira,1536,22,5,3.7258493400000003,10,816,690,3,11,2.441396046,20,13,101,14,19,3,34,11,69,17,20,8,25,17,5,277
5689,Juan Guillermo Cuadrado Bello,1716,36,4,2.5997312275,11,1072,893,4,43,2.7104056365,99,64,253,36,95,15,59,25,103,32,11,20,49,41,13,311
5743,Paulo Bruno Exequiel Dybala,2450,106,19,14.793143195599999,41,1230,945,9,72,8.5090677463,127,62,257,23,78,5,57,17,149,72,3,9,41,22,10,501
6584,Simone Zaza,671,31,5,2.938663748,12,171,130,0,6,0.696231361,20,8,41,28,11,4,31,6,31,16,2,2,19,7,3,142
6590,Norberto Murara Neto,270,0,0,0.0,0,49,48,0,0,0.0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0
6940,Kwadwo Asamoah,566,10,0,0.9807783800000001,3,343,314,1,9,0.52480577,12,9,40,10,15,2,16,8,38,13,3,3,6,12,2,76
6943,Andrea Barzagli,2737,4,1,0.687415627,1,1959,1733,0,11,0.198491349,14,9,149,8,22,14,64,21,138,11,99,27,47,37,7,239
6945,Alex Sandro Lobo Silva,1498,18,2,0.9510029769999999,4,1048,851,3,41,3.5027965795,48,28,206,32,41,7,58,20,106,34,43,35,31,39,10,252
6949,Gianluigi Buffon,3150,0,0,0.0,0,888,737,0,0,0.0,0,0,45,1,0,0,0,0,148,0,1,0,0,0,0,0
6953,Daniele Rugani,1167,3,0,0.16685058960000002,1,788,712,0,1,0.011003339,6,5,115,17,14,8,40,16,53,4,48,12,17,29,8,185
6954,Giorgio Chiellini,1838,15,1,1.380966848,2,1411,1223,0,10,0.2184811065,5,4,212,29,26,13,71,23,103,9,89,32,27,42,6,196
7013,Stefano Sturaro,1028,11,1,0.977743864,3,502,380,0,12,0.706579379,15,6,65,29,25,6,54,19,61,13,13,12,37,30,8,269
7173,Leonardo Bonucci,3156,26,3,2.1582018230999997,7,2336,2032,1,14,1.0573364619999999,20,15,214,35,31,20,88,25,138,2,167,46,56,42,10,253
7952,Simone Padoin,582,4,1,0.31715565700000004,2,292,258,0,5,0.169369486,2,1,38,7,10,3,18,2,21,2,16,4,14,10,0,83
8217,Kingsley Coman,63,3,0,0.162802741,1,29,23,0,2,0.113930342,1,1,6,0,4,2,3,0,3,1,0,0,2,0,0,10
8294,Claudio Marchisio,1928,26,0,0.718096953,7,1509,1329,2,22,1.05096642,23,16,131,35,21,7,73,33,161,19,27,36,41,49,11,350
18874,Mauricio Aníbal Isla Isla,10,0,0,0.0,0,13,11,0,1,0.053495243,2,0,0,0,0,0,1,1,2,1,2,1,1,1,0,3
20004,Paul Pogba,3018,124,8,9.386676123300001,37,1786,1447,10,53,5.019802167,144,84,375,96,66,5,118,47,234,93,24,38,77,77,23,638
20008,Patrice Evra,2061,17,2,1.512994832,5,1324,1108,3,27,1.5698704119,20,7,147,28,16,5,89,37,73,22,48,23,58,61,18,238
25345,Anderson Hernanes de Carvalho Andrade,864,30,1,0.890523675,12,641,571,1,11,0.794173916,21,11,88,25,11,3,31,11,64,17,13,15,15,15,5,138
