player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3103,Milan Biševac,907,2,1,0.38850473999999996,1,450,390,0,2,0.054205927,3,3,63,11,6,1,26,6,39,2,58,19,18,15,1,95
3145,Keita Baldé Diao,1776,63,4,5.2618482496,26,670,507,1,39,3.929755362,85,44,317,30,48,4,48,13,83,49,2,7,22,16,5,239
3588,Wesley Hoedt,2049,12,0,0.6952238574,1,1080,911,0,0,0.0,9,7,130,27,11,7,74,20,110,5,109,29,41,37,9,191
5510,Lucas Rodrigo Biglia,2305,18,4,2.383056299,7,1991,1711,3,52,2.431477843,21,19,220,51,58,14,122,55,229,32,43,44,54,84,19,653
5589,Sergej Milinković-Savić,1642,36,1,1.966401622,11,826,581,0,19,1.4886728599999999,47,23,129,47,41,18,129,29,120,38,28,24,40,41,11,419
6991,Etrit Berisha,873,0,0,0.0,0,236,172,0,0,0.0,0,0,17,2,0,0,0,0,41,0,0,0,0,0,0,3
7107,Danilo Cataldi,1345,29,1,1.129189293,6,930,745,3,23,1.30966831,10,4,104,30,15,4,37,19,94,9,12,6,29,26,6,288
7776,Antonio Candreva,2193,90,10,11.4448927553,25,1266,884,3,36,3.1098828328,77,34,280,13,54,8,22,9,134,53,10,15,34,13,2,274
7778,Ştefan Daniel Radu,1097,7,0,0.22661118600000002,0,761,628,1,15,0.968692489,16,11,114,18,12,4,30,6,71,6,31,16,18,14,2,141
7785,Senad Lulić,2356,19,3,1.4250051320000001,7,1546,1183,3,36,3.6913842339,74,37,344,50,22,4,129,48,221,52,29,33,48,84,20,520
7787,Stefan de Vrij,180,0,0,0.0,0,113,98,0,0,0.0,1,1,10,2,1,1,10,5,11,0,8,4,1,8,3,20
8172,Felipe Anderson Pereira Gomes,2070,50,7,4.9969658283000005,16,1069,728,4,27,3.498045238,134,63,318,35,56,7,99,38,162,71,16,27,42,68,20,537
8173,Marco Parolo,2561,56,3,5.1090486937,11,1218,961,0,31,1.425261614,15,10,116,59,24,11,161,30,125,19,64,32,96,71,13,726
8190,Patricio Gabarrón Gil,623,3,0,0.044024541,0,453,373,0,3,0.129976948,4,2,31,10,3,2,24,5,40,4,18,9,26,9,2,121
8296,Alessandro Matri,820,12,4,2.1338127890000003,6,185,111,1,7,1.222365166,13,4,23,17,15,5,39,1,21,21,7,2,9,2,0,93
8443,Dušan Basta,1816,11,0,0.577206328,1,1306,1042,0,10,0.7518703264,25,11,154,25,21,13,65,25,129,21,36,24,42,35,10,279
8459,Edson Braafheid,336,2,0,0.0338553145,0,162,115,0,0,0.0,2,1,7,7,5,2,11,4,19,4,14,3,12,6,1,74
8847,Santiago Juan Gentiletti Selak,1710,10,0,0.767020993,0,1129,964,0,0,0.0,11,7,177,37,9,6,83,29,107,4,63,32,45,47,9,251
9939,Maurício dos Santos Nascimento,1932,10,0,0.8004823366,0,1024,839,0,1,0.08349563,5,4,107,51,18,14,96,33,71,0,128,31,40,52,11,283
11427,Filip Đorđević,1297,20,3,2.8773296580000003,8,338,241,2,13,0.997950703,10,4,40,25,26,8,80,8,50,14,19,5,20,10,2,344
12491,Federico Marchetti,2547,0,0,0.0,0,819,591,0,1,0.08350088,1,1,55,0,8,7,1,1,144,1,1,0,0,1,1,5
19286,Miroslav Klose,1355,30,7,5.8013328390000005,12,317,208,6,15,2.6533756663,29,12,58,25,22,6,59,8,42,14,17,7,16,13,2,232
22828,Ricardo Kishna,557,9,2,0.706971894,2,254,158,0,11,1.1694918,17,7,47,6,4,0,16,7,20,15,2,2,14,8,7,111
26683,Abdoulay Konko,1529,13,0,0.4898335138,1,1065,830,0,7,0.434244329,32,21,174,38,10,5,73,23,116,22,51,28,49,50,8,339
26827,Ravel Morrison,61,0,0,0.0,0,45,43,0,1,0.07328857,4,2,13,1,1,0,1,0,5,1,0,0,1,0,0,13
33311,Ogenyi Eddy Onazi,1185,12,1,0.683627693,2,689,562,1,10,0.736904628,17,11,69,20,18,6,45,18,90,12,22,19,28,28,9,343
386641,Stefano Mauri,504,6,1,0.420994995,1,203,147,1,5,0.9955124020000001,5,2,19,7,14,5,23,3,16,5,3,2,9,5,0,83
