player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3588,Wesley Hoedt,90,0,0,0.0,0,37,30,0,0,0.0,0,0,4,1,2,2,4,0,5,0,0,0,5,0,0,9
5510,Lucas Rodrigo Biglia,90,1,1,0.07208102,1,65,57,0,0,0.0,1,0,7,2,2,0,3,2,6,2,1,2,0,3,1,31
5589,Sergej Milinković-Savić,90,0,0,0.0,0,46,33,0,2,0.046079599,4,2,10,3,1,0,6,0,14,7,1,0,5,0,0,18
7776,Antonio Candreva,90,1,0,0.009768177,0,55,37,0,0,0.0,0,0,9,0,4,0,0,0,9,1,0,0,2,0,0,8
7785,Senad Lulić,90,0,0,0.0,0,64,51,0,0,0.0,4,0,6,1,0,0,4,3,8,0,1,3,4,3,1,15
8172,Felipe Anderson Pereira Gomes,90,2,0,0.05660308,1,45,27,0,0,0.0,7,1,8,1,5,1,3,2,4,3,1,0,2,2,2,17
8296,Alessandro Matri,63,1,0,0.109731905,0,17,10,0,0,0.0,0,0,3,1,1,0,2,1,1,1,0,0,1,1,0,7
8443,Dušan Basta,90,1,0,0.010278803,0,48,42,0,0,0.0,0,0,2,3,0,0,0,0,3,1,3,3,0,0,0,9
8847,Santiago Juan Gentiletti Selak,90,0,0,0.0,0,59,45,0,0,0.0,1,0,7,2,2,1,3,1,10,1,0,0,3,1,0,13
11427,Filip Đorđević,27,0,0,0.0,0,13,7,0,0,0.0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,4
12491,Federico Marchetti,90,0,0,0.0,0,26,13,0,0,0.0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
19286,Miroslav Klose,11,0,0,0.0,0,3,3,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
33311,Ogenyi Eddy Onazi,79,1,0,0.027138906,1,34,30,0,2,0.030570461,0,0,1,2,0,0,1,1,4,1,1,0,2,1,0,15
