player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3287,Nathaniel Chalobah,36,0,0,0.0,0,44,41,0,2,0.060754694,0,0,5,2,1,0,3,2,5,1,0,0,2,2,1,13
3949,Manolo Gabbiadini,557,30,5,3.7527574660000003,10,160,121,3,13,1.2730163674,7,2,23,10,13,3,13,1,15,8,1,0,5,1,0,104
5457,Ivan Strinić,253,3,0,0.046118484,1,227,203,0,1,0.024436228,4,2,27,3,2,0,7,5,21,3,4,5,4,5,2,22
5497,Gonzalo Gerardo Higuaín,2978,182,36,25.025725227,80,943,725,2,49,2.4690454395,65,39,191,35,38,7,55,9,84,71,15,8,36,15,5,402
5630,Dries Mertens,1109,55,5,3.4048807634,18,578,426,5,31,2.9523753705,66,26,180,35,38,11,33,13,39,21,1,10,26,17,3,239
5675,Kalidou Koulibaly,2888,5,0,0.749658036,2,2382,2078,0,9,0.2861774036,16,12,347,72,21,12,169,72,174,12,162,46,64,98,37,377
6754,David López Silva,741,10,1,1.227989862,3,576,504,1,7,1.123267404,9,4,48,19,5,1,55,17,40,10,8,9,25,29,7,242
7012,Vasco Regini,15,0,0,0.0,0,6,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7024,Jorge Luiz Frello Filho,2929,6,0,0.164148715,2,3779,3349,4,67,5.0670181716,31,18,170,62,64,13,104,48,208,27,18,56,64,73,19,795
7025,Marek Hamšík,3224,84,6,6.7590554527,29,3094,2647,11,92,8.8163131137,47,27,447,21,31,6,89,29,176,46,30,15,47,54,15,479
7027,Christian Maggio,397,1,0,0.019018253,0,274,222,0,2,0.109923796,6,3,27,7,12,4,24,7,14,7,11,10,9,18,3,81
7028,José Manuel Reina Páez,3330,0,0,0.0,0,1103,918,0,1,0.46444723,0,0,77,0,1,1,1,1,180,0,0,0,0,1,0,3
7029,José María Callejón Bueno,2812,64,7,8.1895317694,24,1446,1141,6,46,3.8726715956,29,12,119,24,73,18,89,26,139,22,23,21,60,39,6,608
7030,Raúl Albiol i Tortajada,3240,9,1,0.691722005,4,2574,2287,1,5,0.47973580699999996,5,5,296,39,22,17,117,19,127,7,185,35,62,49,4,294
7031,Elseid Hysaj,3282,12,0,0.296936402,4,2525,2159,2,26,2.4498835679999997,64,32,315,27,44,18,135,48,223,40,92,26,67,79,22,470
7035,Allan Marques Loureiro,2820,29,3,2.406871817,7,1861,1590,5,40,3.9763869454,95,49,240,57,75,21,138,76,183,71,34,19,83,101,38,849
7037,Lorenzo Insigne,2598,135,12,9.2089978961,40,1718,1363,10,68,8.7408700968,101,52,291,16,29,5,39,11,115,49,3,15,38,25,4,399
8194,Mirko Valdifiori,455,1,0,0.02269609,1,464,388,0,12,0.8717657207,4,2,15,11,7,1,14,8,26,3,4,0,8,11,4,86
8876,Faouzi Ghoulam,2917,22,0,0.39586164360000003,8,2456,2034,3,31,2.21137654,42,19,321,24,48,11,82,31,136,22,66,37,68,50,12,248
10736,Vlad Iulian Chiricheș,697,5,1,0.525131961,2,501,465,0,0,0.0,5,3,48,10,3,1,30,4,40,5,34,10,9,8,0,60
16495,Omar El Kaddouri,252,11,1,1.743565923,5,171,147,2,9,1.538561821,9,4,36,11,9,1,10,6,18,6,2,6,5,6,3,87
30767,Gabriel Vasconelos Ferreira,90,0,0,0.0,0,22,20,0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
